"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC121111665",2.42083702878934,3.08641620612465,0.884958197290218,3.48764067678609,0.000487302493416822,0.0122412840387639
"LOC121111986",4.56580140973414,1.6522921427883,0.566349094494996,2.91744466239788,0.00352912264011067,0.0431947817321686
"LOC121112883",1.12422115152648,3.19089305487811,1.07039191830008,2.98105114614996,0.00287260811602204,0.0387275265989187
"LOC121112888",2.0793747401981,3.32728821818283,0.837606065626558,3.9723783706054,7.11585721234048e-05,0.0032321893907635
"LOC121113059",1.56439120332202,2.87147350425794,0.892618946001333,3.21690853316668,0.00129579902685747,0.0232926962781445
"LOC121113102",4.68996709726928,2.62867746199225,0.586400485504515,4.48273411596965,7.36927246528856e-06,0.000735190203733466
"LOC121113122",10.0254573840999,3.68230816761476,0.589381782479279,6.24774683758438,4.16415888194551e-10,9.69346785068883e-07
"LOC121113123",4.85235938322666,3.30902510283507,0.711583882514618,4.65022491957172,3.3157322434533e-06,0.000445296463887617
"LOC121113148",3.53992304297694,2.38946879532729,0.809517667563475,2.95171914223839,0.00316010220176519,0.0409056046821635
"LOC121113271",1.81778571840097,4.19011698993925,1.23725625062847,3.38662018301451,0.000707592761115249,0.0156623583114052
"LOC121113337",17.1753581490475,2.72583447598959,0.581470337657391,4.68783065869077,2.76116344859916e-06,0.000402045231525394
"LOC121113356",30.5282277650805,2.12959495347691,0.464537520798331,4.58433357507289,4.55436665562641e-06,0.000530722547111387
"LOC121113381",10.5957085282507,1.43379793511478,0.3927027072057,3.65110275230098,0.000261116738945975,0.0080861165707581
"LOC121113428",3.10257903182892,2.34130915325616,0.634374154393058,3.69073856026846,0.000223603868738579,0.00726296566202729
"LOC121113473",12.6784867092389,2.51085194019702,0.496597988215479,5.05610574303724,4.27904133228482e-07,0.000145769195824444
"LOC124416957",2.47178300044304,3.64417992837802,1.00363571503253,3.63097872444677,0.000282348461895917,0.00842641232329117
"LOC124417069",20.1766274727075,1.57145047005663,0.429007420155454,3.66299135219434,0.00024928695784318,0.00781883389260933
"LOC124417073",2.13527094295883,2.79995382633917,0.983269618401935,2.84759518034312,0.0044050919428395,0.0490246367853699
"LOC124417104",2.65595776284662,2.87597457185427,0.866621435341625,3.31860539627727,0.000904681743042702,0.0186367107744505
"LOC124417235",5.65786618363636,3.1260541930913,0.771192478601133,4.05353304114383,5.04498705798947e-05,0.0025438026801061
"LOC124417245",11.5577322358344,2.10073470379588,0.459366713894409,4.57311041539408,4.80536739885179e-06,0.000550135790653794
"LOC124417307",19.9423083460742,1.88123781761526,0.433754523907659,4.33710247138715,1.44373326946235e-05,0.00115888635486096
"LOC124417308",5.3385236572893,2.33207057436702,0.584218250263741,3.99177973867509,6.55792699528178e-05,0.00305315221143669
"LOC124417311",13.294536919844,1.05943137997316,0.307942933725228,3.44034970102113,0.000580963009780663,0.0138233566569106
"LOC124417374",4.54542370568329,2.82989980728083,0.695943380678577,4.06627878911866,4.77697857973435e-05,0.00244395823528021
"LOC124417476",2.27703325431246,-2.15499327655114,0.752887903696886,-2.86230296166206,0.00420574674737879,0.0477574510736908
"LOC124417492",3.49631440862512,1.93667630324704,0.649591201941902,2.98137705291805,0.00286955243868706,0.0387275265989187
"LOC124417529",3.31304570737233,2.05251791908325,0.644736705975712,3.18349785278175,0.00145507192517851,0.0251847098048975
"LOC124417533",8.54392656133411,2.80780631609783,0.48525083127981,5.78629882754134,7.19541652289364e-09,8.37486521460462e-06
"LOC124417534",10.3796124573834,1.35947025389902,0.427368704594831,3.18102434568267,0.00146755296180969,0.0252559836466245
"LOC124417680",1.62186751558384,3.98955900835853,0.985877458751405,4.04670882059848,5.19427879417774e-05,0.00260965798267196
"LOC124417741",2.07819795649629,3.83377544246695,1.31763529537641,2.90958769541138,0.00361905839474818,0.0437134760532499
"LOC124417784",1.76705347536427,3.3623238739901,0.9108118611243,3.69156794888427,0.000222875835331707,0.0072561929885267
"LOC124418006",231.876971400467,1.70317372983311,0.423843156559397,4.01840563773365,5.8593265164805e-05,0.00284156991165567
"LOC124418171",32.1145831236002,1.68052612456853,0.421849327058587,3.98371175861834,6.78471588858813e-05,0.00312221134508697
"LOC417447",20.7020565441895,1.46983221704406,0.466717556360084,3.14929703632158,0.00163663750242847,0.0270739175067978
"LOC693258",2.23444038829008,2.03285884457091,0.708862772470982,2.86777486915371,0.00413369560336393,0.0472465846908216
"LOC768817",16.9462381360898,-2.18711277079394,0.727555648126396,-3.00611063418476,0.00264612702078651,0.0368209779210958
"LOC769729",53.3453176124941,1.95657049052355,0.428871162910107,4.5621404741863,5.06347501447376e-06,0.000570335125218992
"LOC771012",47.8980753804758,1.16628999764799,0.338467235355193,3.44579881247313,0.000569374086571905,0.0136405623793307
"LOC775999",2.22849647692045,4.19678275534028,1.22309750091752,3.43127408255844,0.000600753288781296,0.0140548093541178
"LOC776719",5.73257883959444,1.57659409536928,0.514765167070683,3.06274432736199,0.00219317354664203,0.0327265544080654
"LOC777499",3.59161390155825,2.12509326268216,0.703843823928887,3.01926818199497,0.00253386124933931,0.0357840647821255
"LOXL1",36.7743444337844,2.64735413573139,0.564658824235086,4.68841364396921,2.75331055947656e-06,0.000402045231525394
"LRP4",1.77129847212028,2.36334537091358,0.766791216256385,3.08212368739937,0.00205529417161138,0.0312962437071507
"LRRC23",10.8776693081115,1.08985593644359,0.384047988267894,2.83781186137435,0.00454239482453833,0.049955613003407
"LRRC46",3.32322661137406,2.13389884598301,0.734278704973648,2.9061156636152,0.00365946151156156,0.0441379092676859
"LSMEM2",9.33493352661483,1.16858561950277,0.402812322622675,2.90106720642064,0.00371894108186609,0.0445005184825617
"LURAP1",3.01057158881031,1.92439284448275,0.548321898906271,3.50960420935459,0.000448774163679174,0.0115646286791643
"MAF",39.0274412271914,1.40532489911852,0.475150862391314,2.95763937383145,0.00310004568740727,0.0405415150899038
"MAIP1",5.9543814105636,3.04396202545774,0.578178590714631,5.26474358328521,1.40385155905161e-07,6.82833828970343e-05
"MAL2",14.5622346268289,2.03013266550654,0.521369094216599,3.89384926729688,9.86659717355821e-05,0.00411363470815187
"MAOB",11.0922291469113,1.34480750729241,0.347196749586625,3.87332977308557,0.000107358401936616,0.00438442923932374
"MAP3K7",10.7646744781849,1.05474488311556,0.338655531072542,3.11450658955759,0.00184252841024939,0.0291775445645728
"MAPKAPK5",2.97895560104373,3.8967436718431,0.871691435112927,4.47032460670935,7.81009697546747e-06,0.000768194538425029
"MAST2",6.36532602777639,1.19218276144423,0.396718657892774,3.00510887936723,0.0026548579564047,0.0368903843006242
"MAU2",14.3851069676633,2.5694614710203,0.527717642888608,4.86900808727115,1.12159818037654e-06,0.000244028545234995
"MCAT",91.6971706317716,1.02436044171861,0.285752150915026,3.58478646070883,0.000337354109783315,0.00953887547782733
"MCOLN3",3.25710734397317,1.52603011444219,0.509982603591292,2.99231798044854,0.00276867715214165,0.0379617588519675
"MCRS1",401.68321161336,-1.04871564713484,0.226238132547158,-4.63545042264808,3.56161082690216e-06,0.00046332295013777
"MCU",39.7555222295536,1.88360779842882,0.423434341119909,4.44840584598549,8.65099553965698e-06,0.000818508279556588
"MDGA2",2.74512941117862,2.99011002503188,0.892782591544052,3.34920287800475,0.000810444284122876,0.0172666456794368
"MECOM",12.0624757435476,1.59678956057264,0.324634839713301,4.91872518052231,8.71096677572704e-07,0.000213449250801017
"MEGF11",3.55345616611979,3.2840036298084,0.79700151996543,4.1204483900493,3.78135766644219e-05,0.00208751867696435
"MEIS1",135.865641197592,1.19506945616651,0.296742865031861,4.02728960656964,5.64235177564058e-05,0.00277004250778304
"MFSD2A",45.9572973609804,1.00260166439322,0.351482457486934,2.8524941801128,0.00433776067281069,0.0485850066697249
"MFSD4B",10.1608783652465,1.96212470081618,0.466775653419812,4.20357121550954,2.62736436822884e-05,0.00166791821140727
"MIOX",47.523897583412,1.08263045399273,0.361717690643772,2.99302600341692,0.00276226212953389,0.0379356097966567
"MIR12250",20.8360307011011,1.34288583911517,0.368958303013595,3.63966829895596,0.000272989467803681,0.0083375815193045
"MIR6690",15.3684661810109,1.6812434026404,0.366602332780141,4.58601392383577,4.51788484586818e-06,0.000530722547111387
"MIR7479-2",2.55834912334008,3.92570129566443,0.997203858742887,3.93670888980847,8.26067154623973e-05,0.00363964667149307
"MMP15",23.1093124765419,2.11597475850733,0.424617598521623,4.9832479055848,6.2525758927505e-07,0.000174659454988093
"MMP24",1.95715895123468,2.55711772289873,0.762983207896865,3.35147313392038,0.000803828381042523,0.0172458847895867
"MOXD1",3.46366727645502,2.90819906266523,0.863795740877477,3.36676707818791,0.000760548964418812,0.0164947009099962
"MPHOSPH6",41.4223383012241,1.35287088620469,0.312221763491748,4.33304479186457,1.47061174732728e-05,0.0011670474019841
"MRPL12",14.1361015171732,2.8828146140779,0.449661259800417,6.41108067739133,1.44491702642568e-10,5.04528902702188e-07
"MRPL3",42.9261807508578,1.43833678142931,0.466131968227873,3.08568577027132,0.00203083317955912,0.0310675213788633
"MRPL32",92.6722167799594,-1.10954971703782,0.251414682751871,-4.41322561154025,1.01841769163577e-05,0.000917692896714631
"MRPL49",13.0351109384465,1.3137378499397,0.360557478836481,3.64362945453005,0.000268820349955119,0.00825955454648327
"MTO1",6.61789330351934,2.11605695682507,0.565992358314865,3.73866700802327,0.000184998576754909,0.00641160079785563
"MTSS1L",12.6317264741927,1.20529197432634,0.337432341363574,3.57195154873337,0.000354330974880922,0.0098193268376227
"MUC5L",2.66383261048878,3.28860338002005,0.791225834909473,4.15633973882604,3.23386829637584e-05,0.00190579909263634
"MYH1A",854.440455169791,1.88857598747499,0.38250002087352,4.93745329258291,7.91493545745497e-07,0.000200996188244134
"MYO10",23.6221656727507,1.17885284362406,0.29745069835539,3.96318734547256,7.39556993318113e-05,0.00332134807899488
"NAA15",6.7115485286328,3.41169778947014,0.685949545607033,4.97368620085745,6.56916154679206e-07,0.000176388128279728
"NAAA",22.6981657817707,1.24029455223989,0.411721684740451,3.01245865400987,0.0025914073452643,0.0362667198309685
"NAT8L",3.20675913399356,3.32100267145221,0.727697954721214,4.56371032776162,5.02574109223467e-06,0.000570335125218992
"NCKAP1",2.12022686496328,3.27496399206989,1.0568296222347,3.09885711297994,0.0019426868786104,0.0302491723896895
"NDUFAB1",192.94475184198,2.1541190052602,0.571762295036893,3.76750797308383,0.00016488527626311,0.0058748792182828
"NDUFAF5",5.80018831544984,1.8255927179661,0.433061689872736,4.21554887134577,2.49171422709438e-05,0.00162625105653398
"NDUFS3",554.184746770622,1.41279383973111,0.257054700794509,5.49608248891936,3.88320919962277e-08,2.46530831323324e-05
"NEIL1",16.5077340522445,-1.02790218077545,0.276810321915237,-3.7133809666614,0.000204508676275744,0.00681699862663257
"NES",9.31900956768446,-1.0474387555396,0.361293040673877,-2.89913903015108,0.00374188930807398,0.0445170084888154
"NEUROD1",3.88069327444875,-1.72012048187625,0.562539273814366,-3.0577784733371,0.0022298435067407,0.0330969439518039
"NFASC",26.0384607545024,1.20547638727423,0.408141834922955,2.95357222447386,0.00314119094972661,0.0408076149807276
"NFATC2",14.5880788090992,1.29650279423021,0.330596306250254,3.92170986099519,8.79228240202475e-05,0.00382006937247497
"NFKBIZ",33.377487671202,1.3830668145782,0.40781059511544,3.39144404570138,0.00069525357882733,0.0155121513346347
"NR2F1",6.54055454161607,1.80644241451144,0.491740898137158,3.67356553289488,0.00023918929658481,0.00766228648027533
"NR4A2",1.11800785009725,3.43988004145715,1.0526812864048,3.26773173028022,0.00108413074464653,0.0207995248770304
"NR4A3",5.40827232854587,3.07977034775572,0.694859427626723,4.43222071300753,9.3267471551505e-06,0.000862693228582696
"NRP1",14.5376996922799,1.41114732588361,0.276576675060841,5.10219209762786,3.35741700809771e-07,0.000126737955005677
"NRP2",3.369928364756,1.73121212278427,0.599105994400209,2.88965915708698,0.00385659726817219,0.0453028545370572
"NT5DC4",10.9696610649126,1.88987744702364,0.450904556393265,4.19130261654608,2.77357424040002e-05,0.00172171161847409
"NTM",5.18578487133896,2.36468484353047,0.659235303047184,3.58701184933542,0.000334489129230322,0.00949554810560957
"NUDT8",41.3607453242796,1.96934873748521,0.34915391995455,5.6403454892947,1.69709297499456e-08,1.48145609885931e-05
"NUP153",13.4171364114108,1.39254893942648,0.322777434957608,4.31426979896959,1.60131291966772e-05,0.00123566505795575
"OFCC1",1.48969450508022,3.58277440138142,1.23965241376883,2.89014433528909,0.00385064983980685,0.0453028545370572
"OSR2",20.0718328976966,2.40524246686133,0.430454411743429,5.58768222892549,2.30120231453661e-08,1.89064074865488e-05
"PAOX",12.2591851038392,2.25043970688869,0.538300964594225,4.18063472835327,2.90696511421575e-05,0.00177299483625552
"PAX2",3.98852723129933,1.54221197267066,0.517254053443132,2.9815367562706,0.00286805615563647,0.0387275265989187
"PCDH15",4.8258947553661,2.49863944440028,0.773220461774772,3.23147092960416,0.00123154850479244,0.0224263858754054
"PCDH17",7.45138703452447,1.86035240715512,0.510319236776496,3.64546792103371,0.000266905709430263,0.00822929810951982
