genes	slow-heart	slow-heart.1	slow-heart.2	slow-heart.3	slow-heart.4	slow-heart.5	slow-heart.6	slow-heart.7	slow-heart.8	slow-heart.9	slow-heart.10	slow-heart.11
DOCK4	58.9100554606979	64.0948416802124	67.846940654259	60.2852974821145	42.4333513917978	64.3794248796	47.0815467013466	53.1678713946059	72.9013722528133	71.4201263034842	54.5720480290716	51.3285358824159
GUCY1A2	2.2549303525626	4.1518925784753	2.39459790544443	0.692934453817408	1.16255757237802	2.06464627893761	3.09121266220963	1.56376092337076	1.08808018287781	2.73191739958683	1.79907850645291	1.33900528388911
PEBP4	21.4218383493447	13.7531441661994	13.5693881308518	15.244557983983	27.029463557789	14.6402190688303	16.1694200792504	25.8020552356176	16.6838961374598	12.8790391694808	36.5812629645425	30.3507864348198
RRNAD1	1.40933147035163	2.33543957539236	1.59639860362962	0.692934453817408	0.581278786189011	1.50156093013644	2.85342707280889	3.38814866730332	1.81346697146302	0.780547828453379	0	0
CALN1	0	0.259493286154706	0.399099650907406	0.692934453817408	0.290639393094506	0.187695116267056	0.237785589400741	0.521253641123587	0	0	0.599692835484303	0
SLC2A13	0	0	0	0	0.290639393094506	0.375390232534111	0	0	0	0.390273914226689	0	0
LOC121108220	100.344400689036	68.7657208309971	116.93619771587	87.3097411809934	95.0390815419033	124.629557201325	115.088225269958	104.511355045279	97.927216459003	115.5210786111	92.952389500067	160.234298972063
PLAT	0.845598882210975	0.518986572309412	0.798199301814811	0	2.03447575166154	0.375390232534111	0.951142357602962	0	0.725386788585207	1.17082174268007	2.99846417742152	0.446335094629703
UBAC1	151.362199915765	137.531441661994	88.9992221523515	186.399368076883	184.556014615011	141.334422549093	210.915817798457	199.900771370896	135.647329465434	133.863952579754	127.734573958157	114.261784225204
SLC22A18	0	0.778479858464118	0.399099650907406	3.46467226908704	0.290639393094506	0.750780465068222	0.713356768202222	0.521253641123587	1.81346697146302	1.17082174268007	0.599692835484303	0.446335094629703
POLG	6.20105846954715	2.59493286154706	3.19279720725925	0.692934453817408	9.88173936521319	1.87695116267056	5.46906855621703	4.1700291289887	1.45077357717041	2.34164348536014	2.99846417742152	1.78534037851881
CMC2	3.3823955288439	4.93037243693942	1.99549825453703	4.15760672290445	3.48767271713407	4.12929255787522	3.80456943041185	3.12752184674152	3.62693394292604	2.73191739958683	1.79907850645291	4.90968604092674
KLF4	67.3660442828077	33.9936204862665	4.78919581088887	13.1657546225307	27.029463557789	13.514048371228	39.2346222511222	25.5414284150558	19.222749897508	8.19575219876048	23.9877134193721	31.6897917187089
LOC112532808	0	0	1.19729895272222	0.692934453817408	0	0.187695116267056	0.237785589400741	0.260626820561794	0	1.56109565690676	0.599692835484303	0
IWS1	103.163063629739	107.949207040358	103.765909235925	88.6956100886282	102.886345155455	94.0352532497948	136.964499494827	119.10645699674	102.279537190514	110.057243811926	121.137952767829	90.1596891152001
LOC121113195	0.281866294070325	0.518986572309412	0	0	0.581278786189011	0.375390232534111	1.90228471520592	0.260626820561794	0.725386788585207	3.51246522804021	3.59815701290582	0
LOC121109403	0	0	0	0.692934453817408	0	0.187695116267056	0	0	0	1.17082174268007	0	0.446335094629703
LOC121111060	0	0	0	0.692934453817408	0	0	0.237785589400741	0	0.362693394292604	0	0	0
MAMLD1	22.8311698196963	17.1265568862106	20.7531818471851	17.3233613454352	23.2511514475604	22.8988041845808	30.1987698538941	21.6320261066289	27.2020045719453	23.0261609393747	20.9892492419506	22.3167547314852
FAM207A	3.66426182291422	3.11391943385647	1.19729895272222	0.692934453817408	3.77831211022857	2.06464627893761	5.23128296681629	1.04250728224717	2.17616036575562	0	0	3.12434566240792
CPTP	3.3823955288439	4.1518925784753	1.99549825453703	0.692934453817408	1.45319696547253	4.12929255787522	3.80456943041185	2.86689502617973	6.16578770297426	4.29301305649358	1.79907850645291	4.01701585166733
ETV6	3.66426182291422	7.78479858464118	6.38559441451849	1.38586890763482	5.52214846879561	3.378512092807	6.89578209262148	5.73379005235946	13.0569621945337	8.19575219876048	6.59662119032734	5.80235623018614
NPEPL1	62.0105846954715	57.8670028124995	35.5198689307591	69.2934453817408	68.3002573772088	55.9331446475825	62.0620388335933	58.11978098528	53.3159289610127	47.6134175356561	35.9815701290582	39.7238234220436
LOC121111113	0.281866294070325	0	0.798199301814811	0	0	0	0	0.260626820561794	0	1.56109565690676	0	0
DUT	47.6354036978849	43.8543653601453	87.4028235487218	47.1195428595837	51.4431725777275	60.2501323217248	32.3388401585007	43.0034253926959	47.1501412580385	38.2468435942156	34.1824916226053	63.3795834374179
