genes	slow-breast	slow-breast.1	slow-breast.2	slow-breast.3	slow-breast.4	slow-breast.5	slow-breast.6	slow-breast.7	slow-breast.8	slow-breast.9	slow-breast.10	slow-breast.11
YTHDC2	5.68533219991189	7.31251938612158	5.16931732385342	2.30687563167425	9.41537775285889	4.48388758195903	5.65199060855295	4.6689908825492	7.25650597229532	6.68023441602545	6.15654518478736	6.15098255590456
LOC421356	1.00329391763151	1.51293504540447	0	0.230687563167425	1.56922962547648	0	0.627998956505883	0.518776764727689	0.453531623268458	0	1.02609086413123	0.809339809987443
LOC121110830	1.00329391763151	0	0	0	0	0	0.313999478252942	0	2.11648090858614	0.371124134223636	0	0.647471847989954
LOC124417733	0	0	0.912232468915309	0	0	0	0	0	0.151177207756153	0	0	0.161867961997489
RNPC3	8.69521395280642	8.5732985906253	13.3794095440912	11.5343781583712	12.2922987328991	13.4516627458771	7.84998695632354	13.4881958829199	11.4894677894676	10.3914757582618	20.5218172826245	10.0358136438443
MYO1E	5.35090089403472	1.51293504540447	3.3448523860228	2.07618806850682	3.9230740636912	0.815252287628914	2.51199582602353	0.518776764727689	1.66294928531768	2.78343100667727	4.10436345652491	1.29494369597991
LOC121107542	35.7841497288572	58.7523109298734	48.9564758317883	37.1406976699554	42.8922764296905	42.800745100518	53.0659118247471	51.0995113256774	81.3333377728101	54.9263718650981	70.8002696250547	48.0747847132541
DDRGK1	131.765934515605	214.836776447434	104.602656435622	190.086552049958	192.753705662694	212.780847071147	194.679676516824	95.195536327531	103.102855689696	191.314491192284	129.287448880535	162.029829959486
REL	11.3706643998238	9.83407779512902	13.9875645233681	13.1491911005432	8.3692246692079	9.78302745154697	10.3619827823471	9.33798176509841	12.850062659273	15.5872136373927	6.15654518478736	11.8163612258167
LOC107052215	24.7479166349106	15.6336621358461	0.608154979276873	7.61268958452501	2.09230616730197	3.66863529433011	19.7819671299353	10.1161469121899	1.96530370082998	5.93798614757818	3.07827259239368	4.53230293592968
PPARA	38.1251688699974	25.7198957718759	28.583284026013	32.7576339697743	37.6615110114356	34.2405960804144	24.4919593037294	41.761529560579	35.5266438226958	36.5557272210282	26.6783624674119	43.7043497393219
SELENOP1	410.012781005411	461.697344689263	769.316048785244	592.174974650779	398.584324871026	448.796384339717	410.397318076595	486.353216932209	473.638191900026	397.102823619291	1095.86504289215	385.245749554023
LOC101750905	0	0	0.304077489638436	0	0	0	0	0	0	0.185562067111818	1.02609086413123	0.323735923994977
MCL1	74.9126125164861	53.4570382709578	47.1320108939576	47.2909504493221	17.7846024220668	48.0998849701059	48.355919650953	54.7309486787712	169.620827102403	161.25343632017	50.2784523424301	126.257010358041
TRIM41	23.0757601055247	19.9203114311588	13.0753320544528	8.76612740036214	17.2615258802413	12.6364104582482	7.84998695632354	10.8943120592815	23.7348216177159	9.09254128847908	11.2869995054435	11.0070214158292
LOC112531992	0.66886261175434	0	1.52038744819218	0.461375126334849	0.261538270912747	0.815252287628914	0.313999478252942	0.259388382363845	0.453531623268458	0.185562067111818	1.02609086413123	0.323735923994977
VTCN1L	0	0	0	0.230687563167425	0.261538270912747	0.407626143814457	0	0.518776764727689	0	0	0	0.323735923994977
LOC121107472	0	0	0	0	0.261538270912747	0	0.627998956505883	0	0.151177207756153	0	0	0.161867961997489
UGT8	9.36407656456077	8.06898690882382	51.0850182592573	26.067694637919	10.9846073783354	30.1643346422698	9.41998434758825	26.9763917658398	20.8624546703491	21.3396377178591	52.3306340706926	23.4708544896358
LOC107056913	3.67874436464887	1.00862336360298	7.29785975132247	7.61268958452501	1.83076789638923	4.48388758195903	1.25599791301177	2.59388382363845	4.23296181717227	4.08236547646	5.13045432065613	3.56109516394475
KIF20B	0	0	0	0.692062689502274	0.261538270912747	0.815252287628914	0	0.259388382363845	0.302354415512305	0	0	0.647471847989954
LIMS2	83.2733951634154	32.7802593170967	48.044243362873	43.3692618754758	35.8307431150463	38.316857518559	64.0558935636001	34.2392664720275	26.3048341495705	23.5663825232009	47.2001797500364	59.7292779770733
RGS16	3.3443130587717	0	1.52038744819218	4.38306370018107	1.30769135456373	1.22287843144337	1.88399686951765	4.6689908825492	0.60470883102461	0.371124134223636	1.02609086413123	0.161867961997489
