genes	slow-kidney	slow-kidney.1	slow-kidney.2	slow-kidney.3	slow-kidney.4	slow-kidney.5	slow-kidney.6	slow-kidney.7	slow-kidney.8	slow-kidney.9	slow-kidney.10	slow-kidney.11
ACKR1	1.2369483973052	0.262786984894182	1.96232742107544	1.80073373736404	0.450392644490538	1.44505252244932	1.44351162404238	0.476407707588046	0	1.22008573644898	0.885186056691754	1.41995997673237
LOC124417397	0	0	0	0	0	0	0	0	0	0	0.295062018897251	1.06496998254928
POC5	0.824632264870131	1.05114793957673	1.40166244362532	0.300122289560673	0.900785288981076	2.16757878367397	2.70658429507947	1.90563083035218	0	0.488034294579593	0.885186056691754	2.48492995928166
CSNK2A1	27.8313389393669	47.8272312507412	30.8365737597569	39.9162645115696	33.7794483367904	40.4614706285808	40.598764426192	40.2564512911899	37.5986553308736	37.3346235353389	41.8988066834097	43.3087792903374
SEC23A	34.840713190763	44.4110004471168	57.748492677363	24.0097831648539	42.7873012266011	62.1372584653206	39.6965696611655	52.166643980891	42.3354937977553	46.1192408377715	36.5876903432592	53.6034891216472
WRAP53	0	0.262786984894182	0	0	0	0	0.180438953005298	0.238203853794023	0	0	0.295062018897251	4.25987993019712
SNX33	4.32931939056819	2.89065683383601	5.3263172857762	3.00122289560673	5.40471173388646	0	3.24790115409536	3.57305780691035	3.84868125434139	3.41624006205715	2.95062018897251	3.54989994183094
ST18	0	0	0	0	0.450392644490538	1.44505252244932	0.180438953005298	0.238203853794023	0.296052404180107	0	0	0.709979988366187
E2F6	12.1633259068344	12.3509882900266	25.7905889627058	20.7084379796865	17.3401168128857	33.2362080163343	19.3069679715669	20.0091237186979	20.4276158884274	15.617097426547	15.3432249826571	22.0093796393518
ACTN4	210.075069475666	229.93861178241	260.709214514309	322.931583567285	283.747366029039	203.752405665354	233.127127282845	235.583611402289	258.453748849234	270.126982049805	251.982964138253	250.622935893264
USP48	83.7001748843183	62.8060893897096	73.1667795572415	56.4229904374066	45.0392644490538	53.4669433306247	74.521287591188	62.6476135478281	64.8354765154435	69.7889041248818	63.4383340629091	49.34360919145
PTPRE	17.5234356284903	13.6649232144975	10.9329670602775	15.606359057155	16.4393315239046	13.7279989632685	26.8854039977894	9.2899502979669	9.47367693376343	13.6649602482286	10.0321086425065	14.5545897615068
STRN3	8.04016458248377	7.35803557703711	10.6526345715524	7.20293494945616	9.90863817879184	10.8378939183699	6.49580230819072	13.5776196662593	8.58551972122311	10.0047030388817	10.0321086425065	11.359679813859
TMEM175	17.1111194960552	19.9718108519579	42.8908707749346	20.4083156901258	22.7448285467722	30.3461029714356	42.9444708152609	26.9170354787246	20.7236682926075	19.7653889304735	22.4247134361911	31.5941094822953
CYP27A1	1.03079033108766	1.57672190936509	0	0.300122289560673	0.225196322245269	1.44505252244932	0.180438953005298	0.238203853794023	0.888157212540322	0.976068589159186	0.885186056691754	0
LRRC49	3.29852905948052	3.67901778851855	5.04598479705113	1.20048915824269	0.900785288981076	1.44505252244932	5.77404649616953	3.33485395311632	2.07236682926075	2.92820576747756	1.77037211338351	1.77494997091547
KIRREL3	4.12316132435065	2.89065683383601	0.560664977450126	1.80073373736404	1.35117793347161	3.61263130612329	1.26307267103708	1.90563083035218	3.25657644598118	0.732051441869389	3.24568220786977	3.19490994764784
SCUBE3	0.618474198652598	1.05114793957673	1.12132995490025	0.300122289560673	0	0.722526261224658	0.180438953005298	0.952815415176092	0	0.976068589159186	0.885186056691754	0.354989994183094
CCDC130	67.8260037855682	67.5362551178049	84.9407440836941	75.330694679729	72.5132157629766	66.4724160326685	55.3947585726264	75.0342139451172	71.9407342157661	60.0282182332899	61.9630239684228	66.3831289122385
OSR2	31.7483421975	63.331663359498	31.116906248482	12.905258451109	27.6991476361681	7.22526261224658	36.8095464130808	16.4360659117876	45.5920702437365	34.1624006205715	18.2938451716296	47.2136692263515
LOC121107263	0	0.262786984894182	0.840997466175189	0.90036686868202	0.675588966735807	0.722526261224658	0.902194765026489	0	0	0	0	3.19490994764784
TPP1	258.522215036786	271.984529365479	852.210765724192	374.55261737172	375.627465505109	677.007106767505	282.567400406296	661.492101986002	277.993207525121	322.102634422531	227.787878588678	473.91164223443
LOC101749023	12.9879581717046	10.5114793957673	8.69030715047695	8.10330181813818	7.43147863409388	3.61263130612329	7.21755812021191	11.4337849821131	6.80920529614247	9.02863444972247	11.8024807558901	8.51975986039425
FBLN1	5.36010972165585	6.83246160724874	5.04598479705113	7.20293494945616	7.20628231184861	17.3406302693918	3.06746220109006	6.66970790623264	4.73683846688172	3.41624006205715	7.96667451022579	4.61486992438022
NFASC	15.87417109875	14.9788581389684	17.941279278404	16.506725925837	14.6377609459425	28.1785241877617	11.1872150863285	11.1955811283191	22.203930313508	11.4688059226204	20.3592793039103	11.0046898196759
RAB32	17.1111194960552	17.6067279879102	47.0958581058106	38.4156530637662	33.1038593700546	38.2938918449069	25.2614534207417	40.0182474373959	18.3552490591666	27.0859033491674	27.1457057385471	38.3389193717741
CCDC3	1.03079033108766	0.262786984894182	0.560664977450126	0.300122289560673	0.225196322245269	0	0.541316859015893	0.476407707588046	0.592104808360214	0	0.885186056691754	0
SLC16A6	8.45248071491884	3.41623080362437	10.6526345715524	16.506725925837	14.6377609459425	25.288419142863	17.5025784415139	11.4337849821131	5.32894327524193	9.02863444972247	6.19630239684228	4.96985991856331
LOC121111532	0	0.788360954682547	0	0	0	1.44505252244932	0.721755812021191	0	0.296052404180107	0	0	1.41995997673237
SHISA2	0	0.262786984894182	0.280332488725063	0.300122289560673	0.225196322245269	0	0.360877906010596	0.476407707588046	0.592104808360214	0.244017147289796	0	0
SPATA7	3.09237099326299	0.788360954682547	1.12132995490025	2.70110060604606	2.47715954469796	1.44505252244932	1.08263371803179	1.66742697655816	1.77631442508064	2.92820576747756	1.47531009448626	1.06496998254928
SCFD2	16.2864872311851	10.7742663806615	29.1545788274066	7.50305723901684	25.4471844137154	13.7279989632685	56.1165143846476	24.2967930869903	15.9868298257258	20.4974403723429	14.7531009448626	18.814469691704
TMSB4X	394.38038067414	299.577162779368	273.884841484387	300.122289560673	249.967917692249	854.026040767546	529.047010211533	250.828658045106	231.809032473024	428.494110640883	440.822656232494	207.66914659711
DUS2	46.5917229651624	38.6296867794448	28.0332488725063	36.0146747472808	32.4282704033187	24.5658928816384	61.5296829748066	30.966500993223	34.9341836932526	31.4782120003837	41.6037446645125	44.7287392670698
GABRG1	9.68942911222404	11.8254143202382	7.28864470685164	3.30134518516741	8.78265656756549	3.61263130612329	4.87185173114304	8.3371348827908	6.80920529614247	3.66025720934695	7.08148845353403	3.90488993601403
PKD1	3.09237099326299	1.57672190936509	1.96232742107544	1.50061144780337	2.02676690020742	0	0	0.714611561382069	0.296052404180107	2.44017147289796	0.295062018897251	0
DENND3	2.88621292704546	6.30688763746038	2.80332488725063	2.70110060604606	2.25196322245269	7.94778887347124	5.05229068414834	1.90563083035218	3.55262885016129	5.12436009308573	2.36049615117801	4.61486992438022
DCXR	166.369559437549	160.82563475524	225.947985912401	159.064813467157	194.119229775422	286.842925706189	373.147754814956	317.049329399845	149.506464110954	225.227826948482	185.003885848577	191.339606864688
PLXDC1	1.2369483973052	1.83950889425928	0.840997466175189	1.20048915824269	1.57637425571688	5.78021008979726	0.721755812021191	0.952815415176092	2.07236682926075	0.244017147289796	2.36049615117801	1.06496998254928
PACRG	4.74163552300325	1.05114793957673	0.840997466175189	0.600244579121347	2.47715954469796	2.89010504489863	0.360877906010596	2.14383468414621	0.888157212540322	0.976068589159186	0.885186056691754	2.12993996509856
ZNF516	5.97858392030845	6.56967462235456	5.3263172857762	7.80317952857751	5.855104378377	6.50273635102192	9.56326450928078	5.95509634485057	5.92104808360214	8.78461730243267	9.7370466236093	8.16476986621116
KPTN	28.4498131380195	32.3227991419844	23.5479290529053	16.506725925837	25.2219880914701	20.2307353142904	18.765651112551	23.8203853794023	21.6118255051478	23.9136804344	12.3926047936846	23.7843296102673
LOC124417848	5.77242585409091	4.20459175830692	17.1002818122288	10.5042801346236	6.5306933451128	14.4505252244932	12.089409851355	16.4360659117876	10.6578865504839	5.61239438766532	5.60617835904778	10.2947098313097
TREMB2	2.68005486082792	1.83950889425928	2.52299239852557	2.40097831648539	1.35117793347161	6.50273635102192	3.42834010710066	2.14383468414621	1.48026202090054	3.41624006205715	4.72099230235602	2.48492995928166
DUSP22AL	0.618474198652598	0.788360954682547	1.68199493235038	2.40097831648539	3.82833747816957	13.7279989632685	0.360877906010596	3.0966500993223	1.77631442508064	0.488034294579593	5.31111634015053	4.61486992438022
LOC112532931	0	0	0.280332488725063	0	0	0	0.180438953005298	0	0	0	0.295062018897251	1.41995997673237
LOC121107016	1845.52700877935	3398.88686262135	1591.16720600346	2045.63352564555	3388.52906082456	3106.86292326603	4766.29494363494	2342.02029050283	2115.88653267523	1812.55937006861	2926.72016544184	2659.58503641974
LY6E	44.7363003692046	19.4462368821695	48.777853038161	52.5214006731179	66.8833077068449	461.694280922556	43.1249097682662	45.2587322208644	44.4078606270161	15.8611145738368	94.7149080660177	68.5130688773371
FAM63B	0.412316132435065	1.05114793957673	1.40166244362532	3.60146747472808	2.47715954469796	1.44505252244932	1.98482848305828	3.0966500993223	1.77631442508064	2.19615432560817	3.24568220786977	1.41995997673237
ARID3A	17.5234356284903	27.5926334138891	29.7152438048567	31.21271811431	39.1841600706768	31.0686292326603	18.4047732065404	34.3013549463393	30.1973452263709	22.4495775506613	38.6531244755399	35.8539894124925
HIKESHI	35.4591873894156	40.7319826585983	49.6188505043362	49.2200554879504	41.4361232931295	45.5191544571535	44.3879824393033	45.4969360746584	43.2236510102957	36.3585549461797	49.8654811936355	56.798399069295
LOC121107754	0	0	0	0	0	0	0	0	0	0	0	0
CALB2	0	0	0	0.300122289560673	0.450392644490538	5.78021008979726	0.721755812021191	0.238203853794023	0.296052404180107	0	0.590124037794503	0.354989994183094
LOC124417307	5.15395165543832	8.9347574864022	2.52299239852557	6.00244579121347	5.62990805613173	9.39284139592055	5.77404649616953	8.81354259037885	9.76972933794354	3.17222291476735	18.8839692094241	11.0046898196759
SCARF2	3.71084519191559	2.36508286404764	2.2426599098005	0.90036686868202	0.900785288981076	0	1.62395057704768	0.238203853794023	0.888157212540322	3.90427435663674	0	0.354989994183094
THAP1	5.97858392030845	6.83246160724874	7.28864470685164	5.7023235016528	7.88187127858442	12.2829464408192	7.21755812021191	7.86072717520276	11.5460437630242	8.54060015514288	6.78642643463678	6.38981989529569
PPP1R19B	24.1204937474513	15.2416451238626	19.0626092333043	18.3074596632011	14.187368301452	21.6757878367397	10.285020321302	20.961939133874	26.6447163762096	26.8418862018776	27.1457057385471	20.9444096568025
ARHGAP28	6.59705811896105	3.41623080362437	7.5689771955767	5.40220121209212	3.60314115592431	2.89010504489863	4.33053487212715	5.47868863726253	4.44078606270161	4.88034294579593	2.06543413228076	3.90488993601403
TCHP	16.9049614298377	9.19754447129638	8.40997466175189	9.30379097638088	7.88187127858442	9.39284139592055	4.69141277813774	6.90791176002667	7.10525770032257	11.2247887753306	8.55679854802029	3.90488993601403
MRPS27	42.2624035745942	67.799042102699	30.5562412710319	31.5128404038707	27.6991476361681	14.4505252244932	66.4015347059496	19.0563083035218	22.4999827176881	40.0188121555266	20.6543413228076	35.4989994183094
PRIMA1	15.461854966315	6.30688763746038	10.9329670602775	8.10330181813818	6.30549702286753	9.39284139592055	5.77404649616953	5.95509634485057	8.88157212540322	4.14829150392654	5.01605432125327	4.61486992438022
ATP5F1AZ	784.637600023929	1117.10747278517	717.651171136161	835.840576426476	974.424486355279	489.150278849093	920.419099280024	665.5415675005	639.177140624851	821.605734924745	737.359985224231	809.732176731637
CFLAR	43.0870358394643	43.3598525075401	53.263172857762	40.2163868011302	42.5621049043559	39.7389443673562	55.3947585726264	61.4565942788579	51.8091707315188	46.3632579850613	45.1444888912795	48.2786392089007
