genes	fast-liver	fast-liver.1	fast-liver.2	fast-liver.3	fast-liver.4	fast-liver.5	fast-liver.6	fast-liver.7	fast-liver.8	fast-liver.9	fast-liver.10	fast-liver.11
ITGA8	8.5530831208087	10.0833057826853	7.69384256441777	2.27353254605419	13.07293329182	3.1184518555121	13.6457445042281	7.05496069667225	3.42487618227031	8.57190653069538	0.500978856547546	4.66677311833925
CTPS2	12.1543812769387	13.1643158829503	15.6441465476495	18.7566435049471	18.0194485914276	14.4785264720205	20.3022052379979	9.82655239893634	13.9441387421005	17.4612910810461	20.5401331184494	23.3338655916962
NOP58	24.7589248233936	11.4837649191694	13.5924551971381	19.3250266414606	25.7925440622395	19.8244439386126	10.9831602107202	12.5981441012004	17.3690149243709	13.0165988058708	12.5244714136886	13.7780920636683
RPLP1	810.292085129245	1541.34532561437	1621.34908974164	1687.52953230872	1706.19445584321	855.346794654748	757.505231503004	1454.32975504258	701.610349339375	1797.24306926913	1153.754306629	943.132624487227
ANKMY1	2.70097361709748	0.280091827296815	0.256461418813926	2.27353254605419	1.05996756420162	9.35535556653631	1.33129214675396	1.76374017416806	11.0085305858689	0.317478019655384	1.50293656964264	1.33336374809693
GPN2	6.75243404274371	10.0833057826853	14.6183008723938	9.09413018421677	11.6596432062179	7.35063651656424	7.98775288052377	10.8344039270324	7.09438637755993	13.9690328648369	5.00978856547546	3.7778639529413
LOC107055373	15.7556794330687	5.6018365459363	6.66799688916207	5.11544822862193	11.6596432062179	7.12788995545623	11.9816293207857	7.55888646072026	8.31755644265647	4.44469227517538	8.01566170476073	7.33350061453311
ANP32B	62.1223931932422	58.5391919050343	61.8072019341561	44.3338846480567	50.8784430816779	66.8239683324022	47.5936942464541	58.45538862957	72.4116678537151	63.8130819507323	41.5812450934463	42.2231853564027
SLC9A9	3.15113588661373	4.48146923674904	5.89861263272029	2.84191568256774	1.7666126070027	5.79141058880819	1.33129214675396	2.7715917022641	7.09438637755993	0.952434058966153	4.50880970892791	4.66677311833925
PTPRVP	8.5530831208087	0.280091827296815	4.61630553865067	1.70514940954064	2.11993512840325	8.01887619988826	2.66258429350792	3.02355458428811	14.6780407811585	0.317478019655384	3.00587313928527	4.00009124429078
LOC121109475	0	0	0	0.568383136513548	0	2.00471904997207	2.32976125681943	1.25981441012004	0.244634013019308	0	0	0
PTPRN	20.2573021282311	3.92128558215541	2.56461418813926	15.9147278223793	2.47325764980379	5.79141058880819	15.9755057610475	18.1413275057286	12.4763346639847	2.53982415724307	10.5205559874985	7.77795519723208
