gene	median
EPHA5	17.1711394436172
FGD5	20.6170190136781
STAMBPL1	0.647071244853026
PIK3C2G	1.78946748229222
EYA3	9.93011162992325
TRPC3	0.115713841583537
LOC107050103	582.576319516312
CBX5	17.226978303648
PDCD4	80.5521635405138
SLC25A19	35.1035137675149
ALOX5AP	3.17950756830231
DOK2	1.60720814189631
TCF7L1	0.36683248907287
C5H14orf4	32.6613834385036
TSHZ1	0.286677495429956
KLHDC10	45.4006170862902
SUMF1	14.301414668642
LOC107049068	7.93127601793442
ACP6	3.82124618230109
FGA	170.72047734346
CLCN1	66.7549694293615
PGAP2	77.4378970791964
LOC112531935	1.61663378614714
CRIM1	11.8821586341053
DNAJB13	1.47171402577657
IFT122	3.355897994928
SMIM8	51.5624375589606
BSND	0.320951260352131
PPA2	119.812941220964
NTRK3	7.27177951734307
KHK	11.110273609205
NMRK2	576.62426505692
BIRC8	18.1803884956186
RAPGEF6	1.2963443547082
LOC107049986	4.25239817218664
CHRNB2	0.728573968684851
NRDE2	3.22720006942107
MCC	3.54028667694655
LOC121107638	0
LOC121110599	0.53440578224796
RBPMS2	29.0278623084957
PALMD	3.46387444588808
ZFAND4	4.7755087373287
ALPK3	166.067542171566
LOC121110811	0.160840990142473
TFEC	0.531933899035143
TMEM14C	8.92273577333893
NPHP4	2.83720633218854
CCDC173L	0.727896398002332
EGFL6	15.9696025580619
MIR135B	0
STXBP5	8.21574167294376
MPZL1	53.5842743423701
SMIM5	5.83763792658773
LRG1	4.9209384896424
WRNIP1	0.597299808880744
KDM2A	27.4646627038736
NTN1	2.31993633925433
SPAG16	0
TTC37	15.3268964986325
CSAD	7.05149737693802
TCEA3	431.472332376824
LOC121108774	0
MYH1E	2054.63983712325
LOC124418374	17.7498327135909
SYF2	143.714278106946
FBXO9	584.9966629713
LOC121107484	23.9349493546999
CSE1L	7.03644407104463
SMAD2	79.4718738020848
LOC101748916	17.9886648937322
ADRB1	0.484934088271454
LOC124417734	0
MACIR	3.56582883750249
FAM105B	2.051913770584
JMJD1C	4.94275533304788
LOC415661	1.34290385331574
MTMR3	36.7104200809461
KRT75L4	0
LOC100858984	38.4308109006495
RCAN1	32.090426201302
HDHD5	0.681906397087247
REXO4	17.9933719488282
STX12	13.7933993098818
WNT1	0.135404805905796
TAX1BP3	61.6837812005814
MAFB	10.1257474387593
MON2	24.2937997111241
ETFA	299.216483104574
MEIS1	21.1546218425637
ELF5	1.13520857125669
LOC776593	1.12083452997815
