genes	fast-heart	fast-heart.1	fast-heart.2	fast-heart.3	fast-heart.4	fast-heart.5	fast-heart.6	fast-heart.7	fast-heart.8	fast-heart.9	fast-heart.10	fast-heart.11
PARP16	19.8139024116603	27.3321426228296	36.2342109017707	5.09310607148857	27.4168394088439	4.92608968468119	7.20975856503467	26.0406902860494	4.44916664200269	6.23173012253311	6.02414822223738	4.08260791961416
HYOU1	47.6876973297587	28.7802031591385	57.9747374428332	41.7634697862063	41.5771850375875	75.5333751651116	45.2612621027177	33.3447863418925	71.1866662720431	56.4135568987208	63.5273812526851	69.9875643362427
TNFSF15	5.70909052539365	2.7151135055791	3.34469639093268	3.05586364289314	4.51925924321603	2.95565381080872	3.60487928251734	1.90541636239386	10.6779999408065	2.95187216330516	1.09529967677043	1.74968910840607
ADAMTS20	4.02994625321905	0.362015134077213	0	4.07448485719086	0.301283949547735	2.29884185285122	2.80379499751348	0	3.55933331360215	1.96791477553677	2.19059935354087	2.91614851401011
C9orf40	4.36577510765397	18.6437794049765	8.08301627808732	2.03724242859543	9.03851848643206	1.31362391591498	0.801084285003853	12.0676369618278	1.77966665680108	0.983957387768386	0	0.583229702802022
NUDCD1	29.552939190273	33.3053923351036	22.5767006387956	21.391045500252	26.211703610653	14.4498630750648	23.2314442651117	31.1218005857663	16.9068332396102	17.0552613879854	15.8818453131713	13.4142831644465
EDEM2	4.02994625321905	8.1453405167373	12.821336165242	10.695522750126	12.0513579819094	7.88174349548991	5.60758999502697	11.1149287806308	5.33899997040323	8.19964489806988	5.47649838385217	8.16521583922831
FAM49A	38.284489405581	35.6584907066055	33.7256886085712	12.7327651787214	28.0194073079394	12.4794272011924	12.8173485600616	21.9122881675293	23.135666538414	16.3992897961398	8.76239741416347	25.078877220487
TMEM79	29.552939190273	50.1390960696941	39.5789072927034	25.4655303574428	39.769481340301	15.1066750330223	33.2449978276599	47.9529784535787	30.6992498298186	18.6951903675993	21.3583436970235	19.8298098952688
CA15L	9.7390367786127	1.81007567038607	3.34469639093268	7.63965910723285	1.80770369728641	5.58290164263869	5.20704785252504	3.17569393732309	10.2330832766062	6.55971591845591	8.21474757577825	5.2490673252182
