genes	slow-leg	slow-leg.1	slow-leg.2	slow-leg.3	slow-leg.4	slow-leg.5	slow-leg.6	slow-leg.7	slow-leg.8	slow-leg.9	slow-leg.10	slow-leg.11
CCDC107	58.0437568438024	30.0220087603703	44.1108064104203	81.9960157594766	56.9196649595579	44.1272128523609	53.0146609034934	38.2862767374257	48.6225712499829	87.3735441178141	99.728368990865	79.772920051197
BORA	0.977167623633038	1.19134955398295	0.71724888472228	0	0	0.479643617960444	0.339837569894188	1.03476423614664	0.209580048491306	1.81272913107498	0.909377224840715	0
CNEP1R1	35.5689015002426	31.4516282251499	24.3864620805575	32.1290510731011	42.2944732685604	30.6971915494684	31.2650564302653	14.1417778940041	27.0358262553784	37.3422201001446	38.19384344331	42.4373382830496
CRB2	0.195433524726607	0.23826991079659	1.43449776944456	0	0.395275451108041	0	0.679675139788376	0.34492141204888	1.04790024245653	0	0	0
LOC121108615	0	0	0	0	1.58110180443216	0	0	0	0	0	0.606251483227143	0
COL15A1	49.8355488052849	27.6393096524044	34.0693220243083	44.1774452255139	71.1495811994474	15.3485957747342	42.1398586668793	14.8316207181018	31.4370072736959	42.7804074933696	48.5001186581714	38.4950718851706
LGALS1A	15.8301155028552	17.3937034881511	15.7794754638902	18.4072688439641	26.4834552242388	71.227077267126	11.2146398065082	16.5562277783462	10.0598423275827	17.4021996583198	29.1000711949029	10.8992071000182
SDHC	544.477799888328	528.482662146836	303.396278237525	493.984160248929	502.39509835832	108.639279468041	409.504271722497	106.235794911055	384.369808933055	566.296580547824	374.966542375988	484.898766939107
DIEXF	5.86300574179822	7.38636723469428	3.22761998125026	5.35484184551684	1.58110180443216	5.75572341552533	5.43740111830701	2.75937129639104	2.51496058189567	1.81272913107498	8.18439502356643	4.17416442128356
HIGD2A	254.845316243496	117.705335933515	227.009272014602	273.431611736704	305.943199157624	76.0235134467304	169.5789473772	131.415057990623	291.525847451406	209.188941726053	212.491144871114	145.631958698115
CAPN10	11.7260114835964	9.53079643186359	10.0414843861119	6.69355230689605	4.34802996218845	17.5069920555562	8.15610167746052	20.3503633108839	15.2993435398653	5.80073321943994	7.57814354033929	10.4354110532089
ALAS1	62.1478608630612	43.3651237649793	57.7385352201436	29.7863077656874	17.3921198487538	23.2627154710816	31.2650564302653	17.9359134265418	56.1674529956699	17.7647454845348	32.7375800942657	24.5811904808921
WWOX	18.1753177995745	14.0579247369988	11.4759821555565	14.7258150751713	13.8346407887814	17.9866356735167	10.874802236614	15.8663849542485	15.2993435398653	13.7767413961699	17.5812930135871	12.98628931066
DIXDC1	3.32236992035233	6.9098274131011	3.94486886597254	5.35484184551684	4.74330541329649	5.51590160654511	4.07805083873026	5.86366400483096	6.91614160021309	5.07564156700995	6.365640573885	3.71036837447428
SNX17	72.5058376735714	109.842428877228	44.1108064104203	110.443613063785	81.4267429282565	27.3396862237453	104.66997152741	52.7729760434786	81.7362189116092	128.341222480109	88.8158422927765	68.1780188809649
TPPP3	130.549594517374	37.170106084268	143.808401386817	74.2984306065462	129.650347963437	393.067944918584	13.9333403656617	211.781746998012	65.5985551777787	130.153951611184	19.4000474632686	30.1467430426035
MKL2	39.8684390442279	36.2170264410817	24.0278376381964	24.0967883048258	19.368497104294	38.851133054796	37.7219702582549	26.5589487277638	24.5208656734828	25.3782078350497	31.2219513861979	31.770029206436
LOC107055147	0	1.19134955398295	0	0	0	0.239821808980222	0	0	0	0	0	0
LOC121107260	0	0	0	0.334677615344803	0	0.239821808980222	0.679675139788376	0.34492141204888	0	0	0	0
CORO7	4.10410401925876	3.57404866194885	7.17248884722281	7.02822992224086	6.7196826688367	9.83269416818911	3.73821326883607	6.55350682892872	7.75446179417831	5.43818739322494	4.85001186581714	4.40606244468821
PSEN1	44.9497106871197	45.2712830513521	23.6692131958353	30.455662996377	27.6692815775629	28.2989734596662	44.1788840862445	20.6952847229328	23.6825454795175	39.5174950574346	73.9626809537115	30.1467430426035
LOC422320	1.75890172253947	3.57404866194885	4.66211775069482	1.00403284603441	1.97637725554021	2.63803989878244	1.01951270968256	3.79413553253768	5.44908126077395	5.07564156700995	1.21250296645429	1.85518418723714
L3MBTL2	25.0154911650058	23.826991079659	29.4072042736135	28.782274919653	14.2299162398895	24.2220027070024	19.7105790538629	34.1472197928391	21.7963250430958	18.8523829631798	24.8563108123129	20.8708221064178
PYCR1	8.01277451379091	7.62463714549087	17.5725976756959	7.69758515293046	32.4125869908594	21.1043191902596	7.13658896777795	26.2140273157149	12.1556428124957	9.7887373078049	9.39689799002072	14.8414734978971
NCF1C	0.390867049453215	1.19134955398295	2.51037109652798	0	0.395275451108041	6.71501065144622	0	0.34492141204888	0	1.08763747864499	1.21250296645429	0.92759209361857
LOC121113119	0.195433524726607	0.714809732389769	0	0.334677615344803	0	0.479643617960444	0.339837569894188	0.34492141204888	0.838320193965223	0	0	0.231898023404642
LOC101749231	0.195433524726607	0	0	0	0	3.35750532572311	0.679675139788376	0	0	0	0.303125741613572	0.463796046809285
GNGT2	0	0.47653982159318	0.71724888472228	0.334677615344803	0	0	0	0.34492141204888	0	0.725091652429993	0.303125741613572	0.231898023404642
EIF4ENIF1	9.57624271160377	8.81598669947382	14.7036021368067	15.0604926905161	11.4629880821332	16.3078830106551	9.17561438714308	14.1417778940041	10.0598423275827	9.06364565537491	13.0344068893836	11.3630031468275
LOC107054119	0.390867049453215	0	0	0.669355230689605	0	0.479643617960444	0	0	0	0.362545826214996	0.303125741613572	0
SLC11A2	76.6099416928301	39.7910751030305	94.676852783341	103.415383141544	107.910198152495	76.0235134467304	67.2878388390493	85.1955887760734	170.807739520414	73.2342568954292	59.41264535626	94.8462915724987
NCAPG	3.12693639562572	1.90615928637272	1.07587332708342	1.33871046137921	5.13858086440453	3.11768351674289	2.7187005591535	2.75937129639104	3.35328077586089	1.45018330485999	3.94063464097643	2.08708221064178
PRELID1	70.9423694757585	69.3365440418076	84.6353683972291	59.9072931467197	73.5212339060957	124.227697051755	72.7252399573563	75.1928678266558	68.7422559051483	73.5968027216442	66.6876631549857	54.0322394532817
