genes	median
TBC1D2B	6.84364310279142
BHLHE41	56.0741552438335
LOC124416952	20.422366743606
LOC101747373	40.4244672742971
CRB1	2.27013918095037
SAP30L	9.70372412331284
CLCN4	13.4123011860666
NOP56	14.9785431102426
LOC121110843	0
GNAI1	45.7995127343478
HOOK3	131.888498623334
SMCO4	9.65293148568736
SLC22A23	35.2780143662769
AQP12A	0
KCNA4	7.89198583061264
LOC420808	0.634067693503683
PEMT	31.3829257956365
LOC419171	0.215399741637158
HAX1	9.66696897953969
RALGPS1	29.741779052542
ANOS1	140.106741470905
LOC121109901	0
SLC51A	2.5133783401047
MPHOSPH9	1.40776079678899
APOF	0.680604799844426
RBM44	27.3146640354615
LRRTM4	27.4906052119454
DUSP29	1.25457235989098
LOC107052441	0.268581347831448
LOC124417568	2.28024453919717
RNF7	104.216667152451
TMC6	3.57501050083587
PRR11	0.611130104616248
LRBA	5.64281999364637
LOC121106512	0
DPAGT1	38.355841637437
LOC427517	0.233665160124342
CDH20	48.5791420614154
LOC121110467	0
RBM10	141.107981644285
LOC770839	0.0623529892297852
LOC124417811	0.116832580062171
SLC4A3	3.32408086154906
DRG2	8.3257938077913
RNF19AL	7.06069320287733
C1GALT1C1	35.2539984995285
TXNL4B	11.3257527867248
GNG11	295.693211005351
SERHL	21.2753150522953
NECAP2	66.9397189469833
HEATR3	16.9641747901809
GPR171	0
LOC121110263	0.709393073068557
PSMA1	53.8597900354257
ZIC1	30.4556021784933
LOC107051508	30.0693691093036
ENOPH1	201.307890348493
SKIV2L2	96.9478186639292
KCTD10	20.0590384710467
TMEM200B	2.83166262152907
LOC107051741	0
SLC25A37	1.88290994795498
PXDC1	10.8534883366836
PLLP	191.477640218537
UBE2E3	72.2203340268625
MSTN	2.66425089487232
DAB2	11.1339679585593
LOC124417527	1.99071245333768
RGS17	26.2161344526417
ATF3	13.9273238791273
GATAD2B	12.9941384307877
HMCES	27.5341228756154
VWA5A2	9.72460893697768
IFNG	0
IRF2	16.4027678030871
LOC121108973	12.7895782805161
SGO1	0
MXRA5	0.424629424115066
HRAS	93.6519126881902
