genes	slow-liver	slow-liver.1	slow-liver.2	slow-liver.3	slow-liver.4	slow-liver.5	slow-liver.6	slow-liver.7	slow-liver.8	slow-liver.9	slow-liver.10	slow-liver.11
MIEF1	37.1322997897917	31.4885261980899	35.8006246408781	25.7186079567824	37.9345583630822	33.5555314027511	33.3710152076573	36.6880014700891	36.7722479097574	28.5936149046464	19.8315200840053	32.6276154908719
LOC121106438	215.118407162089	133.199252413159	551.231535566397	95.3101353692526	44.0040877011753	103.717097063049	264.040839625499	164.452357466803	325.819219851571	115.617660266614	368.671209430524	146.000340024811
OPTN	77.5836878289502	77.1886881139017	80.5922737349447	54.9672209272409	60.9987698478361	45.0796532986454	64.9856611938589	53.4228793336385	51.8802257331461	63.7140332114404	74.7745839232986	44.1626310684529
GUK1	11.2019228416131	13.6543166699682	10.9527025157024	6.5557235968269	6.06952933809315	4.40628190137136	12.5873127537655	7.40196520887763	13.9677530820009	9.32400486021078	10.0783134853142	8.23929684112927
NUAK2	2.07443015585428	4.45855238203042	7.84671225005547	4.03429144420117	1.0621676341663	3.05050285479556	3.51273844291129	0.965473722897082	3.42067422416348	0.932400486021079	2.92596197960734	3.62529061009688
KIF7	13.4837960130528	11.9823595267068	18.962887937634	10.0857286105029	16.6912056797562	19.3198514137052	14.929138382373	10.9420355261669	19.383820603593	18.3372095584145	12.0289548050524	14.5011624403875
EEFSEC	30.9090093222288	44.8641833441811	39.2335612502773	26.7271808178327	51.4392611403394	41.6902056822059	46.2510561649987	41.1935455102755	35.6320231683695	35.120418306794	32.8357955489268	31.6388998699364
KDSR	53.1054119898697	95.0228976420234	72.4186151411369	63.5400902461684	143.544368845903	84.3972456493437	92.2093841264215	96.8691968640072	97.774271574006	91.3752476300657	57.8690258189007	89.9731215051316
LOC107051953	4.97863237405028	4.17989285815352	6.21198053129391	14.1200200547041	6.06952933809315	4.74522666301531	4.09819485006318	12.8729829719611	5.70112370693913	4.66200243010539	13.3293823515445	5.6027218519679
CAB39L	4.56374634287942	4.17989285815352	2.9425170937708	8.06858288840234	2.73128820214192	7.79572951781086	2.34182562860753	5.14919318878443	3.99078659485739	2.48640129605621	4.87660329934556	1.97743124187102
RGS7BP	0.207443015585428	0.557319047753803	0	2.01714572210058	0	4.74522666301531	0.878184610727823	1.28729829719611	0	1.55400081003513	0.650213773246075	0.659143747290342
ZNF341	3.73397428053771	2.78659523876901	3.43293660939927	1.51285929157544	6.22126757154548	9.82939808767457	4.68365125721506	4.18371946588735	1.99539329742869	4.66200243010539	4.87660329934556	3.62529061009688
BTN3A3	0	0.278659523876901	0	0.504286430525146	0	0.677889523287901	0.292728203575941	0	0.570112370693913	0	0	0.329571873645171
