genes	fast-kidney	fast-kidney.1	fast-kidney.2	fast-kidney.3	fast-kidney.4	fast-kidney.5	fast-kidney.6	fast-kidney.7	fast-kidney.8	fast-kidney.9	fast-kidney.10	fast-kidney.11
RBSN	33.0670482897364	22.0752151681874	45.6611169446913	38.5367750856663	40.5937288839344	41.3671147240147	29.5850839356277	17.9620040617715	35.9778751418022	22.5742432856301	26.3449284490874	22.1472865922049
SYDE1	33.0670482897364	35.8109046061707	8.33811700729146	26.3893133738802	15.9575348026501	13.4506569348023	17.7510503613766	28.867506527847	14.0892378177687	42.9313733914216	35.2616734626247	22.7986773743286
PDLIM1	60.8197495329081	65.2445248304206	24.617297831051	54.4541387080068	30.5152858506817	19.7953064323506	42.7845829222924	51.3200116050614	27.1721015056967	57.8464984194272	70.1180403337249	52.7626533520175
LOC107054727	5.90483005173865	4.41504303363748	0.794106381646805	1.67551196024636	0.559913501847371	0.253785979901931	0.455155137471195	1.28300029012654	1.00637412984062	0.201555743621698	1.21591977457326	1.30278156424735
FRG1BP	24.2098032121285	20.1129738199041	21.0438191136403	19.6872655328947	12.8780105424895	17.0036606534294	15.0201195365494	10.9055024660755	16.3535796099101	33.0551419539584	20.2653295762211	19.5417234637102
LOC121107752	0.590483005173865	0	0	0	0	0	0	1.28300029012654	0	0	0	0
TUBGCP5	5.31434704656478	4.41504303363748	17.4703403962297	2.93214593043113	9.5185295314053	9.64386723627338	5.46186164965435	3.20750072531634	9.30896070102573	4.83733784692074	4.05306591524422	10.4222525139788
LOC121109727	0.590483005173865	0.490560337070831	0	0	0	0	0	2.56600058025307	0.251593532460155	0.403111487243395	0	0
MOB2	114.55370300373	92.7159037063871	66.7049360583317	93.8286697737962	60.1907014485924	57.3556314578364	100.589285381134	98.7910223397432	65.6659119721004	91.3047518606291	96.0576621912879	94.4516634079326
TOM1L2	21.847871191433	22.5657755052582	52.8080743795126	26.3893133738802	49.2723881625686	61.6699931161692	22.7577568735598	38.4900087037961	55.6021706736943	22.5742432856301	29.5873811812828	22.1472865922049
RAB11FIP2	4.72386404139092	8.83008606727496	0.397053190823403	7.53980382110863	1.39978375461843	1.26892989950965	11.3788784367799	0.641500145063268	0.754780597380465	4.03111487243395	6.48490546439074	0.651390782123673
LOC121108467	0	2.94336202242499	0.397053190823403	0.41887799006159	0	0	0	3.20750072531634	0.251593532460155	0	0	0
LOC112531958	0	15.2073704491958	0.397053190823403	0.837755980123181	0.559913501847371	1.52271587941159	0.910310274942391	0	0.754780597380465	0	0.405306591524422	0.651390782123673
OSBPL5	15.9430411396943	21.5846548311166	12.3086489155255	9.63419377141658	10.0784430332527	6.85222145735214	12.2891887117223	8.98100203088575	4.02549651936248	14.1089020535188	14.9963438864036	14.9819879888445
C7orf26	5.90483005173865	4.90560337070831	15.0880212512893	7.95868181117022	13.9978375461843	18.526376532841	3.64124109976956	6.41500145063268	14.8440184151491	6.65133953951602	4.86367909829306	5.86251703911306
TPD52L1	5.90483005173865	3.92448269656665	0.397053190823403	2.09438995030795	0.279956750923685	1.26892989950965	0	1.28300029012654	0.50318706492031	2.01555743621698	2.83714614067095	0.651390782123673
V-BG	53.7339534708217	0.981120674141663	2.77937233576382	2.51326794036954	3.07952426016054	1.52271587941159	1.36546541241359	27.5845062377205	3.01912238952186	16.5275709769792	17.8334900270745	39.0834469274204
LOC101747883	0.590483005173865	0.490560337070831	0	0	0	0	0	1.9245004351898	0.251593532460155	0	6.89021205591517	1.30278156424735
KCNH5	0	1.47168101121249	0.397053190823403	1.67551196024636	0.559913501847371	0	0	0	0.251593532460155	0.201555743621698	1.62122636609769	1.95417234637102
LOC112531140	5.90483005173865	3.92448269656665	1.98526595411701	1.67551196024636	1.11982700369474	0.761357939705793	6.37217192459674	6.41500145063268	1.76115472722109	5.03889359054244	3.64775932371979	1.30278156424735
ABHD2	89.7534167864274	97.1309467400246	66.3078828675083	69.9526243402856	158.175564271882	79.9425836691083	70.5490463080353	127.65852886759	72.962124413445	154.190143870599	63.6331348693342	84.0294108939538
LOC101751245	5.31434704656478	0.490560337070831	3.17642552658722	5.44541387080068	0	1.26892989950965	2.27577568735598	7.05650159569594	1.50956119476093	1.41089020535188	0.810613183048843	0
CHTOP	24.2098032121285	29.4336202242499	58.3668190510402	10.0530717614782	66.3497499689134	63.1927089955808	23.212912011031	23.0940052222776	63.6531637124192	17.9384611823311	25.1290086745141	18.8903326815865
LOC112533472	3.54289803104319	0.490560337070831	0.794106381646805	5.02653588073909	0.279956750923685	0	0	0	1.25796766230077	0.604667230865093	1.21591977457326	18.2389418994628
KLHL4	8.2667620724341	10.3017670784875	3.97053190823403	3.76990191055431	7.27887552401582	8.62872331666565	11.3788784367799	13.4715030463286	3.77390298690232	11.8917888736802	12.9698109287815	15.6333787709682
CARD11	21.847871191433	19.1318531457624	15.0880212512893	9.21531578135499	14.8377077989553	32.2308194475452	14.1098092616071	10.2640023210123	12.5796766230077	6.85289528313772	12.9698109287815	26.0556312849469
PIK3CG	10.6286940931296	10.3017670784875	14.6909680604659	12.5663397018477	15.3976213008027	15.4809447740178	10.9237232993087	11.5470026111388	13.5860507528484	11.0855658991934	16.6175702525013	11.7250340782261
FABP6	15.9430411396943	10.7923274155583	7.54401062564465	10.8908277416014	6.99891877309213	2.03028783921545	19.1165157737902	23.7355053673409	7.7993995062648	17.5353496950877	17.8334900270745	23.4500681564522
HARS1	73.8103756467331	76.0368522459788	34.9406807924594	72.8847702707167	46.4728206533318	40.351970804407	59.6253230087266	67.3575152316431	50.5703000244912	91.3047518606291	73.3604930659203	73.607158379975
SMIM15	15.3525581345205	20.1129738199041	58.3668190510402	20.1061435229563	51.7919989208818	51.7723398999939	12.2891887117223	12.1885027562021	39.2485910637842	19.1477956440613	12.1591977457326	11.0736432961024
CDC20	0	1.96224134828333	0.397053190823403	0.41887799006159	2.23965400738948	1.26892989950965	0.910310274942391	1.28300029012654	1.25796766230077	1.81400169259528	0.810613183048843	0
TTYH1	3.54289803104319	5.39616370777914	2.77937233576382	3.35102392049272	5.87909176939739	3.55300371862703	8.19279247448152	10.2640023210123	4.52868358428279	4.43422635967735	8.10613183048843	5.86251703911306
ANGPT1L	0	0	0	0	0	0	0	0	0	0	0	0
HS6ST2	2.95241502586932	7.35840505606247	9.52927657976166	3.35102392049272	8.39870252771056	9.13629527646951	5.00670651218315	3.84900087037961	10.8185218957867	6.85289528313772	5.6742922813419	3.25695391061836
LOC107050473	0	0.490560337070831	2.38231914494042	1.25663397018477	0	0.507571959803862	0	0.641500145063268	1.00637412984062	2.21711317983867	1.62122636609769	1.30278156424735
CLC2DL4	40.1528443518228	45.6221113475873	100.057404087497	34.3479951850504	55.7113934338134	69.2835725132272	42.7845829222924	29.5090066729103	82.0194915820105	57.2418311885621	60.3906821371388	60.5793427375016
FAM227B	0.590483005173865	4.41504303363748	1.19115957247021	1.25663397018477	0	1.01514391960772	0.910310274942391	1.9245004351898	1.00637412984062	0.403111487243395	4.45837250676864	16.2847695530918
LGALS8	72.6294096363854	79.9613349425455	113.557212575493	83.7755980123181	108.063305856543	148.718584222532	52.7979959466587	97.5080220496167	110.701154282468	106.421432632256	65.2543612354319	95.7544449721799
C15orf61	15.9430411396943	6.86784471899164	15.0880212512893	8.7964377912934	17.9172320591159	13.9582288946062	7.28248219953913	5.13200116050614	13.5860507528484	7.65911825762451	7.70082523896401	12.3764248603498
MIR6685	1.18096601034773	0	0.794106381646805	0.41887799006159	0	0	0.910310274942391	6.41500145063268	0.754780597380465	0	4.05306591524422	0
LOC422090	72.0389266312115	53.4710767407206	7.14695743482125	60.7373085589306	12.0381402897185	26.6475278897028	58.259857596313	18.6035042068348	27.9268821030772	74.1725136527848	73.7657996574447	78.8182846369644
TRAF7	25.3907692224762	40.716507976879	25.0143510218744	43.982188956467	25.1961075831317	26.3937419098008	37.7778764101092	33.3580075432899	21.8886373240335	40.3111487243395	35.2616734626247	28.0098036313179
MDH2	298.193917612802	255.581935613903	324.39245690272	322.117174357363	332.308663346415	303.781817942611	422.383967573269	292.52406614885	259.39293196642	390.211919651607	255.74845925191	322.438437151218
PIGA	0.590483005173865	0.981120674141663	4.36758509905743	1.67551196024636	4.19935126385528	3.55300371862703	1.82062054988478	1.28300029012654	4.27709005182263	1.41089020535188	0.810613183048843	0
FGFBP1	0	0.490560337070831	0.794106381646805	0.837755980123181	0	1.26892989950965	0.455155137471195	0.641500145063268	0.50318706492031	0.403111487243395	2.02653295762211	0.651390782123673
GAS6	39.5623613466489	26.9808185388957	46.0581701355147	30.1592152844345	59.0708744448976	46.6966203019553	34.1366353103397	18.6035042068348	51.3250806218716	27.8146926197943	23.5077823084165	26.7070220670706
LOC124417792	0	0	0.397053190823403	0.41887799006159	0.279956750923685	1.77650185931352	0	0	0.251593532460155	0.201555743621698	0	0
LOC112533189	2.36193202069546	0	0	0	0	0	1.82062054988478	0	0.251593532460155	0	14.5910372948792	0
THL	0.590483005173865	0	0	0	0.279956750923685	0	5.46186164965435	0.641500145063268	0.251593532460155	0	0	0
LOC124417370	2.95241502586932	4.41504303363748	3.17642552658722	1.25663397018477	6.43900527124476	4.56814763823476	3.64124109976956	3.20750072531634	5.28346418166325	2.41866892346037	2.43183954914653	1.95417234637102
UNC13A	0	0.490560337070831	0	0	0	0.507571959803862	1.36546541241359	0.641500145063268	0.251593532460155	0	1.21591977457326	0
LOC121108945	2.36193202069546	4.90560337070831	0.794106381646805	3.76990191055431	0.839870252771056	7.10600743725407	3.64124109976956	5.13200116050614	5.53505771412341	7.05445102675942	0.405306591524422	20.8445050279575
ALG3	14.7620751293466	28.943059887179	23.4261382585808	16.7551196024636	23.2364103266659	22.5869522112719	18.661360636319	19.245004351898	15.3472054800695	23.985133490982	30.803300955856	25.4042405028232
LOC121109888	0	0.490560337070831	0	0	0.279956750923685	0	0.910310274942391	0	0	0	0.405306591524422	0
SHANK3	2.95241502586932	22.0752151681874	0.397053190823403	0.837755980123181	0.559913501847371	0.761357939705793	2.27577568735598	0	1.50956119476093	0.604667230865093	0.405306591524422	1.95417234637102
CCDC18	8.85724507760797	3.43392235949582	4.36758509905743	4.60765789067749	2.79956750923685	4.82193361813669	5.00670651218315	8.33950188582248	3.52230945444217	8.8684527193547	6.07959887286632	2.60556312849469
ZPBP1	0	0	0	0.41887799006159	0	0	0	2.56600058025307	0	2.01555743621698	0.405306591524422	0.651390782123673
LOC107053438	0	1.47168101121249	0.794106381646805	0.837755980123181	0	0.253785979901931	0.455155137471195	0	0.251593532460155	0	0.405306591524422	5.86251703911306
BRF1	16.5335241448682	15.2073704491958	6.35285105317444	12.1474617117861	20.1568860665053	14.2120148745081	12.2891887117223	20.5280046420246	16.8567666748304	22.5742432856301	18.238796618599	15.6333787709682
SST1	11.2191770983034	11.7734480897	3.17642552658722	8.7964377912934	2.51961075831317	3.2992177387251	5.00670651218315	10.2640023210123	4.27709005182263	4.83733784692074	6.07959887286632	10.4222525139788
ZNF507	2.95241502586932	1.96224134828333	4.36758509905743	1.67551196024636	3.07952426016054	3.04543175882317	3.18608596229837	1.28300029012654	3.27071592198201	2.82178041070377	4.05306591524422	2.60556312849469
TMEM51	117.506118029599	142.262497750541	194.556063503467	259.285475848124	171.893445067143	172.066894373509	150.656350502966	146.903533219488	174.102724462427	134.236125252051	209.94881440965	159.5907416203
LOC101751687	7.67627906726024	16.6790514604083	23.4261382585808	7.53980382110863	43.1133396422475	24.8710260303892	7.73763733701032	16.679003771645	21.133856726653	9.47311995021979	16.2122636609769	7.1652986033604
ZBTB7C	2.36193202069546	0	1.19115957247021	0.837755980123181	0.279956750923685	0.507571959803862	1.82062054988478	3.20750072531634	0.754780597380465	0	0	0
CRYM	328.308550876669	400.787795386869	343.848063253067	475.845396709967	318.030869049307	350.224652264665	559.84081908957	356.674080655177	302.918613082027	361.994115544569	392.33678059564	457.927719832942
RPEL1	27.1622182379978	11.2828877526291	45.6611169446913	20.9438995030795	67.4695769726082	54.0564137191113	19.1165157737902	23.0940052222776	54.5957965438536	15.5197922588707	14.1857307033548	13.0278156424735
PNISR	27.7527012431716	21.0940944940457	21.0438191136403	11.7285837217245	22.1165833229711	20.5566643720564	17.7510503613766	16.679003771645	20.8822631941929	23.5820220037386	16.2122636609769	20.1931142458339
LOC112530378	5.90483005173865	5.88672404484998	1.58821276329361	0	0.279956750923685	0	1.82062054988478	14.7545033364552	2.2643417921414	1.41089020535188	1.21591977457326	3.25695391061836
NBEAL1	14.1715921241728	15.2073704491958	29.7789893117552	17.1739975925252	47.8726044079502	42.6360446235244	20.0268260487326	16.0375036265817	33.7135333496608	18.5431284131962	17.4281834355501	18.2389418994628
FMR1	82.667620724341	45.1315510105165	37.7200531282233	81.2623300719485	37.5142046237738	53.5488417593074	73.2799771328625	129.58302930278	34.7199074795014	102.591873503444	106.190326979398	111.387823743148
