genes	fast-leg	fast-leg.1	fast-leg.2	fast-leg.3	fast-leg.4	fast-leg.5	fast-leg.6	fast-leg.7	fast-leg.8	fast-leg.9	fast-leg.10	fast-leg.11
LOC112531398	2.61192157655323	7.14962119584361	1.85546454446335	2.61452233633352	7.1742581781793	8.93671718978251	0.650778529136163	1.5595137861328	2.57345584227956	6.22912791761622	2.89728046637219	4.89506655047082
NFKB1	124.066274886278	110.104166415992	110.585686850016	80.2658357254391	67.1140281184515	96.679031416738	74.8395308506587	76.7280782777335	87.1758166572201	75.4416603355743	90.3951505508122	106.801452010272
LOC107052551	0	0	0	0	1.61999378216952	0.812428835434774	0	0.623805514453118	0	7.61337856597538	0	0
HSPH1	15.0185490651811	20.7339014679465	18.9257383535262	12.0268027471342	24.7627620988769	23.2896266157968	24.7295841071742	110.413576058202	183.680410742704	23.5322610221057	16.8042267049587	8.01010890077043
NEIL1	1.30596078827661	2.14488635875308	5.19530072449738	4.18323573813363	6.71140281184515	3.52052495355069	0.650778529136163	1.87141654335935	7.07700356626879	2.07637597253874	1.15891218654887	4.00505445038522
SCNN1A	2.61192157655323	5.71969695667489	1.11327872667801	0	0.925710732668296	3.52052495355069	3.25389264568081	2.49522205781247	0	4.84487726925706	1.15891218654887	0.890012100085604
WDR6	1.30596078827661	7.86458331542798	2.22655745335602	1.30726116816676	1.85142146533659	9.2075268015941	1.30155705827233	4.67854135839839	2.25177386199462	3.80668928298769	6.37401702601881	3.56004840034241
CCT7	31.996039312777	23.5937499462839	50.8397285182958	145.89034636741	51.8398010294246	27.3517707929707	27.983476752855	43.9782887689448	115.16214894201	64.0215924866112	30.7111729435452	74.7610164071907
HSD3B7	0	0.714962119584362	3.33983618003403	0.784356700900056	0.694283049501222	1.35404805905796	0	0.311902757226559	0.321681980284945	0.34606266208979	1.15891218654887	0.445006050042802
LOC107049411	7.83576472965968	9.2945075545967	11.8749730845654	5.75194913993374	8.09996891084759	11.3740036960868	3.90467117481698	10.9165965029296	4.82522970427418	12.4582558352324	4.6356487461955	5.78507865055642
TNIP2	0.652980394138307	3.57481059792181	4.45311490671204	5.22904467266704	6.94283049501222	6.77024029528978	2.60311411654465	1.87141654335935	11.2588693099731	2.42243863462853	4.05619265292106	3.56004840034241
LOC101748547	0	0	0.37109290889267	0	0.694283049501222	0.541619223623182	0	0	0	1.38425064835916	1.15891218654887	0
