genes	fast-breast	fast-breast.1	fast-breast.2	fast-breast.3	fast-breast.4	fast-breast.5	fast-breast.6	fast-breast.7	fast-breast.8	fast-breast.9	fast-breast.10	fast-breast.11
LOC121110240	0	0	0	0	0	0.237736807842667	0.377730419438318	0	0.610761979793201	0	0	0
CYB5R4	5.62647419966152	8.25313256567854	6.61811714938971	6.5132061059711	8.68763644349572	3.09057850195468	6.79914754988973	1.86703949462176	5.80223880803541	5.93544646432209	7.28380487940221	3.44575366705383
TNFAIP8L3	31.2581899981195	53.7981974651638	53.8081698667772	28.2238931258747	38.7840912656059	26.3887856705361	44.9499199131599	17.7368751989067	17.7120974140028	86.5756501520084	48.0731122040546	40.4876055878825
NHLH1	0	0	0	0	0.310272730124847	0	0	0	0	0	0	0
LOC100858579	0	0	0	0	0	0	0	0	0.305380989896601	0	0.874056585528265	0.430719208381729
LOC101747613	0	0	0	0.310152671712909	0	2.85284169411201	0.755460838876636	2.80055924193264	0	3.6840702192344	0.291352195176088	1.29215762514519
LOC107052453	10.0026207993983	3.36238734157274	3.45293068663811	1.55076335856455	3.41300003137332	3.32831530979734	11.3319125831495	2.80055924193264	4.27533385855241	4.70742305791062	2.33081756140871	2.58431525029037
ANAPC16	28.75753479827	107.290723353821	127.182946957837	68.2335877768401	67.9497278973415	57.5323074979255	52.1267978824879	28.9391121666373	35.1188138381091	82.891579932774	78.3737405023678	44.7947976716998
ST6GAL2	1.25032759992478	0.305671576506613	0.287744223886509	0	0.620545460249694	0.237736807842667	0	0.933519747310879	0	0.204670567735244	0.582704390352177	1.29215762514519
RCOR3	18.1297501989093	18.0346230138902	14.9626996420985	14.8873282422196	16.4444546966169	16.4038397411441	20.3974426496692	16.3365955779404	21.0712883028654	18.8296922316425	17.1897795153892	8.61438416763457
C2CD3	0.625163799962391	2.4453726120529	4.89165180607065	6.5132061059711	1.86163638074908	5.94342019606669	0.377730419438318	1.40027962096632	0.610761979793201	1.8420351096172	3.20487414693697	1.29215762514519
DAW1	0	0.305671576506613	0	0	0.620545460249694	0	0	0.46675987365544	0.610761979793201	0.204670567735244	0.582704390352177	0
OXCT1	166.918734589958	128.687733709284	101.573711031938	103.590992352112	131.555637572935	204.929128360379	159.024506583532	256.717930510492	169.181068402717	211.220025902772	150.629084906038	194.25436298016
DSCAML1	0	0	0	0	0	0	0.377730419438318	0	0	0.204670567735244	0	0
PUM3	5.62647419966152	10.0871620247182	18.1278861048501	22.9512977067553	15.5136365062424	20.2076286666267	15.1092167775327	7.00139810483159	10.688334646381	25.7884915346408	17.4811317105653	6.89150733410766
MRPL46	33.7588451979691	95.3695318700632	71.0728232999677	56.4477862517495	76.9476370709621	37.3246788312988	62.3255192073225	56.4779447123082	76.6506284640468	61.8105114560438	78.6650926975438	62.4542852153506
RARB	0.625163799962391	2.13970103554629	2.30195379109207	2.79137404541618	2.79245457112362	1.90189446274134	1.51092167775327	9.33519747310879	2.74842890906941	5.93544646432209	0.874056585528265	2.15359604190864
STRN	17.5045863989469	3.05671576506613	1.72646534331905	5.27259541911946	1.86163638074908	28.2906801332774	15.486947196971	9.33519747310879	5.49685781813881	9.82418725129173	1.74811317105653	4.30719208381729
QARS	10.0026207993983	23.2310398145026	33.378329970835	26.6731297673102	30.406727552235	28.2906801332774	6.79914754988973	15.8698357042849	11.2990966261742	51.9863242047521	17.7724839057414	11.6294186263067
KTI12	2.50065519984956	7.64178941266532	4.02841913441113	6.5132061059711	6.82600006274664	8.08305146665069	5.66595629157477	7.93491785214247	8.24528672720822	2.45604681282293	4.07893073246524	5.16863050058074
MIR1388A	0.625163799962391	0.611343153013225	2.01420956720556	1.86091603027746	4.96436368199755	2.37736807842667	2.64411293606823	1.86703949462176	1.2215239595864	0.614011703205733	2.33081756140871	2.15359604190864
UTP3	167.543898389921	125.325346367711	117.975131793469	58.6188549537399	104.251637321949	127.902402619355	120.873734220262	168.500314389614	233.616457270899	75.9327806297756	165.196694664842	204.591623981321
FAM208A	20.0052415987965	13.1438777897843	16.976909209304	11.7858015250906	10.5492728242448	12.837787623504	12.8428342609028	13.0692764623523	15.26904949483	12.0755634963794	13.9849053684522	12.9215762514519
LOC124417142	0	0.305671576506613	0	0	0	2.85284169411201	0	0.933519747310879	0	0	0	0
SIX1	15.6290949990598	93.2298308345169	46.902308493501	55.8274809083237	147.689819539427	28.5284169411201	67.613745079459	26.1385529247046	31.1488609694533	31.3145968634924	25.3476409803197	35.3189750873017
ETNPPL	102.526863193832	182.180259597941	334.358788156123	195.08603050742	381.014912593312	144.781715976184	127.295151350713	117.623488161171	175.288688200649	661.290604352574	302.42357859278	214.067446565719
LOC107052306	8.75229319947347	13.1438777897843	17.2646534331905	22.0208396916166	13.6520001254933	24.7246280156374	18.5087905524776	18.6703949462176	10.688334646381	12.6895751995851	13.110848782924	9.0451033760163
LOC419322	4.37614659973674	7.03044625965209	8.34458249270876	1.86091603027746	4.03354549162301	3.32831530979734	4.91049545269814	3.26731911558808	1.526904949483	1.8420351096172	0.874056585528265	2.15359604190864
TNX	20.0052415987965	15.5892504018372	21.5808167914882	15.5076335856455	26.9937275208617	26.3887856705361	18.1310601330393	20.0706745671839	27.1789081007975	29.6772323216104	23.3081756140871	17.6594875436509
LOC112530906	19.3800777988341	2.75104418855951	1.15097689554604	8.06396946453564	4.34381822174786	9.74720912154937	19.6419818107925	18.2036350725621	20.7659073129688	3.6840702192344	7.86650926975438	11.6294186263067
FAM135A	1.25032759992478	0.611343153013225	2.30195379109207	1.24061068685164	1.55136365062424	9.27173550586403	1.51092167775327	1.86703949462176	3.05380989896601	1.22802340641147	1.16540878070435	1.29215762514519
