genes	slow-brain	slow-brain.1	slow-brain.2	slow-brain.3	slow-brain.4	slow-brain.5	slow-brain.6	slow-brain.7	slow-brain.8	slow-brain.9	slow-brain.10	slow-brain.11
CSF2RA	4.2193095295318	4.62667089786556	0.788537292599894	0.670409459580126	2.04606857773161	2.61882554765098	2.01787817387364	1.48235378566972	3.58895332882044	3.37684948135733	1.22142040657594	1.16832580062171
EMID1	41.2758540932459	23.1333544893278	38.6383273373948	41.5653864939678	43.4789572767966	21.8235462304248	37.3307462166623	40.4470818661309	26.5582546332712	24.2007546163942	13.02848433681	34.3487785382783
NLRP1L	17.2441345989561	16.092768340402	36.0755811364452	24.1347405448845	32.4813386714893	20.4517804673695	53.4737716076514	21.8117771319973	21.8926153058047	31.2358577025553	21.9855673183669	25.7031676136776
HAL	0.550344721243278	0.402319208510049	1.18280593889984	0.446939639720084	2.55758572216451	0.12470597845957	2.01787817387364	0.211764826524245	1.43558133152817	0.281404123446444	3.66426121972782	0.233665160124342
MIPEP	24.5820642155331	14.6846511106168	14.785074236248	25.2520896441847	18.6703757718009	19.5788386181526	32.2860507819782	13.7647137240759	31.2238939607378	26.1705834805193	21.5784271828416	14.4872399277092
CUTC	11.3737909056944	16.293927944657	21.8819098696471	13.8551288313226	17.6473414829351	16.7106011135824	10.5938604128366	17.7882454280366	10.7668599864613	16.0400350364473	18.3213060986391	21.4971947314395
PIK3R5	9.35586026113573	16.092768340402	8.87104454174881	14.9724779306228	7.92851573870998	9.47765436292735	10.0893908693682	8.8941227140183	12.9202319837536	13.5073979254293	8.95708298155689	6.30895932335724
LOC112531563	0	0	0	0	0	0	0.504469543468409	0	0	0	0	0
ETFDH	29.3517184663082	26.3519081574082	25.8245963326465	26.1459689236249	24.8085815049957	26.0635494980502	39.3486243905359	27.3176626216276	21.8926153058047	28.1404123446444	46.0068353143604	21.9645250516882
GADL1	24.3986159751187	11.4660974425364	36.6669841058951	30.8388351406858	42.2001644157144	25.6894315626715	37.8352157601307	40.4470818661309	24.763777968861	18.0098639005724	69.6209631748285	30.3764708161645
FAM173A	23.4813747730465	11.6672570467914	24.4446560705967	19.6653441476837	21.9952372106148	22.6964880796418	22.19665991261	14.1882433771244	11.1257553193433	19.1354803943582	37.8640326038541	29.9091404959158
CDA	7.7048260974059	8.24754377445601	10.2509848037986	12.0673702724423	11.2533771775238	8.48000653525079	7.06257360855773	8.68235788749406	15.4324993139279	8.16071957994689	22.7998475894175	6.77628964360592
LOC107054229	1.83448240414426	0.402319208510049	0.394268646299947	2.90510765818054	1.0230342888658	0.374117935378711	35.8173375862571	0	0.717790665764087	3.09544535791089	2.44284081315188	0.233665160124342
PHF14	76.6813644932301	59.1409236509772	72.3482965960403	74.638919833254	67.7760216373595	48.760037577692	50.9514238903093	86.6118140484163	92.5949958835672	47.2758927390027	46.0068353143604	56.3133035899665
HNMT	20.1793064455869	20.7194392382675	17.1506861140477	33.5204729790063	25.8316157938615	19.3294266612334	26.2324162603573	18.0000102545609	29.4294172963276	14.0702061723222	51.7067972117147	12.8515838068388
CHSY3	3.85241304870295	5.43130931488566	11.6309250658484	4.69286621706088	11.7648943219567	9.10353642754864	8.57598223896296	5.29412066310613	5.02453466034861	5.62808246892889	12.2142040657594	9.81393672522237
C2CD5	15.5931004352262	9.25334179573113	16.3621488214478	26.1459689236249	12.7879286108225	16.2117771997442	16.1430253909891	13.9764785506002	18.3036619769842	18.2912680240189	15.0641850144366	16.1228960485796
SERGEF	7.15448137616262	11.0637782340263	17.1506861140477	16.7602364895031	10.230342888658	5.23765109530196	5.5491649781525	8.04706340792132	3.23005799593839	8.16071957994689	8.54994284603157	8.41194576447632
UBE2Z	9.35586026113573	6.83942654467083	1.97134323149974	1.78775855888034	0.255758572216451	1.2470597845957	2.01787817387364	8.04706340792132	5.38342999323065	2.81404123446444	0.814280271050626	3.50497740186513
LOC124417291	1.28413768290098	2.61507485531532	2.9570148472496	2.45816801846046	1.53455143329871	0.748235870757422	0.504469543468409	3.17647239786368	0.358895332882044	2.532637111018	2.03570067762656	1.40199096074605
LOC121107804	0	0	0	0.446939639720084	0	0	0.504469543468409	0	10.4079646535793	0.281404123446444	0	0
AvBD14	0.91724120207213	1.40811722978517	5.91402969449921	2.90510765818054	4.34789572767967	3.61647337532754	2.01787817387364	2.54117791829094	1.07668599864613	3.93965772825022	2.84998094867719	6.77628964360592
SCARA5	8.25517081864917	8.85102258722108	4.53408943244939	6.9275644156613	5.37093001654547	3.61647337532754	63.5631624770196	2.3294130917667	7.89569732340496	11.8189731847507	11.8070639302341	3.03764708161645
LOC121109191	0.366896480828852	0	0	0.223469819860042	0	0	1.00893908693682	0	0	3.09544535791089	0	0
KLHL1	7.7048260974059	8.44870337871103	25.0360590400466	18.9949346881036	10.230342888658	10.6000081690635	7.56704315202614	11.6470654588335	15.4324993139279	5.90948659237533	13.02848433681	13.7862444473362
FARSB	35.4055103999842	23.7368333020929	31.1472230576958	23.2408612654444	31.4583043826235	29.6800228733778	34.3039289558518	25.2000143563852	41.272963281435	27.0147958508587	26.05696867362	32.9467875775322
HS6ST3	1.83448240414426	0	0	0.223469819860042	0	0.12470597845957	6.05363452162091	0.211764826524245	2.87116266305635	0.844212370339333	0.814280271050626	0.233665160124342
C1QA	58.1530922113731	65.376871382883	38.2440586910949	42.2357959535479	56.5226444598356	126.327156179545	72.1391447159825	21.1764826524245	65.3189505845319	116.501307106828	133.134824316777	51.1726700672309
SYT2	306.542009732506	165.75551390614	149.62495127083	200.452428414458	158.058797629767	174.962487778777	58.0139974988671	157.341266107514	101.567379205618	192.480420437368	136.39194540098	196.278734504447
LOC121108870	0	0	0	0.893879279440168	0	0.12470597845957	5.5491649781525	0	0.717790665764087	0.281404123446444	0	0.467330320248684
SUPT3H	13.758618031082	7.84522456594596	17.3478204371977	15.1959477504828	15.85703147742	14.216481544391	21.1877208256732	13.7647137240759	10.7668599864613	15.4772267895544	13.8427646078606	15.4219005682066
METTL24	2.56827536580197	1.00579802127512	2.16847755464971	2.23469819860042	1.79031000551516	4.36470924608496	0.504469543468409	3.81176687743642	1.07668599864613	1.12561649378578	2.03570067762656	1.86932128099474
SEPHS1	53.0165414797691	40.2319208510049	57.3660880366423	58.549092803331	54.2208173098876	55.9929843283471	49.4380152599041	45.1059080496643	48.0919746061938	46.4316803686633	53.7424978893413	58.1826248709612
KCTD2	180.69651680821	204.57931752736	232.421366993819	236.878009051644	204.351099200944	170.847190489611	118.550342715076	257.294264226958	196.315747086478	153.083843154866	155.120391635144	184.128146177982
AFDN	8.80551553989245	7.24174575318088	6.7025669870991	8.04491351496151	4.34789572767967	9.47765436292735	9.08045178243137	6.35294479572736	3.94784866170248	8.72352782683978	8.14280271050626	8.64561092460066
SERPINI1	224.907542748086	230.528906476258	242.080948828168	238.665767610525	202.305030623213	157.877768729816	105.434134584898	274.658980001946	252.303419016077	189.666379202904	140.870486891758	164.733937887661
LOC101748284	0	0	0.197134323149974	0	0	0	0	0	0	0	0.407140135525313	0
SORCS3	0.733792961657704	1.00579802127512	0.394268646299947	0.446939639720084	0.255758572216451	0.12470597845957	1.00893908693682	1.27058895914547	5.02453466034861	0.281404123446444	0.407140135525313	0
LOC107057342	0.183448240414426	0.201159604255025	0	0	0	0	0	0	1.07668599864613	0	0	0
GALNT16	13.3917215502531	12.8742146723216	15.3764772056979	14.5255382909027	8.18427431092643	5.86118098759981	7.56704315202614	23.5058957441912	13.9969179823997	5.065274222036	4.47854149077844	13.5525792872118
MAD2L1	8.4386190590636	11.8684166510464	18.9248950223975	18.7714648682435	21.2279614939654	20.2023685104504	18.1609035648627	14.6117730301729	13.2791273166356	20.5425010115904	18.3213060986391	21.4971947314395
ADPRM	6.78758489533377	7.84522456594596	6.30829834079915	4.46939639720084	4.09213715546321	8.10588859987208	13.1162081301786	3.17647239786368	4.66563932746657	4.22106185169667	8.54994284603157	4.90696836261119
ETV5	46.9627495460931	73.825574761594	95.0187437582873	50.7276491082295	73.6584687983379	73.9506452265253	54.4827106945882	70.0941575795252	48.8097652719579	47.2758927390027	61.0710203287969	86.4561092460066
ST7L	18.3448240414426	19.9148008212474	18.3334920529475	24.8051500044647	18.9261343440174	21.200016338127	19.674312195268	21.600012305473	15.4324993139279	22.5123298757156	19.9498666407403	19.8615386105691
ANAPC15	75.9475715315724	61.3536792977825	119.660534152034	105.92469461366	101.791911742147	70.0847598942786	96.8581523459346	100.164762945968	122.383308512777	66.9741813802538	72.4709441235057	100.476018853467
CCDC61	30.8193043896236	27.5588657829384	33.7099692586455	34.8612918981665	36.0619586825196	41.0282669131987	41.870972107878	30.4941350194913	27.2760452990353	42.4920226404131	25.6498285380947	27.1051585744237
LOC100858742	0	0	0	0	0	0	0.504469543468409	0	0.358895332882044	0	0	0
PDHX	63.1061947025626	53.1061355233265	60.7173715301919	51.1745887479496	57.8014373209179	46.1412120300411	59.0229365858039	59.7176810798372	37.3251146197325	44.4618515045382	56.9996189735438	48.6023533058632
TPK1	59.8041263751029	46.4678685829107	50.6635210495432	62.1246099210917	40.1540958379828	44.7694462669858	54.9871802380566	56.5412086819735	58.4999392597731	44.1804473810918	39.4925931459554	40.1904075413869
NPW	7.52137785699147	18.3055239872072	27.5988052409963	7.37450405538138	12.7879286108225	17.4588369843399	24.7190076299521	4.87059101005764	6.10122065899474	25.32637111018	8.54994284603157	11.9169231663414
NSF	411.841299730387	252.455303340056	397.225661147197	346.154750963205	286.449600882425	330.595548896321	125.108446780166	314.25900256198	241.177663696733	299.97679559391	268.305349311181	401.670410253744
LOC101748787	0	0	0	0.446939639720084	0	0	0.504469543468409	0	1.43558133152817	0.281404123446444	0	0
LOC101750098	0.550344721243278	0	0	0	0	0	4.54022589121568	0	3.58895332882044	0.562808246892889	0	0
BPHL	7.15448137616262	6.03478812765074	4.53408943244939	8.26838333482155	7.67275716649353	5.23765109530196	5.04469543468409	5.29412066310613	3.23005799593839	5.34667834548245	12.6213442012847	6.30895932335724
