genes	fast-brain	fast-brain.1	fast-brain.2	fast-brain.3	fast-brain.4	fast-brain.5	fast-brain.6	fast-brain.7	fast-brain.8	fast-brain.9	fast-brain.10	fast-brain.11
NCAM1	426.486364030705	586.855987635564	540.602651870284	248.123206717591	589.310574876327	229.156583325485	325.144374388385	204.949142078736	308.193984120106	197.692686262853	314.204309360193	670.941594581074
MIR1779	0	0	0	1.20011224530878	0.305026177472219	0	0	0	1.00062981857177	0	0	0.245766151861199
LOC107055278	2.69076570366375	4.4852227534496	4.31834369941315	2.70025255194476	6.40554972691659	0.94303120710076	3.76822950450115	3.73605206914363	3.66897600142983	3.10349585969942	9.11514208041515	7.37298455583598
LOC121107930	5.82999235793813	4.95735146433903	3.77855073698651	5.40050510388952	6.10052354944438	6.12970284615494	6.45982200771626	11.7418779315943	4.6696058200016	4.34489420357918	5.89803311085686	10.0764122263092
IKBKB	11.6599847158763	31.3965592741472	32.1176812643853	15.9014872503414	19.521675358222	12.7309212958603	23.1476955276499	11.2081562074309	22.013856008579	10.551885922978	10.7236965651943	25.5596797935647
MIR2131	1.34538285183188	0	0	0	0	0	0	0	0	1.86209751581965	2.14473931303886	0
NRCAM	116.599847158763	93.2454204006628	83.3980126949165	142.213301069091	98.5234553235267	71.6703717396578	214.789081756566	98.7385189702244	81.718101850028	111.105151777239	49.3290041998937	70.5348855841642
EYS	6.27845330854876	0.472128710889432	0.539792962426644	10.2009540851246	0.305026177472219	8.01576526035646	3.76822950450115	5.87093896579713	1.00062981857177	2.79314627372947	8.57895725215543	0.245766151861199
LOC124417328	2.69076570366375	2.36064355444716	0.539792962426644	0.600056122654391	0.610052354944438	1.41454681065114	0.538318500643022	1.06744344832675	1.33417309142903	0.620699171939883	2.14473931303886	0.491532303722399
AZI2	189.250521157684	98.4388362204465	135.488033569088	158.114788319432	131.771308667999	173.046226502989	221.248903764282	184.667716560528	121.409751320042	144.622907061993	187.6646898909	120.91694671571
PTPA	22.8715084811419	101.271608485783	68.2838097469705	19.8018520475949	89.9827223543045	24.9903269881701	17.2261920205767	11.7418779315943	70.7111738457385	20.7934222599861	26.273056584726	75.4502086213882
LOC121108771	4.03614855549563	0	1.34948240606661	7.80072959450708	0	1.41454681065114	11.8430070141465	0.533721724163375	0	15.827828884467	1.07236965651943	0.245766151861199
UBQLN4	113.460620504488	48.6292572216115	117.404969327795	82.807744926306	68.6308899312492	74.49946536096	57.0617610681603	52.8384506921741	72.3788902100248	35.6902023865433	82.0362787237363	87.7385162144482
WHRN	9.41767996282314	3.06883662078131	14.3045135043061	15.301431127687	11.8960209214165	7.54424965680608	9.6897330115744	4.269773793307	3.00188945571532	6.51734130536877	8.04277242389572	9.33911377072558
NEDD1	19.2838208762569	29.9801731414789	23.480993865559	17.1015994956501	17.0814659384443	15.5600149171625	18.3028290218627	21.348868966535	22.3473992814362	17.0692272283468	19.3026538173497	25.0681474898423
SLC35A1	30.0468836909119	38.0063612265993	24.290683309199	34.5032270526275	33.8579056994163	40.0788263017823	40.9122060488697	30.4221382773124	27.6840916471524	37.241950316393	49.3290041998937	27.5258090084543
ASPA	8.96921901221251	22.8982424781374	17.0034783164393	14.1013188823782	32.9428271669996	14.6169837100618	17.7645105212197	1.60116517249013	23.0144858271508	10.862235508948	2.68092414129857	19.1697598451736
COL8A1	19.7322818268675	27.383465231587	28.6090270086121	28.5026658260836	11.8960209214165	3.77212482840304	18.8411475225058	6.93838241412388	13.008187641433	26.690064393415	10.7236965651943	44.9752057905995
TYR	0.448460950610626	0.472128710889432	1.07958592485329	14.1013188823782	0.610052354944438	1.88606241420152	1.61495550192907	2.1348868966535	0.667086545714515	0.931048757909825	0	0.737298455583598
HBS1L	34.0830322464075	34.7014602503732	28.8789234898255	20.7019362315765	36.9081674741385	34.8921546627281	26.3776065315081	26.6860862081688	39.0245629242991	19.8623735020763	24.6645020999469	35.1445597161515
VGLL3	0.448460950610626	0	0.269896481213322	1.50014030663598	0	1.41454681065114	6.99814050835928	3.73605206914363	0.667086545714515	0.931048757909825	0.536184828259714	0.983064607444798
LOC771200	0	0.708193066334148	0	0	0	0	1.61495550192907	0.533721724163375	1.33417309142903	0	0	0.245766151861199
QTRT2	40.3614855549563	24.7867573216952	39.9446792195717	42.904012769789	54.2946595900549	29.2339674201236	69.9814050835928	55.507059312991	27.3505483742951	37.5522999023629	38.0691228064397	45.9582703980443
GPR162	6.72691425915938	0.944257421778863	1.34948240606661	11.4010663304334	6.71057590438881	1.41454681065114	0	5.87093896579713	2.3348029100008	2.79314627372947	0	0.491532303722399
LOC107049673	1.7938438024425	0.944257421778863	23.480993865559	87.0081377848867	15.2513088736109	74.9709809645104	33.9140655405104	5.87093896579713	9.00566836714595	82.2426402820345	9.11514208041515	1.9661292148896
RMDN3	2.69076570366375	0.708193066334148	0.809689443639966	1.50014030663598	0.305026177472219	1.41454681065114	1.07663700128604	0.533721724163375	0	2.79314627372947	0.536184828259714	0.737298455583598
BLB1	149.337496553338	31.8686879850366	29.6886129334654	181.216949041626	13.7261779862498	22.6327489704182	263.237746814438	218.29218518282	34.6885003771548	44.3799907937017	190.345614032199	16.9578644784228
TBK1	17.0415161232038	13.2196039049041	21.3218220158524	16.8015714343229	11.8960209214165	18.3891085384648	9.6897330115744	9.07326931077738	21.0132261900072	14.5864305405873	21.4473931303886	13.517138352366
CWF19L2	21.52612562931	24.7867573216952	26.7197516401189	33.0030867459915	12.8110994538332	24.0472957810694	22.6093770270069	28.2872513806589	17.3442501885774	37.241950316393	24.1283172716871	20.8901229082019
DTX4	216.158178194322	42.7276483354936	41.024265144425	123.611561266805	52.1594763477494	113.163744852091	242.24332528936	241.775941046009	53.3669236571612	118.553541840518	94.9047146019694	80.119765506751
C12orf57	143.5075041954	210.569405056687	198.643810173005	106.509961771154	252.866701124469	128.252244165703	128.658121653682	170.79095173228	201.793680078641	81.9322906960646	107.236965651943	176.705863188202
