ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,ontology
GO:0001934,positive regulation of protein phosphorylation,44,0.49673007580732825,1.6602904674602557,0.004078364650836941,0.1634756995581738,0.15107713772933526,4156,"tags=45%, list=24%, signal=35%",FZD4/VEGFA/BCL2/GHR/EFNA5/PDGFC/JAK2/IFNG/TENM1/PRRC1/STK11/NRG1/FGF4/IGF2/ISL1/NTF3/TPD52L1/CNTF/PDCD10/TGFB2,BP
GO:0140014,mitotic nuclear division,25,-0.5050329873886124,-1.8034063486734582,0.004325259515570935,0.1634756995581738,0.15107713772933526,4617,"tags=60%, list=26%, signal=44%",RAN/MIS12/CDCA9/FAM175A/CHEK1/SMC2/CHMP4B/ANAPC5/CDC42/PPP2R2D/NDC80/CCDC61/KIF18B/CHMP2A/NSFL1C,BP
GO:0007600,sensory perception,25,0.5738856747590607,1.7133506684391748,0.004465602789325466,0.1634756995581738,0.15107713772933526,3630,"tags=32%, list=21%, signal=25%",FZD4/PCDH15/RLBP1/CRYBA4/SOBP/CHD7/LHFPL5/IMPG1,BP
GO:0007166,cell surface receptor signaling pathway,248,0.3388268810598918,1.3986975094173937,0.004947631540892846,0.1634756995581738,0.15107713772933526,3741,"tags=33%, list=21%, signal=26%",FZD4/WWOX/VEGFA/SOX11/FZD1/EFNB1/LRP1/BCL2/UNC5C/NFKBIA/GHR/ACVR2B/RGMA/CHRNB2/RBPMS2/EFNA5/DKK3/PDGFC/FYN/JAK2/FGFRL1/PTCH1/WNT11/GLI2/GSKIP/ADORA1/EPHA7/LDB1/IFNG/SRC/CDC73/FGFR3/MUSK/CDH6/NTRK3/PRLR/EGFR/ZYX/ITGAV/GLG1/STK11/NRP1/EPHA5/GFRA2/IHH/IGFBP2/FST/WNT3A/SYK/CPZ/NRG1/CHRNB3/BMP2/RFNG/FGF4/CNTFR/CHUK/IGF2/CDH2/GOT1/ISL1/TGFB3/CHRDL1/SEMA3A/EPHA3/MVB12A/PTPRJ/FGFR2/APCDD1/NKIRAS2/ATVR1/SFRP2/NTF3/GFRA4/PTK7/EGR1/CNTF/CHRNA5/ROS1/CHRNA4/SFRP1,BP
GO:0043604,amide biosynthetic process,99,-0.30681780588812907,-1.480901192233592,0.005246776345042241,0.1634756995581738,0.15107713772933526,3736,"tags=38%, list=21%, signal=30%",RPL39L/CYR61/METTL16/UBA52/RPL22/MOV10/MRPL51/DEGS1/ORMDL2/EARS2/FARSA/NCBP1/ASNS/BZW2/SGMS1/EIF2A/RPS12/CELF2/CNBP/RPL36/RARS/QKI/EIF3H/LOC422214/RPL13/PAIP2B/PAN2/IARS2/AGO3/EIF3M/METTL14/RPS17/EEF1B2/DENR/RPLP0/RPL35/LTN1/RPS4Y1,BP
GO:0043603,amide metabolic process,117,-0.29364461181572216,-1.4560645644132024,0.005329153605015674,0.1634756995581738,0.15107713772933526,3736,"tags=38%, list=21%, signal=30%",RPL39L/CYR61/METTL16/UBA52/LOC771456/RPL22/MOV10/MRPL51/NPL/DEGS1/PSEN1/ORMDL2/EARS2/FARSA/NCBP1/ASNS/BZW2/SGMS1/EIF2A/RPS12/CELF2/CNBP/RPL36/RARS/QKI/EIF3H/LOC422214/RPL13/PAIP2B/FAR1/PAN2/IARS2/AGO3/EIF3M/METTL14/PSEN2/SPCS3/RPS17/EEF1B2/DENR/RPLP0/RPL35/LTN1/RPS4Y1,BP
GO:0007411,axon guidance,40,0.5023349057265237,1.6514048953676965,0.0054388383653128595,0.1634756995581738,0.15107713772933526,6360,"tags=72%, list=37%, signal=46%",EFNB1/BSG/UNC5C/EFNA5/EPHA7/GBX2/NEO1/GAP43/NRP1/EPHA5/NFASC/ISL1/SEMA3A/EPHA3/FOXP1/PTK7/NTN1/GATA3/CNTN1/EPHB6/SEMA3E/NTN3/TENM2/DRAXIN/NELL2/SEMA3C/NFIB/FLRT3/SEMA3D,BP
GO:0097485,neuron projection guidance,40,0.5023349057265237,1.6514048953676965,0.0054388383653128595,0.1634756995581738,0.15107713772933526,6360,"tags=72%, list=37%, signal=46%",EFNB1/BSG/UNC5C/EFNA5/EPHA7/GBX2/NEO1/GAP43/NRP1/EPHA5/NFASC/ISL1/SEMA3A/EPHA3/FOXP1/PTK7/NTN1/GATA3/CNTN1/EPHB6/SEMA3E/NTN3/TENM2/DRAXIN/NELL2/SEMA3C/NFIB/FLRT3/SEMA3D,BP
GO:0006518,peptide metabolic process,96,-0.3096661694351146,-1.4853222630347056,0.005533938607868569,0.1634756995581738,0.15107713772933526,2872,"tags=39%, list=16%, signal=32%",RPL39L/METTL16/UBA52/LOC771456/RPL22/MOV10/MRPL51/PSEN1/EARS2/FARSA/NCBP1/BZW2/EIF2A/RPS12/CELF2/CNBP/RPL36/RARS/QKI/EIF3H/LOC422214/RPL13/PAIP2B/PAN2/IARS2/AGO3/EIF3M/METTL14/PSEN2/SPCS3/RPS17/EEF1B2/DENR/RPLP0/RPL35/LTN1/RPS4Y1,BP
GO:1902850,microtubule cytoskeleton organization involved in mitosis,21,-0.5295854154698236,-1.8009187591923232,0.005644472501763898,0.1634756995581738,0.15107713772933526,1526,"tags=33%, list=9%, signal=30%",NDC80/CCDC61/STMN1/PAFAH1B1/DCTN1/CENPA/NSFL1C,BP
