reaction_id,flux_slow,flux_fast,flux_ratio,DRF_category,Formula,Pathways_list,Pathways,Pathway_Groups_list,Pathway Groups
AKGMALtm,9.913491794046552,10.60267795762811,1.0695200215927392,Unchanged,2-Oxoglutarate + (S)-malate(2-) <==> 2-Oxoglutarate + (S)-malate(2-),"['Transport, Mitochondrial']","Transport, Mitochondrial",['Mitochondrial transport'],Mitochondrial transport
ALATA__L,-0.0275863627791422,-0.0310926816068263,1.127103339275129,Unchanged,2-Oxoglutarate + L-alanine <==> L-glutamate(1-) + pyruvate,"['2-oxocarboxylic Acid Metabolism', 'Alanine, Aspartate And Glutamate Metabolism', 'Arginine Biosynthesis', 'Biosynthesis Of Amino Acids']","2-oxocarboxylic Acid Metabolism; Alanine, Aspartate And Glutamate Metabolism; Arginine Biosynthesis; Biosynthesis Of Amino Acids","['2-oxocarboxylic Acid Metabolism', 'AA other']",2-oxocarboxylic Acid Metabolism; AA other
ALAtN1,-0.0066848023919699,0.0,2000.0,Off,L-Alanine + proton + 2.0 Sodium <==> L-alanine + proton + 2.0 Sodium,['Extracellular Transport'],Extracellular Transport,['Extracellular Transport'],Extracellular Transport
AMPTASECG,0.0222636880053614,0.0500000000001484,2.2458094089401412,Increased,L-cysteinylglycine + Water --> L-cysteine + Glycine,['Glutathione Metabolism'],Glutathione Metabolism,['Redox & Pentose Metabolism'],Redox & Pentose Metabolism
ARGATB0tc,0.0134077108896835,0.0156301668538613,1.165759538109362,Unchanged,L-Arginine + Chloride + 2.0 Sodium --> L-argininium(1+) + Chloride + 2.0 Sodium,['Extracellular Transport'],Extracellular Transport,['Extracellular Transport'],Extracellular Transport
ARGLYSex,0.0,0.0043148362007892,1000.0,On,L-Arginine + L-lysinium(1+) --> L-argininium(1+) + L-lysinium(1+),['Extracellular Transport'],Extracellular Transport,['Extracellular Transport'],Extracellular Transport
ARTPLM2,-0.0116148006216829,-0.0172779108814696,1.4875770531277666,Increased,R total 2 coenzyme A <==> Palmitoyl-CoA (n-C16:0CoA),['Unknown'],Unknown,['Unknown'],Unknown
ARTPLM3,-0.0002489145068481,-0.0003702795085815,1.4875770531424388,Increased,R total 3 Coenzyme A <==> Palmitoyl-CoA (n-C16:0CoA),['Unknown'],Unknown,['Unknown'],Unknown
ASCBOX,0.0324475628313095,0.0354143969521557,1.0914347292050985,Unchanged,L-ascorbate + 3.0 proton + 2.0 superoxide --> dehydroascorbide(1-) + 2.0 Hydrogen peroxide,['Vitamin C Metabolism'],Vitamin C Metabolism,['Vitamin C Metabolism'],Vitamin C Metabolism
ASNtN1,0.0114461625935836,0.0170270488207511,1.4875770531423333,Increased,L-Asparagine + proton + 2.0 Sodium <==> L-asparagine + proton + 2.0 Sodium,['Extracellular Transport'],Extracellular Transport,['Extracellular Transport'],Extracellular Transport
ASPCTr,0.0035076342317799,0.0052178761940122,1.4875770531423005,Increased,L-aspartate(1-) + Carbamoyl phosphate <==> N-Carbamoyl-L-aspartate + proton + hydrogenphosphate,"['Alanine, Aspartate And Glutamate Metabolism', 'Pyrimidine Metabolism', 'Pyrimidine Synthesis']","Alanine, Aspartate And Glutamate Metabolism; Pyrimidine Metabolism; Pyrimidine Synthesis","['AA other', 'Nucleotide metabolism']",AA other; Nucleotide metabolism
ASPTA,-0.0320806170655818,-0.0477223897979937,1.4875770531606582,Increased,2-Oxoglutarate + L-aspartate(1-) <==> L-glutamate(1-) + Oxaloacetate,"['2-oxocarboxylic Acid Metabolism', 'Alanine, Aspartate And Glutamate Metabolism', 'Arginine Biosynthesis', 'Biosynthesis Of Amino Acids']","2-oxocarboxylic Acid Metabolism; Alanine, Aspartate And Glutamate Metabolism; Arginine Biosynthesis; Biosynthesis Of Amino Acids","['2-oxocarboxylic Acid Metabolism', 'AA other']",2-oxocarboxylic Acid Metabolism; AA other
ATPM,18.5,18.5,1.0,Unchanged,ATP + Water --> ADP + proton + hydrogenphosphate,"['Biomass And Maintenance Functions', 'Nucleotide Metabolism', 'Purine Metabolism']",Biomass And Maintenance Functions; Nucleotide Metabolism; Purine Metabolism,"['Biomass And Maintenance Functions', 'Nucleotide metabolism', 'Nitrogen disposal']",Biomass And Maintenance Functions; Nucleotide metabolism; Nitrogen disposal
ATPS4m,9.987997672446228,11.224812340781698,1.1238300917657855,Unchanged,ADP + 4.0 proton + hydrogenphosphate --> ATP + Water + 3.0 proton,['Oxidative Phosphorylation'],Oxidative Phosphorylation,['Oxidative Phosphorylation'],Oxidative Phosphorylation
ATPtm,10.462535937966274,11.649458082004015,1.1134449765405974,Unchanged,ADP + ATP --> ADP + ATP,"['Transport, Mitochondrial']","Transport, Mitochondrial",['Mitochondrial transport'],Mitochondrial transport
BILGLCURtr,-0.0222636880053614,-0.0500000000001484,2.2458094089401412,Increased,mono(glucosyluronic acid)bilirubin(2-) <==> mono(glucosyluronic acid)bilirubin(2-),"['Transport, Endoplasmic Reticulum']","Transport, Endoplasmic Reticulum","['Transport, Endoplasmic Reticulum']","Transport, Endoplasmic Reticulum"
