metabolite_id,Metabolite,Metabolite Group,Metabolic Pathways,Pathway Group,log2FC_fluxsum,Reactions
1pyr5c_m,1-Pyrroline-5-carboxylate (m),1-Pyrroline-5-carboxylate,Biosynthesis Of Amino Acids,AA other,6.0,PRO1xm
nad_c,Nicotinamide adenine dinucleotide (c),NAD(+),Methane Metabolism,Methane Metabolism,3.099188074463549,PGCD;MDH
ser__L_m,L-serine (m),L-ser,Cyanoamino Acid Metabolism,Cyanoamino Acid Metabolism,9.164340909365874,GHMT2rm
nadp_m,Nicotinamide adenine dinucleotide phosphate (m),NADP(+),Lysine Degradation,AA other,6.0,SACCD3m
gthrd_e,Reduced glutathione (e),Reduced glutathione,"Transport, Endoplasmic Reticulum","Transport, Endoplasmic Reticulum",1.1672354983333308,HUMANGEM_MAR06107
_L2aadp_m,L-2-aminoadipate(1-) (m),Adipates,2-oxocarboxylic Acid Metabolism,2-oxocarboxylic Acid Metabolism,6.0,r0450
lys__L_m,L-lysinium(1+) (m),Lys,Lysine Degradation,AA other,6.0,SACCD3m
3mob_c,3-methyl-2-oxobutanoate (c),α-Ketoisovalerate,2-oxocarboxylic Acid Metabolism,2-oxocarboxylic Acid Metabolism,-0.802548288064555,VALTA
gly_m,Glycine (m),Glycine,Folate Metabolism,Folate Metabolism,9.164340909365874,GHMT2rm
3mob_m,3-methyl-2-oxobutanoate (m),α-Ketoisovalerate,"Transport, Mitochondrial",Mitochondrial transport,-0.802548288064555,3MOBt2im
ser__L_m,L-serine (m),L-ser,"Glycine, Serine And Threonine Metabolism",AA other,9.164340909365874,PSP__Lm;GHMT2rm
hco3_e,Bicarbonate (e),HCO3,Nitrogen Metabolism,Nitrogen disposal,-0.8566956954519471,r1418
hco3_c,Bicarbonate (c),HCO3,"Transport, Endoplasmic Reticulum","Transport, Endoplasmic Reticulum",1.1672354983333308,HUMANGEM_MAR06107
glu__L_c,L-glutamate(1-) (c),L-Glu,Pantothenate And Coa Biosynthesis,Pantothenate And Coa Biosynthesis,-0.802548288064555,VALTA
nadh_m,Nicotinamide adenine dinucleotide - reduced (m),NAD(+),Taurine And Hypotaurine Metabolism,Taurine And Hypotaurine Metabolism,-0.8007489670516705,GLUDxm
glu__L_m,L-glutamate(1-) (m),L-Glu,Lysine Degradation,AA other,6.0,r0525;r0450
ibcoa_m,isobutyryl-CoA(4-) (m),Isobutyryl-CoA(4-),"Valine, Leucine And Isoleucine Biosynthesis",BCAA metabolism (Val/Leu/Iso),-0.8025482880538267,r0560;r0561
alpam_m,S-aminomethyldihydrolipoamide (m),S-aminomethyldihydrolipoamide,"Alanine, Aspartate And Glutamate Metabolism",AA other,9.266252539825937,GCC2am;GCC2bim
3php_c,3-phosphonatooxypyruvate(3-) (c),Phospho-C3 acids,Methane Metabolism,Methane Metabolism,9.164340909365881,PGCD;PSERT
nad_m,Nicotinamide adenine dinucleotide (m),NAD(+),Arginine And Proline Metabolism,Arginine And Proline Metabolism,6.0,PRO1xm
akg_m,2-Oxoglutarate (m),α-KG,Lysine Metabolism,Lysine Metabolism,6.0,SACCD3m;r0450
3hibutcoa_m,(S)-3-Hydroxyisobutyryl-CoA (m),(S)-3-Hydroxyisobutyryl-CoA,"Valine, Leucine And Isoleucine Degradation",BCAA metabolism (Val/Leu/Iso),-0.8025482880538267,3HBCOAHLm;ECOAH12m
h2o_m,Water (m),H2O,Taurine And Hypotaurine Metabolism,Taurine And Hypotaurine Metabolism,-0.8007489670516705,GLUDxm
dhlam_m,dihydrolipoamide (m),Lipoamides,"Glycine, Serine And Threonine Metabolism",AA other,9.266252539825928,GCC2bim
3mob_m,3-methyl-2-oxobutanoate (m),α-Ketoisovalerate,"Valine, Leucine And Isoleucine Biosynthesis",BCAA metabolism (Val/Leu/Iso),-0.802548288053827,r0385
glu__L_c,L-glutamate(1-) (c),L-Glu,"Glycine, Serine And Threonine Metabolism",AA other,9.164340909365881,PSERT
val__L_c,L-valine (c),L-Val,Biosynthesis Of Amino Acids,AA other,-0.802548288064555,VALTA
2oxoadp_m,2-oxoadipate(2-) (m),Adipates,Lysine Degradation,AA other,6.0,r0450
nad_m,Nicotinamide adenine dinucleotide (m),NAD(+),Taurine And Hypotaurine Metabolism,Taurine And Hypotaurine Metabolism,-0.8007489670516705,GLUDxm
dhlam_m,dihydrolipoamide (m),Lipoamides,Glycolysis/Gluconeogenesis,Central Energy Metabolism,2.181966862645131,GCC2cm
b2coa_m,crotonoyl-CoA(4-) (m),SC acyl-CoA,Lysine Degradation,AA other,6.0,ECOAH1m
lys__L_m,L-lysinium(1+) (m),Lys,Lysine Metabolism,Lysine Metabolism,6.0,SACCD3m
akg_c,2-Oxoglutarate (c),α-KG,Cysteine And Methionine Metabolism,AA other,9.164340909365881,PSERT
pser__L_c,O-Phospho-L-serine (c),O-Phospho-L-serine,Cysteine And Methionine Metabolism,AA other,9.164340909365881,PSERT
co2_m,carbon dioxide (m),CO2,Folate Metabolism,Folate Metabolism,6.0,FTHFDHm
2mp2coa_m,2-Methylprop-2-enoyl-CoA (m),2-Methylprop-2-enoyl-CoA,"Valine, Leucine And Isoleucine Degradation",BCAA metabolism (Val/Leu/Iso),-0.802548288053827,ECOAH12m
h_c,proton (c),H,Methane Metabolism,Methane Metabolism,3.099188074463549,PGCD;MDH
3php_c,3-phosphonatooxypyruvate(3-) (c),Phospho-C3 acids,"Alanine, Aspartate And Glutamate Metabolism",AA other,9.164340909365881,PGCD;PSERT
pro__L_m,L-proline (m),L-Pro,Arginine And Proline Metabolism,Arginine And Proline Metabolism,6.0,PRO1xm
nadp_m,Nicotinamide adenine dinucleotide phosphate (m),NADP(+),Folate Metabolism,Folate Metabolism,9.216196414394652,FTHFDHm;r0226
thf_m,"5,6,7,8-Tetrahydrofolate (m)",THF,Biosynthesis Of Amino Acids,AA other,9.164340909365874,GHMT2rm
akg_m,2-Oxoglutarate (m),α-KG,"Alanine, Aspartate And Glutamate Metabolism",AA other,-0.8007489670516705,GLUDxm
val__L_c,L-valine (c),L-Val,"Valine, Leucine And Isoleucine Biosynthesis",BCAA metabolism (Val/Leu/Iso),-0.802548288064555,VALTA
_L2aadp_m,L-2-aminoadipate(1-) (m),Adipates,Biosynthesis Of Amino Acids,AA other,6.0,r0450
co2_m,carbon dioxide (m),CO2,Tryptophan Metabolism,AAA metabolism (Trp/Phe/Tyr),6.0,r0541;2OXOADOXm
3mob_c,3-methyl-2-oxobutanoate (c),α-Ketoisovalerate,Biosynthesis Of Amino Acids,AA other,-0.802548288064555,VALTA
gly_c,Glycine (c),Glycine,Glutathione Metabolism,Redox & Pentose Metabolism,1.1672354983333313,AMPTASECG
ser__L_m,L-serine (m),L-ser,Biosynthesis Of Amino Acids,AA other,9.164340909365874,GHMT2rm
h2o_m,Water (m),H2O,Cyanoamino Acid Metabolism,Cyanoamino Acid Metabolism,9.164340909365874,GHMT2rm
gthrd_e,Reduced glutathione (e),Reduced glutathione,Glutathione Metabolism,Redox & Pentose Metabolism,-6.0,r0130
pro__L_c,L-proline (c),L-Pro,"Transport, Mitochondrial",Mitochondrial transport,6.0,PROtm
nadph_m,Nicotinamide adenine dinucleotide phosphate - reduced (m),NADP(+),Folate Metabolism,Folate Metabolism,9.216196414394652,FTHFDHm;r0226
3hbcoa_m,(S)-3-hydroxybutanoyl-CoA(4-) (m),SC acyl-CoA,Butanoate Metabolism,AA other,6.0,HACD1m;ECOAH1m
akg_m,2-Oxoglutarate (m),α-KG,Nitrogen Metabolism,Nitrogen disposal,-0.8007489670516705,GLUDxm
3hbcoa_m,(S)-3-hydroxybutanoyl-CoA(4-) (m),SC acyl-CoA,Fatty Acid Metabolism,Lipid metabolism,6.0,HACD1m;ECOAH1m
