"Genes","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PACSIN1",6.39240526647122,-1.18602862197013,0.438639249735333,-2.70388165830066,0.00685346925487983,0.0459033451614886
"DLAT",128.104818024969,2.9760908840462,0.616719151220307,4.82568261121352,1.39524554820233e-06,7.99767727257929e-05
"CCDC173",10.6469060468764,-1.67595087022561,0.426606084152932,-3.92856767046201,8.54533058399064e-05,0.00189752529940722
"TMEM8A",5.51290722355355,1.65382576444313,0.560557277239985,2.95032431402206,0.00317440522881341,0.0268327772984962
"DHH",26.2189948576147,1.6627761854515,0.51260605153983,3.24377010465766,0.00117958910838251,0.0129450188528104
"MRPL32",178.542429895582,-1.09479293513217,0.328902982299105,-3.32861966613778,0.000872775016901523,0.0105142515232594
"CHCHD4",425.202948947328,1.05354616220382,0.236456441395827,4.45556126948637,8.36739940749442e-06,0.000326328576892283
"SIRT7",65.7788453039961,-1.32995978386072,0.274068592041868,-4.85265303095199,1.21820715330151e-06,7.1491356939466e-05
"TIGD5",3.45162267864707,1.79666358196825,0.634242277799995,2.8327717102057,0.00461463293098899,0.0348046121429059
"MPHOSPH8",127.538167553527,1.4114868625508,0.290796364942536,4.85386694166458,1.2107699008641e-06,7.1491356939466e-05
"J6367_mgt11",6.16234063186382,1.98306287976543,0.489531529038574,4.05094005622092,5.10122758404143e-05,0.00131122499894267
"MECOM",18.3214761815049,1.46660772380968,0.258159332394405,5.68101764986383,1.33895657620725e-08,2.01235376160708e-06
"ADSS1",251.49127178754,1.27743415204959,0.448819243339995,2.84621074297808,0.00442429040307315,0.0336572904579327
"MYO1F",53.9156206051688,-1.45114876018997,0.349346303563235,-4.15389756636511,3.26859540609189e-05,0.000938978316659126
"DGCR2",2.1420701301311,3.8889944908587,0.941685011434729,4.129825200184,3.63039151724715e-05,0.00100972523029856
"VPS4A",31.0665219483786,1.17518520471905,0.36402531074931,3.22830630183392,0.00124525559274459,0.0134500700481896
"LOC124417920",14.1539535743567,1.96960030139635,0.581831702349598,3.38517185200214,0.000711337046528175,0.00905632000145994
"COQ2",2.26352600850118,1.70912025376978,0.603496203808014,2.83203149081198,0.00462532931792217,0.0348639501615125
"LRP4",30.7237369131023,3.33269765092584,0.506854244772923,6.57525844026213,4.85687334403911e-11,2.72073214054263e-08
"YME1L1",135.183807681315,-1.08743459663741,0.241160530373435,-4.50917318415881,6.50807665688345e-06,0.000265581247415337
"UNC5D",5.27532313682014,1.48617935129097,0.444421176008733,3.34407861623083,0.000825563392683417,0.0101035186210828
"LOC121106708",1.15261634306915,2.46407095524386,0.893122147180178,2.75894060294393,0.00579890739401563,0.0408609117917946
"EXT1",120.949954913352,-1.28871896977603,0.250317978247325,-5.14832765428746,2.62819110041216e-07,2.2971508596794e-05
"MRPL2",33.3424943850735,2.14305105949225,0.366580639736029,5.84605630301546,5.03363733516781e-09,9.84675341565208e-07
"ZNF608",8.83899880188895,1.05230222366599,0.330346303677052,3.18545178787509,0.00144528183394517,0.0150818402383914
"CNTLN",15.7164739701947,-1.61376415877728,0.342965052017875,-4.70533119710742,2.53454146669793e-06,0.000124444976237391
"BCO2",3.32079356435321,1.63370537276584,0.507771113301164,3.21740510629811,0.00129355809786514,0.0138383767344531
"ST7",11.2050958023559,1.12784580261649,0.417490289110871,2.70148990774961,0.00690295752895401,0.0461595488805368
"SOX7",96.0458816804872,1.16748271300178,0.218065089069641,5.35382677705435,8.61133024632718e-08,8.79234478648668e-06
"KLHL42",59.8592511679118,1.3379038804092,0.309844311153624,4.31798755777656,1.57458304353133e-05,0.000534577449820387
"LOC101748543",5.29283496751779,1.36719231790066,0.497738648079948,2.74680763323217,0.00601784194623647,0.0420668656525344
"HNRNPM",308.162413297551,-1.24429056765533,0.214965901970955,-5.78831598987014,7.10955736904437e-09,1.30773410471795e-06
"MAOB",90.5653397462779,1.11859098843605,0.315657031398289,3.54369102275638,0.000394567359224464,0.00590127200859502
"MMP24",1.27171027955194,3.3237560212419,0.806102351522356,4.12324317745117,3.73574939808823e-05,0.00102537584815232
"NTRK3",7.19992015985949,1.72941529911707,0.570251018467883,3.03272636630017,0.00242355251067574,0.0220264462695928
"SAA",881.317685768629,-2.90974825366555,0.571257754246681,-5.09358206875045,3.51360850497464e-07,2.67294513674738e-05
"MTPAP",84.5309199552727,1.20693066673351,0.248851196830675,4.85000949203688,1.2345556636076e-06,7.18028032187127e-05
"SRM",17.5949325505601,1.55798257826861,0.34098707735656,4.56903701555668,4.89970251379465e-06,0.000208220461310363
"FCHO2",71.3443997871739,1.4739640066139,0.33338370286733,4.42122393487383,9.81433963201089e-06,0.000373308400076859
"LRCH1",30.1661314895431,-1.20792339864652,0.355066308007554,-3.40196569318208,0.000669030357009382,0.00868822984171088
"MSL1",7.88891601341979,1.64299983327946,0.533160108564387,3.08162558842498,0.00205873610000661,0.0196073135212376
"RFWD2",48.0680580202318,1.60542503866337,0.324758006858665,4.94345021449171,7.67519571417358e-07,5.00471491965477e-05
"IFNGR2",18.0419140168324,1.60457187409334,0.432117480888059,3.71327693292048,0.000204592798708106,0.00367551261119343
"SLC25A16",12.8022693315632,1.34760587995759,0.357691755806885,3.76750612246472,0.000164886498190556,0.00311665828788407
"LOC112532597",20.0957071318377,2.20226845062367,0.383485056613518,5.7427751424566,9.31373692173921e-09,1.57236292908923e-06
"CCSER1",31.9185488034551,-1.12025613953888,0.271737913558938,-4.12256105475653,3.74683256829171e-05,0.00102613254603616
"LOC112532231",662.488655157579,1.23122219052137,0.306169118024756,4.02137942083962,5.78583230556834e-05,0.0014147737566235
"MRPL3",56.7207104440885,2.19968437836996,0.391064215460664,5.62486745502599,1.85650466799197e-08,2.62983488831414e-06
"LOC100857892",134.638366302993,-1.15222397667432,0.316740530230976,-3.63775351336972,0.000275026436802059,0.00450347213206337
"PIK3IP1",21.4545457730886,1.89714919827025,0.471177615163074,4.02639925416161,5.66374894523129e-05,0.00139600084002061
"PLPP7",3.26605243702409,-1.9991884276566,0.615912879197476,-3.24589482567974,0.00117082085730664,0.0128947240799348
"PTPRG",3.09539382261687,1.72080020316669,0.612936880790729,2.80746722394441,0.00499327608618864,0.0367904939259373
"BAHCC1",14.2169426498688,1.46441043750268,0.388932170427973,3.76520778903755,0.000166410635776612,0.00314065034503977
"LOC121107484",88.8959992180757,1.9325282231891,0.489006759691035,3.95194582670004,7.75182915989079e-05,0.00176261148646668
"LOC424918",15.9429930281775,-1.11892438517164,0.327934800506663,-3.41203307316849,0.000644802894210245,0.00843582894718372
"SUZ12",32.1205107959282,-1.06765744519154,0.222653601745394,-4.795150120286,1.62553052983587e-06,8.94332064718628e-05
"FLOT2",242.33279967846,1.12374694397273,0.261742334285752,4.29333278103152,1.76010888630357e-05,0.000578066712740827
"PRDM11",6.50028621458725,3.10803681365106,0.668439485511466,4.649690631715,3.32433295781593e-06,0.000152869699149715
"RIMS4",4.75465313010927,-1.37896482736305,0.502280424217822,-2.7454082637412,0.0060435661363629,0.0421272110093531
"POU3F3",6.87522819318087,2.59621063611013,0.677030865129774,3.83470055772493,0.00012571735710013,0.00255790787606433
"SNX21",13.9353096940883,1.99983298305016,0.497166682291701,4.02245977914668,5.75934914798947e-05,0.00141109779124895
"HEXIM1",45.405717998948,2.40002589835044,0.330540886511365,7.26090476636972,3.8450960316439e-13,5.92337043674743e-10
"RIOX1",16.2229711213365,1.4440294637318,0.418525217503761,3.45028066013446,0.00056000402737294,0.00767685164999344
"CDK13",244.487368874825,1.13460148718773,0.305396100837194,3.71518000418934,0.000203059090701195,0.00365862607280924
"MZB1",15.0697258023671,-2.05322218541746,0.497443174235184,-4.12755122949326,3.66646766385864e-05,0.0010108623599417
"NASP",20.9429512656372,-1.09037905253614,0.256567031605526,-4.24987982950438,2.13885232234319e-05,0.000674148747328835
