"Genes","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"EXFABP",18.906495446464,-1.63925305762971,0.502385732972411,-3.26293712190217,0.00110263981231613,0.01298004691893
"ADAMTS5",5.9064947712866,1.4317568505119,0.462007797468045,3.09898849837253,0.00194182558316546,0.019212407583555
"SLC6A8",22.9396134311279,3.42599133214499,0.536122370425203,6.39031594489856,1.65543353662086e-10,3.36561871661881e-08
"NUDT8",66.5557844134819,2.70085899230997,0.34033698522358,7.93583744809773,2.0907970027771e-15,2.77786054132733e-12
"RAB21",125.238513448524,1.03253029706589,0.209021957953373,4.93981736261514,7.81957776362686e-07,4.77073630157519e-05
"LZTFL1",8.10364237119405,-1.27472158357502,0.35843328052623,-3.55637060739324,0.000376013543891535,0.00596214615307699
"LOC124416951",18.5032980135628,1.04422230708953,0.34438237123051,3.03215958284515,0.00242810799055464,0.0226755477377438
"PIGY",164.574807584892,2.58088032927336,0.372423542748892,6.92996020129031,4.20959032015019e-12,1.48289185277597e-09
"EVI5",106.685566737564,1.12621664556581,0.235205585427622,4.78822236945718,1.68265141358761e-06,8.75488629433311e-05
"SAFB",20.7797099095407,-1.100625255301,0.335484298972203,-3.28070571014171,0.00103547724270819,0.0123588887587981
"ASPG",21.0830437017906,1.81088359177224,0.432185101604311,4.1900648241924,2.78874772667123e-05,0.00083585932485939
"CLN6",31.6206591829472,1.82410597225562,0.464528585432413,3.92678950114045,8.60872595462053e-05,0.00202139305459545
"J6367_mgt21",1789.27200141858,1.14370632508882,0.34793225139611,3.28715237089864,0.00101206057223675,0.0121761321498634
"XDH",138.061008827143,1.50597799573196,0.384829939290395,3.91335975186572,9.1020774431177e-05,0.00209173745294133
"KIN",26.6579605882425,-1.00315931506199,0.222232720285435,-4.51400367044751,6.36151149844935e-06,0.000252339956105158
"BTBD6",78.2248917038029,2.0828050809113,0.308086413577153,6.76045742078696,1.37556752685247e-11,3.75748775119088e-09
"LOC101747660",2.79573482227067,2.26656465827586,0.696755405409172,3.25302773495501,0.00114182351826193,0.0133497829435701
"TMEM184B",66.1104664399367,2.58126374648789,0.365359319395687,7.0650004241232,1.60615503146188e-12,6.88442390551224e-10
