Pathway Groups,Pathways,Increased,Decreased,Reversed,On,Off,Unchanged,Increased_reactions,Decreased_reactions,Reversed_reactions,On_reactions,Off_reactions,Unchanged_reactions,n_reactions,flux_fast,flux_slow,total_flux_shift,mean_flux_shift
Butanoate Metabolism; BCAA metabolism (Val/Leu/Iso); Lipid metabolism; Glyoxylate And Dicarboxylate Metabolism; AA other (Cys/Met/Lys/Arg/Pro); Central Energy Metabolism; Terpenoid Backbone Biosynthesis; AAA metabolism (Trp/Phe/Tyr),Butanoate Metabolism,0,0,0,0,0,6,,,,,,AACOAT (1.00); ACACT1r (1.00); ECOAH1m (1.00); HACD1m (1.00); HMGCOASim (1.00); HMGLm (1.00),6,0.2214163109587351,0.2214163109562078,2.5272839376810907e-12,4.2121398961351514e-13
Butanoate Metabolism; Lipid metabolism; BCAA metabolism (Val/Leu/Iso),Cholesterol Metabolism,0,0,0,0,0,1,,,,,,HMGLm (1.00),1,0.0369027184932394,0.0369027184926626,5.768024946561923e-13,5.768024946561923e-13
Butanoate Metabolism; Lipid metabolism; Glyoxylate And Dicarboxylate Metabolism; AA other (Cys/Met/Lys/Arg/Pro); Central Energy Metabolism; Terpenoid Backbone Biosynthesis; AAA metabolism (Trp/Phe/Tyr); BCAA metabolism (Val/Leu/Iso),Terpenoid Backbone Biosynthesis,0,0,0,0,0,2,,,,,,ACACT1r (1.00); HMGCOASim (1.00),2,0.07380543698636591,0.0738054369854413,9.246076126956382e-13,4.623038063478191e-13
"Butanoate Metabolism; Lipid metabolism; Glyoxylate And Dicarboxylate Metabolism; AA other (Cys/Met/Lys/Arg/Pro); Central Energy Metabolism; Terpenoid Backbone Biosynthesis; AAA metabolism (Trp/Phe/Tyr); BCAA metabolism (Val/Leu/Iso); 2-oxocarboxylic Acid Metabolism; Biosynthesis Of Amino Acids; AA central (A/D/E,G/S/T); Cyanoamino Acid Metabolism; Folate Metabolism; Methane Metabolism; Propanoate Metabolism",Glyoxylate And Dicarboxylate Metabolism,2,0,0,0,0,7,GLYCLTDy (2.06); GLYCTO1p (2.06),,,,,ACACT1r (1.00); CSm (0.95); GHMT2rm (1.00); MDH (1.00); MMEm (1.00); MMMm (1.00); PPCOACm (1.00),9,20.6178658479032,10.568989866008769,10.048875981894431,1.1165417757660479
Butanoate Metabolism; Lipid metabolism; Glyoxylate And Dicarboxylate Metabolism; AA other (Cys/Met/Lys/Arg/Pro); Central Energy Metabolism; Terpenoid Backbone Biosynthesis; AAA metabolism (Trp/Phe/Tyr); BCAA metabolism (Val/Leu/Iso); 2-oxocarboxylic Acid Metabolism; Biosynthesis Of Amino Acids; Lysine Biosynthesis,Lysine Degradation,0,0,0,0,0,6,,,,,,ACACT1r (1.00); ECOAH1m (1.00); HACD1m (1.00); SACCD3m (1.00); r0450 (1.00); r0525 (1.00),6,0.22141631095742148,0.2214163109560917,1.3297696277447812e-12,2.2162827129079687e-13
Butanoate Metabolism; Lipid metabolism; Glyoxylate And Dicarboxylate Metabolism; AA other (Cys/Met/Lys/Arg/Pro); Central Energy Metabolism; Terpenoid Backbone Biosynthesis; AAA metabolism (Trp/Phe/Tyr); BCAA metabolism (Val/Leu/Iso); Propanoate Metabolism,Fatty Acid Degradation,0,0,0,2,0,5,,,,C160CPT1 (1000.00); r0434 (1000.00),,ACACT1r (1.00); ACCOAC (1.00); ECOAH1m (1.00); HACD1m (1.00); _LCAT1e (1.00),7,0.18054188054127737,0.1798078202802807,0.0007340602609966773,0.0001048657515709539
Butanoate Metabolism; Lipid metabolism; Glyoxylate And Dicarboxylate Metabolism; AA other (Cys/Met/Lys/Arg/Pro); Central Energy Metabolism; Terpenoid Backbone Biosynthesis; AAA metabolism (Trp/Phe/Tyr); BCAA metabolism (Val/Leu/Iso); Propanoate Metabolism,Fatty Acid Metabolism,0,0,0,2,0,4,,,,C160CPT1 (1000.00); r0434 (1000.00),,ACACT1r (1.00); ACCOAC (1.00); ECOAH1m (1.00); HACD1m (1.00),6,0.17602197310150208,0.1752879128404666,0.0007340602610354796,0.0001223433768392466
Butanoate Metabolism; Lipid metabolism; Glyoxylate And Dicarboxylate Metabolism; AA other (Cys/Met/Lys/Arg/Pro); Central Energy Metabolism; Terpenoid Backbone Biosynthesis; AAA metabolism (Trp/Phe/Tyr); BCAA metabolism (Val/Leu/Iso); Propanoate Metabolism; Methane Metabolism; Biosynthesis Of Amino Acids,Pyruvate Metabolism,1,0,0,0,0,7,PYK (1.59),,,,,ACACT1r (1.00); ACCOAC (1.00); FUM (1.00); FUMm (0.95); MDH (1.00); ME2m (0.95); PCm (0.95),8,13.719721249198919,10.206527841588331,3.513193407610588,0.4391491759513235
Butanoate Metabolism; Lipid metabolism; Terpenoid Backbone Biosynthesis; BCAA metabolism (Val/Leu/Iso),Synthesis And Degradation Of Ketone Bodies,0,0,0,0,0,1,,,,,,HMGCOASim (1.00),1,0.0369027184927639,0.0369027184926626,1.0130091210314163e-13,1.0130091210314163e-13
Extracellular Transport,Extracellular Transport,4,9,2,6,4,30,GLCt1 (415.69); H2O2t (2.04); O2t (1.39); PYRt2 (1.39),2HBt2 (0.02); 5MTHFt (0.58); 5MTHFt2le (0.58); FOLt2 (0.58); FOLt2le (0.58); NH4t (0.00); PIt9 (0.08); PROt4 (0.23); THRt4 (0.36),ALAtN1 (3000.00); GLNtN1 (3000.00),ALAPAT4te (1000.00); ASNtN1 (1000.00); BTNTe (1000.00); CRTNtr (1000.00); EX_crtn_e (1000.00); HMR_9609 (1000.00),ASNt4 (2000.00); FRUt1r (2000.00); GLNt4 (2000.00); PIt (2000.00),ARGLYSex (1.06); ASPt6 (1.00); CHOLESTTDe (1.00); CHOLESTle (1.00); CHOLtu (1.00); CO2t (0.95); CYSt4 (0.87); CYTDt (1.00); Clt (1.00); GLUt4 (1.00); GLYt4 (1.04); HIStN1 (1.00); ILEtec (1.00); INSTt4_2 (1.00); KCCt (1.00); METt4 (1.11); PCt (1.00); PHEt4 (1.00); PSFLIP (1.00); RTOTALt (1.00); SERt4 (1.03); TRPt (1.00); TYRPHELAT2tc (1.00); URIt5 (1.00); VALtec (1.00); _LEUt4 (1.00); _LPCHOLt (1.00); _LYSt5r (1.01); r1030 (1.00); r1402 (1.00),55,50.11328479752267,46.80035875100608,3.312926046516587,0.06023501902757431
Fructose And Mannose Metabolism,Fructose And Mannose Metabolism,0,0,0,0,3,0,,,,,FBA2 (2000.00); KHK (2000.00); TRIOK (2000.00),,3,0.0,9.410954801968664,-9.410954801968664,-3.1369849339895546
Lipid metabolism,Glycerophospholipid Metabolism,1,0,0,1,0,13,PSSA1_hs (1.32),,,PSSA1r_hs (1000.00),,CDIPTr (1.00); CDS (1.00); CEPTC (1.00); CHLPCTD (1.00); CHOLK (1.00); CLSm_hs (1.00); GPDDA1 (1.00); PGPPTm (1.00); PGPP_hs (1.00); PSDm_hs (1.00); _DAGK_hs (1.00); _LPASE (1.00); r0202c (1.00),15,0.05019215913846089,0.0494580988800893,0.0007340602583715897,4.893735055810598e-05
Lipid metabolism,Sphingolipid Metabolism,0,0,0,3,3,2,,,,3DSPHRr (1000.00); SERPTr (1000.00); SMSr (1000.00),3DSPHR (2000.00); SERPT (2000.00); SMS (2000.00),RE2675C (1.00); _DSAT (1.00),8,0.0018351506469905,0.001835150647006,-1.549997109828727e-14,-1.9374963872859086e-15
Lipid metabolism,Triacylglycerol Synthesis,0,0,0,0,0,3,,,,,,AGPAT1 (1.00); GPAM_hs (1.00); _DGAT (1.00),3,0.0175314342438698,0.017531434244020202,-1.5040052536718918e-13,-5.0133508455729725e-14
Lipid metabolism; Propanoate Metabolism; Central Energy Metabolism,Fatty Acid Biosynthesis,0,0,0,0,0,6,,,,,,ACCOAC (1.00); FAS100COA (1.00); FAS120COA (1.00); FAS140COA (1.00); FAS160COA (1.00); FAS80COA__L (1.00),6,0.11070815548046489,0.11070815547833568,2.129213472201741e-12,3.5486891203362347e-13
Mitochondrial transport,"Transport, Mitochondrial",1,11,0,5,2,16,3MOBt2im (263.43),AKGMALtm (0.72); ATPtm (0.73); GLUt2m (0.73); H2Otm (0.70); HUMANGEM_MAR05116 (0.17); HUMANGEM_MAR11443 (0.17); HUMANGEM_MAR20139 (0.00); HUMANGEM_MAR20145 (0.00); MALtm (0.72); O2Stm (0.65); O2tm (0.65),,HUMANGEM_MAR08651 (1000.00); HUMANGEM_MAR13075 (1000.00); HUMANGEM_MAR20136 (1000.00); ORNt3m (1000.00); VALt5m (1000.00),HUMANGEM_MAR05036 (2000.00); PROtm (2000.00),CO2tm (0.95); GLNtm (1.01); GLYtm (1.00); HUMANGEM_MAR00120 (1.00); HUMANGEM_MAR00587 (1.00); HUMANGEM_MAR08093 (1.00); HUMANGEM_MAR08891 (1.00); HUMANGEM_MAR11363 (1.00); HUMANGEM_MAR11371 (1.00); HUMANGEM_MAR20147 (1.00); HUMANGEM_MAR20148 (1.00); PPItm (1.00); PSERtm (1.00); _DNDPt14m (1.00); _LYStm (1.00); r1464 (1.00),35,79.65188399250393,108.75339523556168,-29.101511243057757,-0.8314717498016502
"Nitrogen disposal; Nucleotide metabolism; Folate Metabolism; AA central (A/D/E,G/S/T)",Purine Synthesis,0,0,0,0,0,10,,,,,,ADSL2 (1.00); AICART (1.00); AIRCr (1.00); GARFT (1.00); GLUPRT (1.00); IMPC (1.00); PRAGSr (1.00); PRASCS (1.00); PRFGS (1.00); r0666 (1.00),10,0.0336753573854475,0.033675357391337,-5.889497223243723e-12,-5.889497223243723e-13
Nucleotide metabolism,Pyrimidine Catabolism,0,0,0,0,0,4,,,,,,CYTDe (1.00); NTD2 (1.00); PYNP2r (1.00); _DCMPDA (1.00),4,0.023728737978532997,0.023728737979187998,-6.550003595062748e-13,-1.637500898765687e-13
"Nucleotide metabolism; Nitrogen disposal; AA central (A/D/E,G/S/T)",Nucleotide Interconversion,0,0,0,0,3,34,,,,,GMPR (2000.00); NTD7 (2000.00); NTD9m (2000.00),ADK1 (1.00); ADKd (1.00); ADSL1 (1.00); ADSS (1.00); CYTDK1 (1.00); CYTK1 (1.00); CYTK12 (1.00); CYTK1m (1.00); GK1 (1.00); NDPK1 (1.00); NDPK10 (1.00); NDPK10n (1.00); NDPK1m (0.95); NDPK3m (1.00); NDPK4n (1.00); NDPK5 (1.00); NDPK6m (1.00); NDPK8 (1.00); NDPK8m (1.00); NTD8 (1.00); PUNP1 (1.00); RNDR2 (1.00); RNDR3 (1.00); TMDSm (1.00); TRDR (1.00); UMPK2m (1.00); URIDK2 (1.00); _DADNK (1.00); _DGK1 (1.00); _DURIK1 (1.00); _DURIPP (1.00); _DUTPDPm (1.00); r0475 (1.00); r0531 (1.00),37,1.7669180823009298,3.142084429279524,-1.3751663469785942,-0.037166658026448494
"Nucleotide metabolism; Nitrogen disposal; AA central (A/D/E,G/S/T); Biomass And Maintenance Functions; Nucleotide Salvage Pathway; Purine Catabolism",Nucleotide Metabolism,0,1,0,0,3,27,,r0276 (0.00),,,GMPR (2000.00); NTD7 (2000.00); PUNP3 (2000.00),ADK1 (1.00); ADSL1 (1.00); ADSS (1.00); ATPM (1.00); CTPS2 (1.00); CYTDK1 (1.00); CYTK1 (1.00); CYTK1m (1.00); GK1 (1.00); GUAPRT (0.98); NDPK1 (1.00); NDPK10 (1.00); NDPK10n (1.00); NDPK1m (0.95); NDPK3m (1.00); NDPK4n (1.00); NDPK5 (1.00); NDPK6m (1.00); NDPK8 (1.00); NDPK8m (1.00); NTD2 (1.00); NTD8 (1.00); PUNP1 (1.00); PUNP2 (1.00); PUNP4 (1.00); PYNP2r (1.00); URIDK2 (1.00),31,20.239624950087073,22.914193295217423,-2.67456834513035,-0.08627639823001129
"Nucleotide metabolism; Nitrogen disposal; AA central (A/D/E,G/S/T); Folate Metabolism; Biomass And Maintenance Functions; Nucleotide Salvage Pathway; Redox & Pentose Metabolism; Biosynthesis Of Amino Acids; Purine Catabolism",Purine Metabolism,0,1,0,0,3,28,,r0276 (0.00),,,GMPR (2000.00); NTD7 (2000.00); PUNP3 (2000.00),ADK1 (1.00); ADSL1 (1.00); ADSL2 (1.00); ADSS (1.00); AICART (1.00); AIRCr (1.00); ATPM (1.00); GARFT (1.00); GK1 (1.00); GLUPRT (1.00); GUAPRT (0.98); IMPC (1.00); NDPK1 (1.00); NDPK10 (1.00); NDPK10n (1.00); NDPK1m (0.95); NDPK5 (1.00); NDPK8 (1.00); NDPK8m (1.00); NTD8 (1.00); PPM (0.98); PRAGSr (1.00); PRASCS (1.00); PRFGS (1.00); PRPPS (0.99); PUNP1 (1.00); PUNP2 (1.00); PUNP4 (1.00),32,20.256343532645364,22.93141611543566,-2.675072582790296,-0.08359601821219675
Nucleotide metabolism; Nucleotide Salvage Pathway; Nitrogen disposal,Nucleotide Salvage Pathway,0,0,0,0,0,1,,,,,,GUAPRT (0.98),1,0.0122482927951819,0.0125004116227177,-0.0002521188275357994,-0.0002521188275357994
Nucleotide metabolism; Purine Catabolism; Nitrogen disposal,Purine Catabolism,0,1,0,0,1,2,,r0276 (0.00),,,PUNP3 (2000.00),PUNP2 (1.00); PUNP4 (1.00),4,0.0139007344716845,1.3133027326245967,-1.2994019981529121,-0.32485049953822803
Oxidative Phosphorylation,Oxidative Phosphorylation,0,4,0,0,0,1,,ATPS4m (0.72); CYOOm3 (0.65); CYOR_u10m (0.65); NADH2_u10m (0.58),,,,PPAm (1.00),5,22.248346726495157,33.276560567738116,-11.028213841242959,-2.205642768248592
