sheet,metabolite,group_type,mean,median,std,cv,iqr,n_samples,mean_vsedian_diff
Leg,nad,slow,223.352509,243.5966279,113.0638161,0.506212429,142.496078,12,20.24411893
Leg,nad,fast,251.0724213,267.6031639,92.00041973,0.36642981,111.9722954,12,16.53074262
Leg,for,slow,36.85790075,36.45015536,6.124651893,0.166169309,10.73731813,12,0.407745389
Leg,for,fast,41.20893343,40.47003864,7.490955093,0.181779883,5.578727707,12,0.738894789
Leg,ncam,slow,161.8071836,159.8699441,43.43524192,0.268438279,24.64897844,12,1.937239416
Leg,ncam,fast,164.9050497,152.0854923,46.84613289,0.284079432,64.04367399,12,12.81955742
Leg,amp,slow,195.6065266,151.5553864,136.0512776,0.695535471,247.3464963,12,44.05114019
Leg,amp,fast,297.2911928,163.0395,337.2269283,1.13433205,265.0558587,12,134.2516928
Leg,adp,slow,421.34512,424.4860173,39.69028763,0.094198997,51.19704378,12,3.140897322
Leg,adp,fast,390.4248049,379.2252532,75.5026361,0.193385859,104.3776294,12,11.19955167
Liver,C02528,slow,48.464718,46.94589655,24.15132395,0.498327958,13.56428438,12,1.518821447
Liver,C02528,fast,73.1739528,84.07991897,44.44861795,0.607437705,65.6551865,12,10.90596618
Liver,coa,slow,20.3978209,15.24520777,13.78825229,0.675966926,11.03733269,12,5.152613125
Liver,coa,fast,22.58044091,17.72270918,14.69960405,0.650988353,17.26657493,12,4.85773173
Liver,pnto_R,slow,75.62502108,60.27817723,52.5669983,0.69510061,85.70605054,12,15.34684384
Liver,pnto_R,fast,86.96620702,70.92577924,56.55621925,0.650324088,109.7271506,12,16.04042778
Liver,2hb,slow,42.39707528,38.61234317,25.16677861,0.593597045,45.04627102,12,3.784732111
Liver,2hb,fast,38.48308959,41.55185233,17.82363609,0.463155019,31.14282644,12,3.068762739
Liver,2hiv,slow,56.3323434,53.79014901,43.36086261,0.769732981,66.27817787,12,2.542194394
Liver,2hiv,fast,64.64085238,64.79439252,42.37284359,0.655511832,65.24801038,12,0.153540133
Liver,leu__L,slow,1679.947275,1477.323077,548.3356198,0.326400494,785.6322253,12,202.6241979
Liver,leu__L,fast,1828.206235,1469.777803,1072.751731,0.586778291,1094.875442,12,358.4284316
Liver,CE1661,slow,210.8671213,242.9940852,66.86540871,0.317097366,79.16248457,12,32.12696391
Liver,CE1661,fast,201.9227069,208.839386,70.80701634,0.350663962,83.73974504,12,6.916679109
Liver,val__L,slow,1343.877699,1178.125357,430.1544541,0.320084524,530.1819181,12,165.7523424
Liver,val__L,fast,1450.048981,1166.395874,875.9591207,0.604089332,950.5228312,12,283.6531071
Liver,ile__L,slow,649.9530251,589.5297456,216.426388,0.332987739,243.7696277,12,60.42327959
Liver,ile__L,fast,696.915252,540.4012983,401.7090103,0.576410129,452.4023034,12,156.5139536
Liver,23btdl,slow,53.18699926,50.18917935,14.57908129,0.274109867,24.35886604,12,2.997819912
Liver,23btdl,fast,54.07592398,56.88457123,14.54676726,0.269006356,10.46706385,12,2.808647247
Liver,bhb,slow,1084.811729,889.9384162,495.0614456,0.456357018,571.0823971,12,194.8733132
Liver,bhb,fast,1108.597985,922.4773013,542.8610226,0.489682491,711.4422199,12,186.1206837
Liver,lac__L,slow,11426.19972,11165.50277,4431.996772,0.387880212,3948.76062,12,260.6969442
Liver,lac__L,fast,10831.07535,9638.964781,3219.920254,0.297285371,5649.609784,12,1192.110569
Liver,lac___D,slow,220.4160905,223.3057611,131.0131131,0.594389968,218.7054768,12,2.889670558
Liver,lac___D,fast,188.3863645,133.5073117,109.5099524,0.581305089,211.6325154,12,54.87905281
Liver,ala__L,slow,5914.302635,5492.645827,2829.133576,0.47835455,1778.880307,12,421.6568083
Liver,ala__L,fast,5586.005365,5462.285504,2572.474433,0.460521297,4076.675661,12,123.7198606
Liver,ac,slow,268.7612852,274.7294443,34.78621045,0.129431627,66.17152006,12,5.96815911
Liver,ac,fast,270.3616953,262.91761,75.39314502,0.278860306,110.4331064,12,7.444085317
Liver,glu__L,slow,6430.599242,6447.59072,1251.247622,0.194577142,1232.657935,12,16.99147763
Liver,glu__L,fast,7516.76995,7394.101486,1573.515088,0.209333942,2323.790796,12,122.6684642
Liver,succ,slow,1839.886696,1689.716362,689.9562558,0.374999318,692.6097006,12,150.1703343
Liver,succ,fast,2450.16381,2116.955613,1194.444005,0.487495571,1680.658109,12,333.2081971
Liver,gln__L,slow,2239.964921,2266.052726,818.4309227,0.365376669,1140.209338,12,26.08780483
Liver,gln__L,fast,2166.054718,1866.675557,922.5946421,0.425933211,1569.791396,12,299.3791606
Liver,ala_B,slow,770.2734516,740.5465469,177.868913,0.230916582,255.9868569,12,29.72690468
Liver,ala_B,fast,743.7581406,750.0653316,142.1819464,0.191166911,132.1498927,12,6.307191062
Liver,glyb,slow,30.62752777,25.56635213,12.55017147,0.409767695,24.9048499,12,5.061175642
Liver,glyb,fast,34.45346615,35.29368156,9.806165144,0.284620569,11.35590998,12,0.840215415
Liver,dma,slow,36.45996631,37.66508177,8.76386395,0.240369502,10.0623717,12,1.205115458
Liver,dma,fast,33.65856631,30.9365734,10.16490579,0.302000557,8.854865419,12,2.721992905
Liver,sarcs,slow,91.11857591,89.79762159,25.90860061,0.284339394,34.28379382,12,1.320954316
Liver,sarcs,fast,92.16954029,90.34209026,37.54467827,0.407343664,35.11215872,12,1.827450028
Liver,metsox_S__L,slow,406.2789217,343.8160096,181.6112939,0.447011361,110.8502332,12,62.46291206
Liver,metsox_S__L,fast,460.0955657,319.2718324,351.2848829,0.76350417,322.6376735,12,140.8237333
Liver,asp__L,slow,3162.281034,3494.541882,1076.023767,0.340268229,1220.453281,12,332.2608481
Liver,asp__L,fast,3512.245656,3480.165089,1080.774632,0.307716128,1180.036651,12,32.08056761
Liver,asn__L,slow,457.2245555,510.153783,247.9739676,0.542346129,368.8901855,12,52.9292275
Liver,asn__L,fast,403.6189451,380.0898969,187.3746447,0.464236496,228.8887276,12,23.52904821
Liver,tma,slow,28.4259555,27.35730144,5.607317056,0.19726046,8.569563043,12,1.068654054
Liver,tma,fast,27.43910854,26.20881717,8.013991012,0.292064554,10.61383046,12,1.230291373
Liver,dmgly,slow,84.02928406,87.61138462,18.33409873,0.218187016,25.8081198,12,3.582100561
Liver,dmgly,fast,77.19682716,72.47113154,20.5631989,0.266373628,25.29408919,12,4.725695618
Liver,lys__L,slow,1409.838985,1399.903363,402.4966768,0.285491238,365.3367048,12,9.935622182
Liver,lys__L,fast,1562.55115,1246.537178,906.0898751,0.579878537,1087.270109,12,316.0139722
Liver,crtn,slow,705.1509237,560.536317,599.0019663,0.849466329,570.6340279,24,144.6146066
Liver,crtn,fast,731.620568,558.0435127,637.9586821,0.871980245,502.2764739,24,173.5770553
Liver,etha,slow,1419.956798,1333.43765,339.6830886,0.239220721,309.3614577,12,86.51914819
Liver,etha,fast,1279.215243,1401.748816,479.9613934,0.37519987,637.5147682,12,122.5335727
Liver,acrn,slow,68.31511065,65.90593232,36.33829342,0.531921753,25.43646695,12,2.409178337
Liver,acrn,fast,58.93591386,56.18727589,25.14512752,0.426652034,27.21753932,12,2.74863797
Liver,chol,slow,1790.182892,1653.619798,616.5069594,0.344382109,1085.024924,12,136.563094
Liver,chol,fast,1916.40235,1649.439825,809.2880186,0.422295464,1136.025384,12,266.9625248
Liver,peho,slow,1017.698816,937.1897328,619.5395795,0.608765157,896.5503057,12,80.50908269
Liver,peho,fast,907.9687071,1001.72568,468.2263203,0.515685526,876.458076,12,93.7569731
Liver,cholp,slow,761.8851117,786.5486548,307.564986,0.403689456,457.3773481,12,24.66354304
Liver,cholp,fast,665.346705,547.4025571,401.8927114,0.604035022,556.066718,12,117.9441478
Liver,crn,slow,53.1137384,41.86746834,37.6648368,0.709135488,32.78944441,12,11.24627006
Liver,crn,fast,50.16759242,44.20607487,31.32924688,0.624491736,46.83673365,12,5.961517553
Liver,g3pc,slow,314.529815,253.6847527,232.5422489,0.739332927,119.3622558,12,60.84506229
Liver,g3pc,fast,319.5852952,214.6823315,329.2407284,1.030212382,99.63178994,12,104.9029637
Liver,btbet,slow,4439.789893,4191.830641,1276.186176,0.287442921,2060.592034,12,247.9592512
Liver,btbet,fast,4471.213067,3914.761586,1182.64678,0.264502443,1769.846909,12,556.4514815
Liver,inost,slow,5965.184631,4593.392451,5747.993236,0.963590164,11094.60736,24,1371.792179
Liver,inost,fast,6399.69773,5194.618442,6137.89621,0.95909158,12428.45403,24,1205.079289
Liver,taur,slow,8424.772377,7505.489654,1759.219616,0.208815092,2148.16358,12,919.2827229
Liver,taur,fast,7977.038645,8654.153703,2244.974515,0.281429565,3808.619622,12,677.115058
Liver,gly,slow,4382.810626,4602.694037,858.4969434,0.195878174,1302.08346,12,219.8834112
Liver,gly,fast,4469.129564,4415.199332,1339.407912,0.299702189,1461.285654,12,53.93023213
Liver,thr__L,slow,1658.57098,1620.974086,431.3193849,0.260054824,554.2196336,12,37.59689357
Liver,thr__L,fast,1816.962582,1435.551152,950.6436698,0.523204869,945.4302114,12,381.4114307
Liver,glyc,slow,4273.65849,3641.533176,1600.821216,0.374578647,2939.759563,12,632.1253136
Liver,glyc,fast,4655.941539,4556.497477,1997.142736,0.428944977,3556.468381,12,99.44406256
Liver,ethe,slow,131.0279617,133.4400231,41.67424782,0.318056141,54.42531751,12,2.412061496
Liver,ethe,fast,129.3259597,131.5313806,46.92254617,0.362823878,66.3898328,12,2.205420943
Liver,ser__D,slow,4390.74102,3838.829899,1230.788376,0.2803145,1329.513928,12,551.911121
Liver,ser__D,fast,4125.182311,3538.572226,1657.508138,0.401802396,2146.561778,12,586.6100845
Liver,pro__L,slow,1390.668499,1420.975581,388.6434851,0.279465225,356.7987605,12,30.30708227
Liver,pro__L,fast,1569.623865,1286.178086,794.8445797,0.506391752,789.9245419,12,283.4457792
Liver,mal__L,slow,966.0219495,841.9141414,329.632111,0.341226316,447.5247159,12,124.1078081
Liver,mal__L,fast,920.6586958,927.9201019,283.2905143,0.307704164,371.6104701,12,7.261406072
Liver,glc__D,slow,10575.59448,9755.501968,4243.522158,0.401256134,3771.01412,12,820.0925131
Liver,glc__D,fast,13638.79028,15572.32091,6267.772495,0.45955487,7594.770771,12,1933.530631
Liver,man,slow,152.3273133,141.1677136,50.5421281,0.331799511,85.9517776,12,11.15959976
Liver,man,fast,165.767367,135.9783538,92.29725984,0.556787874,103.1640636,12,29.78901316
Liver,g6p,slow,201.3058902,121.719467,166.5363181,0.827279907,222.5775571,12,79.5864232
Liver,g6p,fast,204.7618847,94.94718745,227.382432,1.110472451,218.8115554,12,109.8146973
Liver,ura,slow,184.5037218,175.1913711,51.7859366,0.280676921,53.00562995,12,9.312350732
Liver,ura,fast,156.7382702,127.5082214,76.78926355,0.48992032,92.18522587,12,29.23004882
Liver,uri,slow,491.7990025,478.4290262,114.9242214,0.233681282,162.8609803,12,13.36997626
Liver,uri,fast,550.2469561,559.7238847,118.5189642,0.215392312,115.11178,12,9.476928617
Liver,cytd,slow,50.42876477,41.52739751,34.94390125,0.692935895,35.58843916,12,8.90136726
Liver,cytd,fast,47.27956452,47.85088925,37.838079,0.800305151,63.53596721,12,0.571324734
Liver,ump,slow,30.05095487,30.70710023,24.45974794,0.813942453,39.10382109,12,0.656145363
Liver,ump,fast,28.14438764,21.00077324,27.62713749,0.981621553,37.02225788,12,7.143614397
