,K1_ink,K1,K2_ink,K2,K3_ink,K3,O1_ink,O1,O2_ink,O2,O3_ink,O3
EP10_000546,0,0,0,0,0,0,0,0,0,0,0,0
EP10_000547,95,54,70,114,122,98,145,54,50,58,115,118
EP10_000548,425,182,222,284,519,207,488,141,197,148,385,310
EP10_000549,149,50,58,72,135,76,157,52,51,49,124,123
EP10_000550,383,125,138,172,357,122,325,105,120,86,296,205
EP10_000551,21,16,17,18,26,10,29,12,13,9,16,21
EP10_000552,9,157,51,201,41,236,25,138,102,124,25,280
EP10_000553,4841,24886,24532,18646,8022,18652,4495,20184,52310,19968,13327,24781
EP10_000554,13,8,9,17,5,8,10,19,10,10,11,16
EP10_000555,472,558,743,901,539,299,423,609,1309,1124,392,624
EP10_000556,20,34,24,57,16,25,14,42,79,77,30,44
EP10_000557,85,71,85,107,62,63,52,68,132,97,83,74
EP10_000558,306,195,238,363,227,182,203,213,338,219,289,240
EP10_000559,103,82,92,183,87,103,92,96,124,84,91,123
EP10_000560,138,76,87,135,135,90,82,72,148,89,111,110
EP10_000561,546,345,444,551,439,335,471,383,801,344,560,463
EP10_000562,86,92,120,166,158,148,184,106,213,124,137,202
EP10_000563,190,244,228,414,170,253,198,405,501,380,189,396
EP10_000564,225,210,296,445,220,248,275,473,659,474,253,457
EP10_000565,101,109,172,207,104,134,161,217,356,255,159,241
EP10_000566,2901,3027,3544,7221,3095,7367,4925,4594,7114,3500,5655,5875
EP10_000567,1971,2248,2347,5624,2168,6121,3315,3677,4933,2938,3869,4735
EP10_000568,1992,2005,2013,5695,1905,6046,2831,3405,4189,2273,3120,4372
EP10_000569,3776,2152,2085,5446,2038,4945,2705,3094,4138,2085,3525,3545
EP10_000570,41895,46659,42890,76150,40035,68243,54171,49138,77362,31986,76461,50784
EP10_000571,1203,847,758,1842,1175,1479,1301,1015,1255,712,1598,1102
EP10_000572,589,565,1000,661,840,533,795,795,2180,902,871,650
EP10_000573,171,174,147,191,234,137,252,235,247,145,325,224
EP10_000574,211,325,300,344,248,333,357,402,439,232,371,360
EP10_000575,356,522,450,606,456,529,551,688,764,401,594,611
EP10_000576,1078,1578,1710,2269,1211,3270,2554,2684,3699,1841,2085,2288
EP10_000577,839,1042,1372,1837,1183,2608,2247,1967,2823,1671,1587,1860
EP10_000578,126,128,146,257,117,194,207,273,394,253,172,197
EP10_000579,123,118,268,162,270,103,184,88,269,153,220,151
EP10_000580,125,107,858,135,150,61,93,110,116,104,64,139
EP10_000581,204,207,410,395,307,260,289,238,533,250,228,382
EP10_000582,711,383,369,436,666,278,660,539,805,487,679,620
EP10_000583,648,1013,1900,1966,1301,1498,1141,852,2433,1082,984,1596
EP10_000584,14,27,17,48,24,49,22,17,25,24,17,42
EP10_000585,364,132,235,242,402,159,275,144,227,130,317,266
EP10_000586,1,1,5,4,4,0,2,1,1,3,3,4
EP10_000587,65,35,45,98,45,61,56,39,44,60,86,97
EP10_000588,175,138,128,288,185,211,190,108,100,129,181,245
EP10_000589,96,78,67,112,97,106,83,55,67,83,84,115
EP10_000590,141,56,69,74,93,47,68,60,76,66,74,57
EP10_000591,127,49,56,91,108,35,51,41,64,57,63,64
EP10_000592,94,40,51,58,64,21,53,38,50,61,40,63
EP10_000593,106,20,27,55,36,22,25,16,27,59,36,30
EP10_000594,236,97,105,226,132,79,107,79,86,115,95,141
EP10_000595,223,140,155,220,214,163,194,103,208,94,205,175
EP10_000596,83,62,108,125,109,122,142,68,129,92,100,118
EP10_000597,115,79,128,157,150,125,147,104,146,107,111,129
EP10_000598,54,53,89,92,88,103,106,70,99,77,56,124
EP10_000599,33,31,58,63,47,78,81,36,61,43,42,71
EP10_000600,1544,674,706,956,1247,981,1292,763,1017,486,1212,1108
EP10_000601,1450,581,522,799,1006,845,915,536,763,373,1066,905
EP10_000602,4897,1911,1953,2991,3604,2851,3494,1909,2657,1375,3530,2767
EP10_000603,1276,887,783,1459,1078,1387,1166,905,1253,803,1236,1322
EP10_000604,578,504,351,754,468,760,551,464,565,393,546,726
EP10_000605,402,237,268,395,322,351,347,245,424,197,335,340
EP10_000606,251,129,147,283,225,199,190,138,251,115,227,210
EP10_000607,477,347,206,284,442,346,393,302,310,200,527,378
EP10_000608,361,240,103,212,271,239,258,241,170,116,385,294
EP10_000609,75,256,96,219,93,289,98,271,147,159,130,359
EP10_000610,1487,1103,1294,1731,1291,997,780,1278,1726,1187,1079,1316
EP10_000611,1087,950,1292,1512,1286,1085,763,1072,1812,1208,752,1288
EP10_000612,7486,3419,6439,6577,7300,5694,7414,4269,12819,5023,7259,6069
EP10_000613,2247,1870,2798,2899,3172,2546,3152,2042,5384,2588,2818,2882
EP10_000614,1149,835,1305,1801,1515,1449,1615,745,1679,978,1120,1683
EP10_000615,424,321,634,685,686,520,937,322,803,374,520,668
EP10_000616,1070,982,1766,1441,1492,838,1113,880,1553,920,1200,1073
EP10_000617,109,243,430,623,188,366,220,345,631,339,178,390
EP10_000618,1761,1662,1913,2221,2467,2216,1876,2313,2694,1648,2618,2382
EP10_000619,1952,2120,1001,3417,2632,2338,1139,1527,1292,1514,1463,2087
EP10_000620,4536,5686,3131,8408,8307,7465,3442,3781,4218,4856,4562,6422
EP10_000621,107,45,144,150,124,69,190,78,143,122,133,181
EP10_000622,337,538,1469,973,602,1150,475,620,581,542,400,899
EP10_000623,745,914,2058,1525,1245,1450,1012,1030,1045,779,880,1090
EP10_000624,98,140,208,350,130,176,137,134,157,136,122,133
EP10_000625,3,1,1,4,2,1,3,0,2,0,0,2
EP10_000626,527,583,3733,1308,1640,440,608,188,344,315,97,206
EP10_000627,541,580,3460,1332,1651,460,627,178,338,321,107,199
EP10_000628,411,416,2542,1034,1028,330,431,112,212,193,58,125
EP10_000629,531,283,1739,595,907,190,262,70,118,119,38,88
EP10_000630,16420,7691,23210,8914,18056,3294,6800,1233,1942,1793,1231,1596
EP10_000631,477,392,755,727,613,556,752,416,699,308,717,537
EP10_000632,360,39,53,82,185,39,61,70,35,111,111,66
EP10_000633,28,23,21,27,12,10,11,15,13,17,12,22
EP10_000634,155,138,106,219,144,133,175,160,132,128,176,185
EP10_000635,239,213,224,277,329,448,318,232,417,152,309,324
EP10_000636,197,63,103,110,214,48,161,71,141,83,168,94
EP10_000637,147,114,191,217,193,302,237,225,277,140,265,245
EP10_000638,294,213,288,457,355,483,320,350,488,209,425,326
EP10_000639,305,184,199,339,259,359,269,317,369,152,327,283
EP10_000640,114,87,132,191,165,241,136,155,216,85,187,144
EP10_000641,65,43,114,118,115,58,107,43,98,70,100,115
EP10_000642,453,496,826,1162,703,1183,705,906,2670,1053,1708,1942
EP10_000643,160,166,307,402,264,411,236,250,1198,386,753,643
EP10_000644,69,104,88,149,88,109,122,119,126,86,144,134
EP10_000645,3143,1877,1144,2150,2868,1850,2648,2334,1885,2068,2930,2931
EP10_000646,1187,826,721,1234,1204,1090,1308,1050,1061,807,1315,1333
EP10_000647,242,349,412,502,370,481,449,378,484,258,469,530
EP10_000648,211,292,331,338,305,312,366,276,381,205,348,368
EP10_000649,5972,6229,8439,7014,8321,4380,6300,4983,7571,5628,6526,6238
EP10_000650,5182,4240,5466,5686,6884,4556,7473,3927,7551,3392,6046,5584
EP10_000651,22,22,17,20,28,15,24,11,23,21,25,20
EP10_000652,169,165,245,201,276,150,192,111,283,189,231,216
EP10_000653,167,142,335,211,185,106,194,110,973,106,187,140
