,K1_ink,K1,K2_ink,K2,K3_ink,K3,O1_ink,O1,O2_ink,O2,O3_ink,O3
EP10_001785,29,29,31,39,34,18,16,17,28,29,19,33
EP10_001786,33,38,45,28,39,14,24,18,26,23,26,27
EP10_001787,2,3,12,3,1,2,1,2,4,4,3,7
EP10_001788,23,16,22,20,15,6,16,11,7,17,9,16
EP10_001789,39,23,171,36,63,19,44,30,25,19,41,41
EP10_001790,1215,794,2047,1873,1725,1013,1437,837,1831,1219,1547,1436
EP10_001791,68,132,155,415,70,196,87,125,111,262,64,139
EP10_001792,402,645,768,2373,449,1044,496,696,752,1553,245,892
EP10_001793,345,668,1181,2644,580,1724,745,759,1182,2096,323,1444
EP10_001794,26,23,30,25,29,7,17,27,13,24,20,23
EP10_001795,54,41,45,65,50,49,33,52,58,78,61,73
EP10_001796,236,130,143,223,204,155,228,209,237,254,138,203
EP10_001797,15,7,19,13,9,6,7,11,12,16,7,15
EP10_001798,382,260,702,525,477,274,434,245,751,305,359,392
EP10_001799,350,241,290,261,374,198,379,195,379,179,439,308
EP10_001800,1486,1745,2529,2186,2225,2353,2521,1584,3138,1258,2500,2570
EP10_001801,49,56,47,62,30,51,42,65,43,40,27,65
EP10_001802,54,65,66,55,52,29,49,45,50,38,28,47
EP10_001803,6,3,11,5,6,1,8,3,6,11,6,5
EP10_001804,444,373,624,625,756,441,654,418,769,522,634,731
EP10_001805,122,102,142,144,153,84,147,106,129,87,130,118
EP10_001806,266,136,172,175,381,185,527,130,334,130,435,287
EP10_001807,234,120,211,242,320,246,324,178,256,167,301,298
EP10_001808,1924,1561,2720,3090,2885,3419,3219,2167,3509,1634,2759,3618
EP10_001809,1829,1145,2085,2670,2201,3258,2335,1894,2900,1385,2237,2906
EP10_001810,582308,438175,463630,599142,611114,644474,658035,483475,800518,314356,625539,574212
EP10_001811,1727,854,801,1152,1693,1319,1603,809,1309,592,1538,1467
EP10_001812,2742,1660,1726,2471,3377,2770,3311,1493,2698,1190,3128,3063
EP10_001813,2558,1455,1599,2228,3216,2354,3198,1314,2545,1149,2855,2564
EP10_001814,3966,3501,3690,5262,5152,5521,5091,3636,5462,2702,4677,5584
EP10_001815,2802,2488,2893,4016,4159,3919,4595,2848,4449,2528,4372,4772
EP10_001816,1639,1423,1200,2144,2154,2455,2207,1392,1740,1034,1801,2595
EP10_001817,3118,1795,1517,2410,2873,2581,2863,1508,2127,1042,2745,2534
EP10_001818,2767,1653,1223,2027,2195,2137,2067,1157,1560,961,2084,2078
EP10_001819,2568,1642,1327,2109,2465,2093,2370,1189,1829,1046,2151,2198
EP10_001820,2179,2020,1803,2873,2883,2740,3749,1942,2713,1865,3295,3274
EP10_001821,1620,1479,969,1928,2169,2017,2387,1521,1668,1115,1941,2354
EP10_001822,314,250,201,316,413,322,403,178,336,202,357,461
EP10_001823,646,431,320,629,681,538,747,341,543,346,696,638
EP10_001824,708,553,457,936,936,921,1090,527,799,423,990,818
EP10_001825,1293,876,770,1645,1480,1639,1834,891,1322,689,1664,1442
EP10_001826,3650,1889,1205,2249,3197,2287,2826,1409,2801,1231,3172,2793
EP10_001827,52,123,29,94,47,115,36,104,61,59,70,124
EP10_001828,34,40,75,68,95,48,66,37,62,42,45,75
EP10_001829,0,0,0,0,0,0,0,0,0,0,0,0
EP10_001830,0,0,0,0,0,0,0,0,0,0,0,0
EP10_001831,104,101,220,134,184,113,158,70,130,72,87,135
EP10_001832,1049,973,2044,1479,1399,1113,1248,711,1367,727,791,1039
EP10_001833,430,246,195,350,445,342,333,233,204,159,322,382
EP10_001834,133,53,51,105,96,68,104,52,49,39,66,58
EP10_001835,123,83,54,113,128,92,99,74,70,48,114,71
EP10_001836,1560,1049,1452,1857,1956,1121,1687,647,1978,610,2295,1486
EP10_001837,1030,652,858,1084,971,931,1009,816,1092,548,1089,961
EP10_001838,3644,2352,3473,5006,3518,5176,4218,3617,5235,2439,4787,4610
EP10_001839,1598,992,1918,1834,2228,1379,2192,1108,2524,1240,1972,1853
EP10_001840,1452,1265,1473,1841,1550,2101,1998,1338,2424,831,2205,1937
EP10_001841,3031,3041,3472,4527,3644,5254,4835,3439,5941,2149,4978,5059
EP10_001842,584,502,1133,1109,1094,1179,1263,719,1766,852,1112,1278
EP10_001843,1628,1083,2724,2823,2753,2824,2726,2067,3797,2093,2339,3193
EP10_001844,2034,2974,2853,3672,3363,3925,3811,2902,6347,2900,3638,5154
EP10_001845,2551,2111,2255,2974,3370,3651,3688,2267,3999,1788,3617,4008
EP10_001846,2521,1239,2173,2381,3079,2633,3219,1473,3063,1094,2780,2526
EP10_001847,2258,1570,2584,2890,3224,3483,3395,1835,3516,1445,3143,2970
EP10_001848,3894,3404,4801,5224,6571,6768,7143,3657,6734,2993,5569,6104
EP10_001849,2404,2155,2824,3166,4042,3874,4381,2352,4087,1838,3426,3374
EP10_001850,1255,938,1654,1699,2153,2513,2733,1145,2263,922,1702,2091
EP10_001851,1141,462,1070,1400,1421,1757,2044,712,1588,640,1396,1391
EP10_001852,1100,609,1427,1732,1836,2125,2542,844,2118,802,1487,1767
EP10_001853,683,464,1070,1261,1097,1550,1762,700,1407,561,1122,1095
EP10_001854,1401,918,1628,2207,2129,2630,2956,1305,2408,954,2130,1884
EP10_001855,456,342,521,733,568,746,918,405,716,270,588,532
EP10_001856,1856,1365,2481,2970,3357,3429,4623,1682,3478,1307,2938,2626
EP10_001857,1234,946,1411,1965,1828,2240,2178,1262,1867,1284,1630,2223
EP10_001858,729,390,612,1012,896,1341,1141,713,896,519,952,1142
EP10_001859,6636,4264,6391,8265,8912,9903,10590,6461,9070,3614,9361,9160
EP10_001860,1593,1215,2457,2564,2867,2049,2933,1490,3249,1619,2210,2781
EP10_001861,1196,678,1442,1422,1757,969,1508,793,1708,865,1343,1322
EP10_001862,461,575,717,783,692,786,586,620,1035,535,749,853
EP10_001863,671,789,1192,1221,996,1066,1011,835,1732,669,1032,1117
EP10_001864,1989,1984,2881,2597,3242,2167,3208,2053,4411,2372,3102,3165
EP10_001865,32,42,36,100,29,113,64,99,52,88,26,139
EP10_001866,20,27,24,27,24,24,21,37,18,36,19,48
EP10_001867,1203,896,949,1554,1362,1364,1607,1200,1198,1140,1275,1270
EP10_001868,181,113,120,226,153,171,188,159,129,125,125,132
EP10_001869,503,294,355,622,462,519,525,477,427,352,422,456
EP10_001870,474,270,335,547,437,524,491,400,409,363,435,492
EP10_001871,593,353,385,705,479,636,538,526,478,389,574,534
EP10_001872,428,294,416,633,398,691,608,470,521,421,450,548
EP10_001873,2199,1379,1668,3237,2152,3290,2450,1863,2462,1701,1912,2440
EP10_001874,1475,1199,1249,2338,1683,2173,1889,1251,1879,1256,1418,1733
EP10_001875,1129,918,970,1699,1391,1567,1509,952,1399,859,1118,1270
EP10_001876,118,84,111,167,134,199,179,99,128,93,129,187
EP10_001877,405,178,159,278,298,197,269,131,196,147,240,216
EP10_001878,32843,27862,25679,38564,41719,30669,45870,26144,32639,23270,30504,28615
EP10_001879,0,0,0,0,0,0,0,0,0,0,0,0
EP10_001880,45,10,11,13,28,11,16,18,13,14,20,12
EP10_001881,13,5,4,9,10,4,5,5,5,9,10,8
EP10_001882,4222,2539,1847,2639,3363,2427,2701,1960,2118,1355,2370,2343
EP10_001883,518,341,274,400,566,378,421,296,429,269,396,434
EP10_001884,2828,2405,1990,2943,3093,3193,2716,2082,2553,1763,2558,3101
EP10_001885,1732,1468,1067,1675,1601,1859,1587,1132,1533,930,1495,1693
EP10_001886,270,164,128,203,166,206,180,117,170,125,227,170
EP10_001887,1563,1029,738,1222,1320,1344,1236,758,1150,678,1007,1272
EP10_001888,1482,929,920,1194,1366,1284,1225,556,1276,858,1250,1314
EP10_001889,202,347,407,548,380,586,415,427,635,404,302,677
EP10_001890,777,542,573,870,647,712,480,455,753,438,522,626
EP10_001891,638,355,532,731,637,614,454,499,693,411,452,611
EP10_001892,432,264,465,526,446,486,346,306,466,271,334,473
EP10_001893,242,125,205,258,276,254,179,152,267,131,155,193
EP10_001894,1158,613,932,1217,961,990,804,642,1180,538,754,863
EP10_001895,1651,971,1130,1602,1414,1385,1386,826,1522,646,1074,1140
EP10_001896,1519,1103,1183,1676,1684,1571,1499,910,1661,786,1111,1395
EP10_001897,1937,730,974,1137,1603,1112,1399,512,1265,640,1119,1060
EP10_001898,1089,648,806,859,1312,849,1065,446,1076,413,998,867
EP10_001899,634,416,544,779,995,533,928,381,504,322,768,650
EP10_001900,763,455,341,554,693,535,705,350,486,277,584,437
EP10_001901,5384,3251,2850,4800,4736,4670,5228,3097,3636,2212,3964,3504
EP10_001902,2016,1096,926,1699,1519,1517,1811,1058,1152,681,1274,1137
EP10_001903,1321,785,786,1338,1182,1254,1403,854,964,591,1141,937
EP10_001904,16662,9631,11543,11906,10319,6363,3825,11986,13802,16316,6537,6491
EP10_001905,3231,2127,3059,2790,2376,1955,1149,2447,2450,2907,1554,2064
EP10_001906,15843,12790,23697,19980,21471,17970,19138,15987,26600,16638,16559,19349
EP10_001907,6024,5143,9331,7058,10102,6843,8940,5581,10438,5680,8082,7600
EP10_001908,1970,961,1406,1259,1502,732,1091,876,1117,588,1331,891
EP10_001909,2529,1407,1997,1865,2003,1191,1710,1317,1893,910,1664,1445
EP10_001910,2376,1742,2271,2087,3398,2392,4006,1354,2546,920,3133,2558
EP10_001911,10436,4666,5336,6652,8668,4747,5958,5721,6884,5691,7287,5472
EP10_001912,996,854,1160,1243,1231,1253,1237,912,2563,558,1232,1257
EP10_001913,999,967,1147,1336,1032,1343,1276,984,2432,532,1075,1276
EP10_001914,2733,2267,2634,3003,3002,3158,3598,2144,5422,1131,3199,2750
EP10_001915,58,71,87,99,89,115,103,58,121,31,68,106
EP10_001916,3934,3217,6660,6153,5890,4023,5049,3227,7605,3613,4793,4766
EP10_001917,203,270,172,338,515,721,760,292,416,144,587,795
EP10_001918,409,474,357,656,1040,1256,1400,582,705,294,880,1540
EP10_001919,25,16,21,20,24,17,11,22,23,29,16,18
EP10_001920,67,61,62,79,44,55,77,82,71,35,83,71
EP10_001921,671,659,841,838,970,657,960,710,1310,720,1109,922
EP10_001922,229,218,222,245,322,211,302,255,398,248,273,338
EP10_001923,1608,890,2400,1701,2274,1571,1910,1172,2472,1267,1743,1683
EP10_001924,2194,1628,3950,2926,3591,2782,3289,2084,4357,1991,2659,2799
EP10_001925,288,239,422,657,324,228,308,293,574,502,270,223
EP10_001926,708,502,991,1019,860,550,699,500,1250,910,670,702
EP10_001927,610,768,1374,1459,1003,1195,1124,985,2048,980,974,1305
EP10_001928,713,739,1384,1551,1101,1129,993,900,2008,899,970,1125
EP10_001929,683,870,1672,1677,1263,1366,1355,1013,2355,1014,1196,1427
EP10_001930,1018,931,1527,1940,1232,1316,1389,1175,2434,936,1235,1411
EP10_001931,416,463,856,938,598,774,786,500,1233,505,583,697
EP10_001932,571,189,269,240,781,192,598,136,453,194,485,361
EP10_001933,5,1,4,4,3,0,3,1,4,7,8,3
EP10_001934,16,11,17,26,12,20,6,10,10,6,8,39
EP10_001935,56,80,78,97,54,55,40,195,66,141,43,181
EP10_001936,58,92,130,186,76,98,64,310,121,148,73,194
EP10_001937,123,107,175,247,105,143,93,388,176,215,94,287
EP10_001938,43,55,93,104,60,75,42,158,81,85,59,125
EP10_001939,50,61,85,130,54,60,56,152,104,83,61,119
EP10_001940,69,63,102,127,46,89,65,165,140,117,69,193
EP10_001941,78,71,121,134,75,91,67,167,141,91,62,143
EP10_001942,79,105,162,186,93,108,84,156,166,126,96,153
EP10_001943,94,87,156,178,105,78,70,135,152,99,87,164
EP10_001944,511,360,521,487,723,547,860,368,689,316,677,710
EP10_001945,7390,5275,8847,9485,8943,4141,5913,3590,8468,4413,5520,5468
EP10_001946,530,369,700,624,796,481,517,464,722,510,649,655
EP10_001947,1403,834,1542,1620,1830,1022,1253,1033,1857,958,1504,1350
EP10_001948,611,438,907,709,850,696,854,465,1161,603,736,771
EP10_001949,1034,684,1493,1558,1402,801,1155,886,2357,1367,1154,1022
EP10_001950,438,323,650,653,570,251,441,377,1008,622,363,349
EP10_001951,2755,2879,8511,3949,4452,2458,1255,1707,1924,1600,1428,2203
EP10_001952,884,630,653,440,842,335,1015,809,1222,707,913,681
EP10_001953,112,73,76,68,127,55,169,123,179,92,141,83
EP10_001954,767,657,2111,1733,1002,1748,937,1873,2707,1960,1511,2283
EP10_001955,1880,1136,2948,2707,2740,3035,2448,2389,4849,2452,3841,3865
EP10_001956,2225,1300,3240,3211,3043,3630,3201,1918,3136,1720,3264,3126
EP10_001957,1203,703,1828,1692,1764,2266,1889,1065,1720,1068,1649,2011
EP10_001958,5444,2490,5372,6306,5352,6706,5988,3851,5751,2936,5385,5487
EP10_001959,4453,2299,4655,5056,6083,5445,5502,3057,5147,2527,5219,4884
EP10_001960,89,94,138,128,87,76,60,43,159,67,95,82
EP10_001961,3,1,2,4,3,9,4,1,4,2,8,5
EP10_001962,132,125,132,174,168,85,101,74,109,85,137,151
EP10_001963,2,2,4,7,14,7,9,0,3,6,3,14
EP10_001964,15,16,30,32,40,20,30,21,34,28,31,43
EP10_001965,12,17,15,20,15,11,9,7,14,21,18,17
EP10_001966,79,33,56,88,81,53,54,39,73,59,60,69
EP10_001967,215,131,157,110,190,88,122,92,143,77,111,86
EP10_001968,22,15,17,25,22,17,10,13,17,11,14,20
EP10_001969,108,44,91,81,85,63,47,43,80,54,90,97
EP10_001970,242,137,169,203,245,138,181,99,186,119,176,190
EP10_001971,229,111,151,155,210,100,164,102,124,78,141,149
EP10_001972,481,185,360,272,385,231,291,178,234,179,295,220
EP10_001973,388,132,182,120,211,116,132,98,125,69,159,115
EP10_001974,1690,513,925,672,844,458,484,434,645,499,536,423
EP10_001975,607,150,448,332,429,242,217,165,305,193,252,206
EP10_001976,810,297,569,491,540,321,357,335,445,294,394,316
EP10_001977,799,277,412,375,460,259,298,363,344,224,334,291
EP10_001978,169,166,160,203,517,254,418,173,218,144,478,397
EP10_001979,77,31,10,31,105,28,90,15,30,17,57,73
EP10_001980,273,117,98,125,300,152,276,121,90,76,288,269
EP10_001981,379,185,180,283,438,291,419,214,177,185,371,447
EP10_001982,0,0,0,0,0,0,0,0,0,0,0,0
EP10_001983,102,68,86,126,106,73,109,75,84,65,98,119
EP10_001984,219,138,188,267,259,176,268,144,178,118,219,229
EP10_001985,27,28,23,43,36,34,44,16,18,19,25,43
EP10_001986,35,37,33,59,49,33,45,25,30,32,41,49
EP10_001987,766,590,668,939,698,690,677,703,988,429,854,692
EP10_001988,402,317,345,493,400,363,365,353,539,218,417,410
EP10_001989,300,281,272,424,314,319,269,283,386,190,334,285
EP10_001990,1242,1251,971,1496,1028,1151,1106,1279,1733,798,1399,1247
EP10_001991,135,136,137,161,171,137,174,95,202,95,144,174
EP10_001992,242,143,159,181,212,133,174,151,147,96,183,156
EP10_001993,179,108,142,113,165,101,149,68,121,70,134,139
EP10_001994,60,36,38,38,55,22,53,23,34,19,46,47
EP10_001995,129,92,149,104,125,60,104,79,72,91,102,129
EP10_001996,84,97,198,183,170,115,132,90,159,113,75,127
EP10_001997,383,278,497,531,471,297,323,220,359,224,292,324
EP10_001998,127,157,297,261,274,246,231,175,300,166,195,238
EP10_001999,281,262,388,392,315,301,284,244,386,186,327,289
EP10_002000,375,277,406,404,445,290,257,172,393,208,299,369
EP10_002001,24,30,48,32,46,22,35,21,40,20,23,40
EP10_002002,352,339,691,607,613,507,739,288,671,277,448,510
EP10_002003,97,67,144,141,144,124,176,67,147,69,104,108
EP10_002004,433,300,389,564,510,481,552,324,509,269,443,493
EP10_002005,1156,511,555,705,1059,517,718,356,740,540,865,715
EP10_002006,413,249,364,329,420,218,302,197,371,176,316,283
EP10_002007,350,163,276,255,353,140,221,166,260,155,251,203
EP10_002008,7,17,26,24,32,25,36,13,25,33,21,52
EP10_002009,58,61,58,68,88,77,77,33,69,41,58,69
EP10_002010,160,111,140,153,166,94,106,46,149,63,91,125
EP10_002011,0,0,0,0,0,0,0,0,0,0,0,0
EP10_002012,2,6,2,5,5,3,5,4,7,1,4,8
EP10_002013,10,14,23,18,23,15,37,13,18,20,21,22
EP10_002014,124,175,213,149,269,127,202,117,203,138,234,201
EP10_002015,208,496,526,432,387,531,496,400,668,281,342,543
EP10_002016,789,884,1038,1226,1084,1271,1087,808,1210,571,736,1247
EP10_002017,2950,3068,5124,4640,4381,4458,4898,2752,5287,2261,3537,3921
EP10_002018,506,570,667,787,816,596,916,422,847,392,774,821
EP10_002019,32,31,40,46,63,44,64,27,48,28,27,71
EP10_002020,84,93,99,79,154,95,203,70,79,70,101,163
EP10_002021,31,10,29,15,40,17,41,7,34,22,28,33
EP10_002022,69,25,54,29,45,40,42,14,59,47,36,31
EP10_002023,3,1,1,2,2,0,1,2,4,0,4,4
EP10_002024,92,38,31,60,69,36,66,24,47,32,77,74
EP10_002025,43,25,13,24,27,15,24,14,19,20,26,35
EP10_002026,2030,2031,3681,2894,3021,1501,2021,1123,3454,1895,1818,1992
EP10_002027,192,82,100,100,147,68,116,68,135,115,126,109
EP10_002028,70,51,46,60,89,46,84,38,74,41,87,87
EP10_002029,14,6,12,18,13,6,5,2,5,8,14,20
EP10_002030,3,5,3,1,3,2,1,3,4,2,2,7
EP10_002031,10,14,20,22,10,8,10,15,16,15,19,12
EP10_002032,18,15,12,25,9,4,6,6,14,11,10,19
EP10_002033,106,162,145,164,117,91,107,135,159,135,123,144
EP10_002034,128,374,199,506,119,166,388,883,256,868,198,264
EP10_002035,15,12,10,12,7,9,7,19,13,17,20,16
EP10_002036,31,41,37,46,23,10,50,65,24,89,20,44
EP10_002037,21,27,19,14,14,10,10,11,26,20,24,14
EP10_002038,24,37,29,44,28,14,19,22,32,16,21,26
EP10_002039,27,24,27,36,21,7,16,20,15,15,18,20
EP10_002040,42,38,33,33,24,20,33,39,32,32,36,22
EP10_002041,96,108,77,96,41,23,52,70,38,53,58,61
EP10_002042,40,37,23,35,32,12,25,35,18,23,18,31
EP10_002043,37,29,26,43,28,15,30,23,35,13,11,27
EP10_002044,68,75,84,89,80,49,62,74,79,53,69,79
EP10_002045,142,118,226,205,224,123,197,106,265,147,184,157
EP10_002046,60,56,68,57,38,30,39,72,85,57,39,64
EP10_002047,25,37,32,44,22,25,22,37,55,35,28,44
EP10_002048,86,60,88,83,76,37,70,55,97,57,62,70
EP10_002049,49,29,48,45,37,25,37,32,53,36,27,51
EP10_002050,50,38,62,54,41,20,39,52,75,40,35,31
EP10_002051,519,186,280,351,245,98,222,210,315,132,316,155
EP10_002052,783,661,1174,1118,1301,672,1071,664,1501,702,1231,976
EP10_002053,3909,3973,8506,7550,6158,3624,3728,2589,5092,3912,3573,3784
EP10_002054,269,444,868,383,519,295,345,228,229,214,134,209
EP10_002055,789,278,237,322,904,321,712,205,364,209,697,602
EP10_002056,1630,766,395,707,1420,577,1187,438,716,413,1410,922
EP10_002057,8,16,6,14,7,1,5,2,6,7,15,9
EP10_002058,44,44,44,72,37,29,45,49,39,33,50,59
EP10_002059,48,71,46,49,46,25,39,29,32,32,46,61
EP10_002060,43,41,36,34,43,32,31,35,31,36,35,43
EP10_002061,11,11,12,13,17,8,13,14,10,13,8,21
EP10_002062,8,8,16,16,10,6,8,5,5,15,9,9
EP10_002063,30,16,28,31,30,13,24,19,14,19,21,31
EP10_002064,19,19,28,19,28,10,24,17,24,24,22,40
EP10_002065,31,20,34,39,17,13,25,16,11,25,16,28
EP10_002066,6,6,9,11,10,5,4,8,4,2,2,7
EP10_002067,8,11,9,15,11,3,6,7,4,1,12,2
EP10_002068,1964,1210,1673,1248,2036,720,1738,1900,5602,2548,1857,1312
EP10_002069,2,6,5,3,8,3,5,3,3,3,3,1
EP10_002070,3996,8143,21378,17207,3923,9238,4084,22996,40786,17614,4919,6659
EP10_002071,2114,4043,10982,7886,1934,4480,2325,9915,21597,8447,2806,2983
EP10_002072,5016,10218,27156,18531,4751,9907,5215,22369,54676,18432,6866,7061
EP10_002073,1904,1517,2434,2363,1748,1617,1557,1199,1606,910,1585,1569
EP10_002074,4028,3148,4188,3905,4259,2807,3102,2426,3504,1552,3529,2989
EP10_002075,1353,1208,1737,1435,1880,1183,1352,792,1385,541,1407,1230
EP10_002076,195,222,305,269,276,210,196,135,166,117,188,242
EP10_002077,171,166,272,172,183,162,178,106,159,93,122,166
EP10_002078,145,197,310,214,201,197,219,129,187,115,183,220
EP10_002079,763,329,521,548,1028,613,1725,519,437,527,992,997
EP10_002080,611,233,276,436,638,447,941,341,284,312,635,631
EP10_002081,3344,2454,1675,2383,4346,2134,5163,1702,2351,1411,4244,3601
EP10_002082,103,63,46,45,113,64,159,49,47,33,73,89
EP10_002083,5630,3385,11007,7588,7312,4748,4472,3254,6182,3805,3652,3599
EP10_002084,4742,3858,14180,8244,8976,6999,5652,3916,7646,4777,3856,4977
EP10_002085,4780,4286,15623,9359,9445,7834,6237,4074,8979,5049,4194,5093
EP10_002086,2308,1876,6482,4391,4340,3175,2515,1801,4052,2161,1876,2233
EP10_002087,9940,8493,29327,18257,18153,12753,11403,7644,18289,9391,8753,9796
EP10_002088,239,230,451,412,256,400,284,392,367,335,132,411
EP10_002089,71,50,37,83,80,60,102,56,62,58,94,99
EP10_002090,723,788,1596,1406,1032,754,737,687,1584,886,613,816
EP10_002091,506,719,1549,1196,961,826,737,605,1512,789,592,796
EP10_002092,1695,1992,4273,3560,2884,2060,2221,1644,4305,2203,2024,2264
EP10_002093,611,735,1558,1273,1201,703,724,547,1568,755,772,749
EP10_002094,43,45,62,73,71,59,68,45,56,26,40,63
EP10_002095,932,935,797,3202,927,1543,1291,861,1363,851,2015,1421
EP10_002096,46,78,53,156,36,150,66,68,103,80,71,101
EP10_002097,93,72,120,341,80,151,107,102,189,115,155,137
EP10_002098,60,103,151,315,91,185,130,130,214,128,197,149
EP10_002099,95,146,196,393,124,224,171,138,319,189,243,157
EP10_002100,61,25,37,35,42,18,38,19,41,23,38,34
EP10_002101,2211,1724,4369,3349,3682,2252,2600,1496,4475,2186,2646,2769
EP10_002102,32,24,37,46,46,26,48,33,43,27,30,43
EP10_002103,609,624,1281,1182,1031,852,781,518,1261,728,752,979
EP10_002104,191,173,222,260,240,203,251,201,302,170,257,233
EP10_002105,84,77,111,140,103,115,105,105,177,120,132,167
EP10_002106,448,376,783,813,605,653,712,408,833,522,498,699
EP10_002107,734,630,1093,1109,1154,892,1200,602,1302,762,906,1149
EP10_002108,2185,2321,3990,3461,2800,1654,1672,1587,3541,2106,1765,1941
EP10_002109,86,78,91,129,74,77,80,84,99,80,70,109
EP10_002110,287,220,360,463,345,493,410,317,484,307,482,445
EP10_002111,2698,3488,2010,7068,4269,8892,5575,4460,7142,3330,5868,7311
EP10_002112,3271,5884,2759,9354,4939,11393,6709,6858,8685,4704,7264,9598
EP10_002113,1927,4464,1960,5838,3466,7808,4775,4417,6484,3553,5125,6814
EP10_002114,836,1165,1636,871,1171,846,922,757,1411,1044,1026,923
EP10_002115,564,662,496,1050,733,1210,923,680,1219,573,1066,1151
EP10_002116,1160,989,1548,1460,2280,1482,3240,1068,2756,1015,2155,1950
EP10_002117,207,212,432,398,277,299,227,172,362,220,193,292
EP10_002118,347,475,1166,903,713,681,643,398,868,523,505,686
EP10_002119,4295,3588,6425,5775,5102,2548,3482,2731,6047,3787,4007,3835
EP10_002120,1207,1549,3035,2190,2380,1430,1897,1125,3153,2111,1869,2210
EP10_002121,5742,4923,6952,6543,8363,4090,6849,4105,7928,3893,5302,5587
EP10_002122,4730,2472,3403,4196,6470,3373,7111,2143,4705,2469,6644,4803
EP10_002123,274,104,141,193,293,172,329,148,129,89,340,270
EP10_002124,110,106,88,196,192,177,175,138,172,108,196,163
EP10_002125,275,273,342,478,379,425,572,234,446,262,486,389
EP10_002126,29,19,16,29,24,10,16,12,18,13,21,31
EP10_002127,113,166,201,250,166,246,226,268,297,173,222,253
EP10_002128,19,23,29,29,41,10,51,14,45,18,34,26
EP10_002129,87,63,139,84,133,54,118,59,151,80,103,90
EP10_002130,455,655,632,932,940,892,1579,518,1216,431,923,1182
EP10_002131,528,659,794,947,979,1049,1691,570,1289,574,942,1391
EP10_002132,22,22,16,19,20,11,28,22,22,17,29,37
EP10_002133,12,16,5,19,17,19,16,18,17,17,9,26
EP10_002134,11,9,16,14,14,11,11,8,8,8,15,5
EP10_002135,282,230,396,426,448,335,512,276,605,308,417,451
EP10_002136,188,94,164,183,194,154,204,131,208,81,219,193
EP10_002137,342,191,210,332,297,304,368,320,371,265,348,351
EP10_002138,524,419,634,743,732,520,782,502,951,429,797,617
EP10_002139,1297,982,1508,1529,1446,1102,1572,1008,2094,828,1767,1171
EP10_002140,97,112,184,202,133,136,156,114,174,118,144,186
EP10_002141,532,499,643,749,608,530,662,428,877,407,558,591
EP10_002142,395,459,734,1001,502,739,507,508,1046,571,546,683
EP10_002143,1079,1278,2062,2744,1366,2016,1444,1442,3047,1574,1700,1754
EP10_002144,669,760,1121,1278,1068,1122,1048,846,1361,738,987,1242
EP10_002145,4,5,4,6,1,1,2,5,2,2,1,7
EP10_002146,7513,7079,12737,11600,10579,7529,6828,5117,8578,4759,7527,8085
EP10_002147,95,91,266,188,167,151,121,95,189,121,110,133
EP10_002148,5038,5252,8540,9129,8741,6581,8520,4486,9713,4837,6722,7540
EP10_002149,17,26,43,63,38,89,45,37,47,47,33,78
EP10_002150,935,786,2346,1549,1102,909,640,1325,1894,1628,658,920
EP10_002151,3,7,13,22,7,21,5,21,16,17,5,17
EP10_002152,451,406,594,699,727,527,731,393,742,381,664,722
EP10_002153,51,30,84,77,63,54,77,54,87,64,54,91
EP10_002154,213,165,409,356,315,206,334,218,384,256,252,323
EP10_002155,823,858,1044,1085,1094,541,991,611,1520,778,1023,887
EP10_002156,130,290,174,413,156,196,409,419,1158,306,816,246
EP10_002157,8146,7008,7802,8558,8772,3896,5355,3534,7080,3306,5905,5099
EP10_002158,3396,3326,5410,5922,4290,2875,3439,3601,6838,5757,2899,4129
EP10_002159,6566,5547,7796,12096,6581,4868,5698,6234,12329,9970,5580,7581
EP10_002160,296,257,671,754,520,466,585,323,786,339,380,533
EP10_002161,57,85,108,109,86,77,81,64,168,61,76,112
EP10_002162,781,446,894,1006,933,509,976,444,1111,581,808,777
EP10_002163,236,163,338,381,399,213,360,171,422,216,278,365
EP10_002164,46,49,45,49,34,17,36,42,41,27,31,37
EP10_002165,1391,1242,1094,1409,1595,1344,1765,1357,1986,724,1938,1593
EP10_002166,6,13,16,28,8,27,6,11,19,14,8,32
EP10_002167,45,208,301,144,125,135,177,360,896,430,170,193
EP10_002168,271,235,339,334,441,276,550,271,550,242,456,371
EP10_002169,83,225,233,225,131,152,134,364,633,230,171,173
EP10_002170,391,90,87,186,215,33,81,239,82,357,157,109
EP10_002171,263,80,58,130,153,31,50,148,42,234,99,87
EP10_002172,57,26,24,35,41,18,19,40,23,51,36,55
EP10_002173,137,181,181,313,163,148,109,92,228,253,106,161
EP10_002174,407,643,560,1121,498,411,409,321,786,808,397,369
EP10_002175,11,7,7,15,5,2,12,4,6,8,9,10
EP10_002176,167,160,133,318,144,142,235,197,343,192,246,205
EP10_002177,8,8,7,9,9,4,8,11,15,16,4,8
EP10_002178,42,58,46,95,50,32,53,78,63,54,56,67
EP10_002179,117,81,107,168,611,203,184,72,214,96,1273,344
EP10_002180,229,316,350,440,578,480,430,427,664,293,1127,544
EP10_002181,830,1188,2215,2021,1444,1207,998,770,2647,1104,800,1057
EP10_002182,127,94,142,168,232,189,309,127,218,105,227,239
EP10_002183,628,319,577,366,663,370,801,546,489,304,825,834
EP10_002184,924,635,912,695,1029,672,1343,1036,764,463,1434,1403
